Title,Authors,Platform,Cited_url,Cited_count,Year
Security protection of DICOM medical images using dual-layer reversible watermarking with tamper detection capability,"CK Tan, JC Ng, X Xu, CL Poh, YL Guan, K Sheah","Journal of Digital Imaging 24 (3), 528-540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10517386769572033917,115,2011
Trajectory design for completion time minimization in UAV-enabled multicasting,"Y Zeng, X Xu, R Zhang","IEEE Transactions on Wireless Communications 17 (4), 2233-2246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12009501374344895812,110,2018
"Porous zirconium metal–organic framework constructed from 2D→ 3D interpenetration based on a 3, 6-connected kgd net","R Wang, Z Wang, Y Xu, F Dai, L Zhang, D Sun","Inorganic chemistry 53 (14), 7086-7088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15723270256850399606,71,2014
Porous barium–organic frameworks with highly efficient catalytic capacity and fluorescence sensing ability,"F Liu, Y Xu, L Zhao, L Zhang, W Guo, R Wang, D Sun","Journal of Materials Chemistry A 3 (43), 21545-21552","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6683470519137750800,3786197877766000310,5339450530194965522",54,2015
Vertically oriented polypyrrole nanowire arrays on Pd-plated Nafion® membrane and its application in direct methanol fuel cells,"Z Xia, S Wang, Y Li, L Jiang, H Sun, S Zhu, DS Su, G Sun","Journal of Materials Chemistry A 1 (3), 491-494","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8969156287450357817,16207818857471574840",54,2013
A CRISPR–Cas9-based gene drive platform for genetic interaction analysis in Candida albicans,"RS Shapiro, A Chavez, CBM Porter, M Hamblin, CS Kaas, JE DiCarlo, ...","Nature microbiology 3 (1), 73",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1981221853699493772,51,2018
Effects of exogenous melatonin on active oxygen metabolism of cucumber seedlings under high temperature stress.,"X Xiang-dong, S Yan, S Bo, Z Jian, G Xiao-qin",Yingyong Shengtai Xuebao 21 (5),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12354832794391409916,5305321711613553681",50,2010
"Actinopolymorpha singaporensis gen. nov., sp. nov., a novel actinomycete from the tropical rainforest of Singapore.","YM Wang, ZS Zhang, XL Xu, JS Ruan, Y Wang",International journal of systematic and evolutionary microbiology 51 (2 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8778074467719118105,47,2001
Overcoming endurance issue: UAV-enabled communications with proactive caching,"X Xu, Y Zeng, YL Guan, R Zhang","IEEE Journal on Selected Areas in Communications 36 (6), 1231-1244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9022085753639954941,40,2018
防屈曲耗能钢支撑的试验研究,程光煜， 叶列平， 许秀珍， 崔鸿超,"建筑结构学报 29 (01), 31-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16112490267729130031,34,2008
Dihydromyricetin ameliorates atherosclerosis in LDL receptor deficient mice,"TT Liu, Y Zeng, K Tang, XM Chen, W Zhang, X Le Xu","Atherosclerosis 262, 39-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12274781884059613525,31,2017
                   ߷ ֱ      ʯ   ѧ   ¼         ½  ɺ       ̼  ԭ  ,"F Xiaomin, X Xianhai, S Chunhui, H Wenxia, M Qingquan, M Torii","    ļ   о  27 (6), 989-1000",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8478280786854025499,29,2007
Master dissertation,MZ Li,Xi'an University of Technol-ogy,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10937986649856136122,5439017174363395020,12764904181361599262,17659620505202887903",27,2010
除草剂草甘膦对萼花臂尾轮虫生活史特征的影响,储昭霞， 席贻龙， 徐晓平， 葛雅丽， 董丽丽， 陈芳,"应用生态学报 16 (6), 1142-1145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10395357988006110629,27,2005
Hantavirus strains isolated from rodentia and insectivora in rural China differentiated by polymerase chain reaction assay,"YW Tang, SL Ruo, A Sanchez, SP Fisher-Hoch, JB McCormick, ZY Xu","Archives of virology 115 (1-2), 37-46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8810805840313099627,5300425316844682539",26,1990
"The effect of 2, 3, 4′, 5-tetrahydroxystilbene-2-0-β-d glucoside on neointima formation in a rat artery balloon injury model and its possible mechanisms","D Ling, Q Zhu, W Fan, W Zhang","European journal of pharmacology 698 (1-3), 370-378","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=850631484757987762,2763914431316746026",25,2013
Spatial variability of probability distribution of extreme precipitation in Xinjiang,"Q Zhang, JF Li, XH Chen, YG Bai","Acta Geographica Sinica 66 (1), 3-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6028792567992555281,25,2011
Two-phase cooperative broadcasting based on batched network code,"X Xu, MSGP Kumar, YL Guan, PHJ Chong","IEEE Transactions on Communications 64 (2), 706-714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7715963699051231225,18,2015
Study of e+ e−→ pp¯ in the vicinity of ψ (3770),"M Ablikim, MN Achasov, XC Ai, O Albayrak, M Albrecht, DJ Ambrose, ...","Physics Letters B 735, 101-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5090914299190678882,18,2014
"The effect of 2, 3, 4′, 5-tetrahydroxystilbene-2-O-β-D-glucoside on pressure overload-induced cardiac remodeling in rats and its possible mechanism","X Le Xu, QY Zhu, C Zhao, F Wang, ZY Zhou, YE Hu, W Zhang","Planta medica 80 (02/03), 130-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14393762342406451219,18,2014
Annual Processes of Land Reclamation from the Sea Along the Northwest Coast of Bohai Bay During 1974 to 2010 [J],"ZHU Gao-ru, XU Xue-gong",Scientia Geographica Sinica 8,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11800871148817632283,17,2012
体育场悬挑屋盖空间风激动力响应和等效风荷载实用计算,张昕， 黄本才， 徐晓明， 林高,"建筑结构学报 26 (2), 40-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13159290612484603315,16,2005
"PPAR-γ is involved in the protective effect of 2, 3, 4', 5-tetrahydroxystilbene-2-O-beta-D-glucoside against cardiac fibrosis in pressure-overloaded rats","Y Peng, Y Zeng, J Xu, XL Huang, W Zhang, X Le Xu","European journal of pharmacology 791, 105-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12017918124740995967,15,2016
Degrees of freedom of the three-user rank-deficient MIMO interference channel,"Y Zeng, X Xu, YL Guan, E Gunawan, C Wang","IEEE Transactions on Wireless Communications 13 (8), 4179-4192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7313038405425175926,14,2014
