Title,Authors,Platform,Cited_url,Cited_count,Year
"Cyberbullying among adolescents: The role of affective and cognitive empathy, and gender","RP Ang, DH Goh","Child Psychiatry & Human Development 41 (4), 387-397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14011846838669363019,632,2010
"Narcissism, extraversion and adolescents’ self-presentation on Facebook","EYL Ong, RP Ang, JCM Ho, JCY Lim, DH Goh, CS Lee, AYK Chua","Personality and individual differences 50 (2), 180-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9692766420341298482,586,2011
A study of Web 2.0 applications in library websites,"AYK Chua, DH Goh","Library & information science research 32 (3), 203-211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15771221328751941729,259,2010
Online video game therapy for mental health concerns: a review,"N Wilkinson, RP Ang, DH Goh","International journal of social psychiatry 54 (4), 370-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5655027061244850982,184,2008
A checklist for evaluating open source digital library software,"DHL Goh, A Chua, DA Khoo, EBH Khoo, EBT Mak, MWM Ng",Online Information Review,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1565917018013110659,135,2006
Authoritarian parenting style in Asian societies: A cluster-analytic investigation,"RP Ang, DH Goh","Contemporary family therapy 28 (1), 131-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3604964966766782052,128,2006
In search of query patterns: A case study of a university OPAC,"EP Lau, DHL Goh","Information processing & management 42 (5), 1316-1329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7251014652945378325,123,2006
Indagator: Investigating perceived gratifications of an application that blends mobile content sharing with gameplay,"CS Lee, DHL Goh, AYK Chua, RP Ang",Journal of the American Society for Information Science and Technology 61 (6 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4928890851364758422,120,2010
On assigning place names to geography related web pages,"DH Goh, E Lim, A Sun, D Wu, W Zong",Proceedings of the 5th ACM/IEEE-CS Joint Conference on Digital Libraries …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15014400733633565664,115,2005
Strategies for designing effective psychotherapeutic gaming interventions for children and adolescents,"DH Goh, RP Ang, HC Tan","Computers in Human Behavior 24 (5), 2217-2235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2516701624636895188,111,2008
Understanding news sharing in social media: An explanation from the diffusion of innovations theory,"L Ma, C Sian Lee, D Hoe-Lian Goh","Online Information Review 38 (5), 598-615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16918158424400990744,110,2014
G-Portal: a map-based digital library for distributed geospatial and georeferenced resources,"EP Lim, EP Lim, DHL Goh, Z Liu, WK Ng, CSG Khoo, SE Higgins",Proceedings of the 2nd ACM/IEEE-CS joint conference on Digital libraries …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1060708455590092620,98,2002
A predictive framework for retrieving the best answer,"MJ Blooma, AYK Chua, DHL Goh","Proceedings of the 2008 ACM symposium on Applied computing, 1107-1111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12904370445295263915,93,2008
Ontology-based web annotation framework for hyperlink structures.,"MM Naing, EP Lim, DHL Goh",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14698812310303894761,88,2010
Mobile content contribution and retrieval: An exploratory study using the uses and gratifications paradigm,"AYK Chua, DHL Goh, CS Lee","Information Processing & Management 48 (1), 13-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1522284743198743807,86,2012
Link decay in leading information science journals,"DHL Goh, PK Ng",Journal of the American Society for Information Science and Technology 58 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4291520808481480763,86,2007
"Web 2.0 applications in government web sites: Prevalence, use and correlations with perceived web site quality","AYK Chua, DH Goh, RP Ang","Online Information Review 36 (2), 175-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3378308107876103147,84,2012
