Title,Authors,Platform,Cited_url,Cited_count,Year
Global optimum of the linearized network design problem with equilibrium flows,"DZW Wang, HK Lo","Transportation Research Part B: Methodological 44 (4), 482-492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10339739594633220556,158,2010
A sustainable road network design problem with land use transportation interaction over time,"WY Szeto, Y Jiang, DZW Wang, A Sumalee","Networks and Spatial Economics 15 (3), 791-822",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2469253959012010148,105,2015
Optimal location of wireless charging facilities for electric vehicles: flow-capturing location model with stochastic user equilibrium,"R Riemann, DZW Wang, F Busch","Transportation Research Part C: Emerging Technologies 58, 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3887672168171305491,89,2015
V2G capacity estimation using dynamic EV scheduling,"KN Kumar, B Sivaneasan, PH Cheah, PL So, DZW Wang","IEEE Transactions on Smart Grid 5 (2), 1051-1060",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12285539991259386137,82,2013
Global optimization method for network design problem with stochastic user equilibrium,"H Liu, DZW Wang","Transportation Research Part B: Methodological 72, 20-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15210236793758703967,72,2015
Equity-based timetable synchronization optimization in urban subway network,"J Wu, M Liu, H Sun, T Li, Z Gao, DZW Wang","Transportation Research Part C: Emerging Technologies 51, 1-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=456893406000022935,70,2015
A novel discrete network design problem formulation and its global optimization solution algorithm,"DZW Wang, H Liu, WY Szeto","Transportation Research Part E: Logistics and Transportation Review 79, 213-230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3278443299093505207,62,2015
Multi-fleet ferry service network design with passenger preferences for differential services,"DZW Wang, HK Lo","Transportation Research Part B: Methodological 42 (9), 798-822",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=401126576913446255,53,2008
Bounded-rationality based day-to-day evolution model for travel behavior analysis of urban railway network,"J Wu, H Sun, DZW Wang, M Zhong, L Han, Z Gao","Transportation Research Part C: Emerging Technologies 31, 73-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17330948002465845021,50,2013
Locating multiple types of charging facilities for battery electric vehicles,"H Liu, DZW Wang","Transportation Research Part B: Methodological 103, 30-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13606098658904272491,46,2017
Continuum modeling of park-and-ride services considering travel time reliability and heterogeneous commuters–A linear complementarity system approach,"B Du, DZW Wang","Transportation Research Part E: Logistics and Transportation Review 71, 58-81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12850862647502767692,44,2014
Train routing model and algorithm combined with train scheduling,"F Li, Z Gao, K Li, DZW Wang","Journal of Transportation Engineering 139 (1), 81-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2696398727599391570,40,2012
Managing the accessibility on mass public transit: The case of Hong Kong,"HK Lo, S Tang, DZW Wang",Journal of Transport and Land Use 1 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14718722444189541327,33,2008
Identification of critical combination of vulnerable links in transportation networks–a global optimisation approach,"DZW Wang, H Liu, WY Szeto, AHF Chow","Transportmetrica A: Transport Science 12 (4), 346-365",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2718111099611685359,29,2016
Agitated behavior and elastic characteristics of pedestrians in an alternative floor field model for pedestrian dynamics,"DF Xie, ZY Gao, XM Zhao, DZW Wang","Physica A: Statistical Mechanics and Its Applications 391 (7), 2390-2400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2579835361715226202,29,2012
