Title,Authors,Platform,Cited_url,Cited_count,Year
Charge-Convertible Carbon Dots for Imaging-Guided Drug Delivery with Enhanced ,"T Feng, X Ai, G An, P Yang, Y Zhao","ACS nano 10 (4), 4410-4420","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4076459185980809116,9338116869072475835",276,2016
 covalent cross-linking of photon-converted rare-earth nanostructures for tumour localization and theranostics,"X Ai, CJH Ho, J Aw, ABE Attia, J Mu, Y Wang, X Wang, Y Wang, X Liu, ...","Nature communications 7, 10432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13066265402506011767,218,2016
Dual-responsive carbon dots for tumor extracellular microenvironment triggered targeting and enhanced anticancer drug delivery,"T Feng, X Ai, H Ong, Y Zhao","ACS applied materials & interfaces 8 (29), 18732-18740",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18011660378410410905,81,2016
Recent advances of light-mediated theranostics,"X Ai, J Mu, B Xing","Theranostics 6 (13), 2439",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15300027799935871435,70,2016
Remote Regulation of Membrane Channel Activity by Site‐Specific Localization of Lanthanide‐Doped Upconversion Nanocrystals,"X Ai, L Lyu, Y Zhang, Y Tang, J Mu, F Liu, Y Zhou, Z Zuo, G Liu, B Xing","Angewandte Chemie International Edition 56 (11), 3031-3035",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14947362576866719050,60,2017
Nanosensor for dopamine and glutathione based on the quenching and recovery of the fluorescence of silica-coated quantum dots,"A Xiangzhao, M Qiang, S Xingguang","Microchimica Acta 180 (3-4), 269-277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13409484849043486685,52,2013
Semiconducting photothermal nanoagonist for remote-controlled specific cancer therapy,"X Zhen, C Xie, Y Jiang, X Ai, B Xing, K Pu","Nano letters 18 (2), 1498-1505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14591435507201565911,45,2018
A novel β-Cyclodextrin-QDs optical biosensor for the determination of amantadine and its application in cell imaging,"X Ai, L Niu, Y Li, F Yang, X Su","Talanta 99, 409-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15269635867693492222,38,2012
Near infrared light-mediated photoactivation of cytotoxic Re (I) complexes by using lanthanide-doped upconversion nanoparticles,"M Hu, J Zhao, X Ai, M Budanovic, J Mu, RD Webster, Q Cao, Z Mao, ...","Dalton Transactions 45 (36), 14101-14108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7197368762129227657,20,2016
Enhanced cellular ablation by attenuating hypoxia status and reprogramming tumor-associated macrophages via NIR light-responsive upconversion nanocrystals,"X Ai, M Hu, Z Wang, L Lyu, W Zhang, J Li, H Yang, J Lin, B Xing","Bioconjugate chemistry 29 (4), 928-938",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17100570881230803820,15,2018
