Title,Authors,Platform,Cited_url,Cited_count,Year
Isolation and retrieval of circulating tumor cells using centrifugal forces,"HW Hou, ME Warkiani, BL Khoo, ZR Li, RA Soo, DSW Tan, WT Lim, J Han, ...","Scientific reports 3, 1259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12600772262531264822,570,2013
Microfluidics for cell separation,"AAS Bhagat, H Bow, HW Hou, SJ Tan, J Han, CT Lim","Medical & biological engineering & computing 48 (10), 999-1014",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14666962194979241959,476,2010
Pinched flow coupled shear-modulated inertial microfluidics for high-throughput rare blood cell separation,"AAS Bhagat, HW Hou, LD Li, CT Lim, J Han","Lab on a Chip 11 (11), 1870-1878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1003436393053861719,328,2011
Deformability based cell margination—a simple microfluidic design for malaria-infected erythrocyte separation,"HW Hou, AAS Bhagat, AGL Chong, P Mao, KSW Tan, J Han, CT Lim","Lab on a Chip 10 (19), 2605-2613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8601005690895696533,284,2010
Deformability study of breast cancer cells using microfluidics,"HW Hou, QS Li, GYH Lee, AP Kumar, CN Ong, CT Lim","Biomedical microdevices 11 (3), 557-564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9638108237966377048,251,2009
Microfluidic devices for blood fractionation,"HW Hou, AAS Bhagat, WC Lee, S Huang, J Han, CT Lim","Micromachines 2 (3), 319-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13135896357553585554,162,2011
Separation of leukocytes from blood using spiral channel with trapezoid cross-section,"L Wu, G Guan, HW Hou, AAS Bhagat, J Han","Analytical chemistry 84 (21), 9324-9331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12749803579563163949,142,2012
Flow sensing of single cell by graphene transistor in a microfluidic channel,"PK Ang, A Li, M Jaiswal, Y Wang, HW Hou, JTL Thong, CT Lim, KP Loh","Nano letters 11 (12), 5240-5246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16175077301805831872,111,2011
Direct evidence for cancer-cell-autonomous extracellular protein catabolism in pancreatic tumors,"SM Davidson, O Jonas, MA Keibler, HW Hou, A Luengo, JR Mayers, ...","Nature medicine 23 (2), 235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15497968531882689468,98,2017
A microfluidics approach towards high-throughput pathogen removal from blood using margination,"H Wei Hou, HY Gan, AAS Bhagat, LD Li, CT Lim, J Han","Biomicrofluidics 6 (2), 024115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15410433683075586017,91,2012
Direct detection and drug-resistance profiling of bacteremias using inertial microfluidics,"HW Hou, RP Bhattacharyya, DT Hung, J Han","Lab on a Chip 15 (10), 2297-2307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11846626910866464949,75,2015
Animation of reactive gaseous fluids through chemical kinetics,"I Ihm, B Kang, D Cha",Proceedings of the 2004 ACM SIGGRAPH/Eurographics symposium on Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4073710197701679009,44,2004
Identification of malaria parasite-infected red blood cell surface aptamers by inertial microfluidic SELEX (I-SELEX),"CM Birch, HW Hou, J Han, JC Niles","Scientific reports 5, 11347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6199979630464635936,38,2015
Enhancing malaria diagnosis through microfluidic cell enrichment and magnetic resonance relaxometry detection,"TF Kong, W Ye, WK Peng, HW Hou, PR Preiser, NT Nguyen, J Han","Scientific reports 5, 11425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15083576773027599905,37,2015
Multiplexed affinity-based separation of proteins and cells using inertial microfluidics,"A Sarkar, HW Hou, AE Mahan, J Han, G Alter","Scientific reports 6, 23589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4762900146508251202,35,2016
Microfluidics for applications in cell mechanics and mechanobiology,"HW Hou, WC Lee, MC Leong, S Sonam, SRK Vedula, CT Lim","Cellular and Molecular Bioengineering 4 (4), 591-602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17540022512725072100,33,2011
Rapid and label-free microfluidic neutrophil purification and phenotyping in diabetes mellitus,"HW Hou, C Petchakup, HM Tay, ZY Tam, R Dalan, DEK Chew, KHH Li, ...","Scientific reports 6, 29410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15044290465725140011,32,2016
Advances in single cell impedance cytometry for biomedical applications,"C Petchakup, K Li, H Hou","Micromachines 8 (3), 87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11165687024654726723,31,2017
A cell-based sensor of fluid shear stress for microfluidics,"S Varma, J Voldman","Lab on a chip 15 (6), 1563-1573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10652149454823811845,29,2015
Microfluidics sorter for cell detection and isolation,"CT Lim, J Han, HW Hou, AA Bhagat, KJ Van Vliet, WC Lee","US Patent 9,458,489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5669073274353908402,28,2016
Monitoring sepsis using electrical cell profiling,"JL Prieto, HW Su, HW Hou, MP Vera, BD Levy, RM Baron, J Han, ...","Lab on a Chip 16 (22), 4333-4340",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8185177001243961708,23,2016
Towards microfluidic-based depletion of stiff and fragile human red cells that accumulate during blood storage,"S Huang, HW Hou, T Kanias, JT Sertorio, H Chen, D Sinchar, MT Gladwin, ...","Lab on a Chip 15 (2), 448-458",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15297381532993805589,20,2015
Broad spectrum immunomodulation using biomimetic blood cell margination for sepsis therapy,"HW Hou, L Wu, DP Amador-Munoz, MP Vera, A Coronata, JA Englert, ...","Lab on a Chip 16 (4), 688-699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3724714062281955601,18,2016
Micro-engineered perfusable 3D vasculatures for cardiovascular diseases,"NV Menon, HM Tay, SN Wee, KHH Li, HW Hou","Lab on a Chip 17 (17), 2960-2968","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13764769552774161055,1153484599913517122",15,2017
Interference-free micro/nanoparticle cell engineering by use of high-throughput microfluidic separation,"DC Yeo, C Wiraja, Y Zhou, HM Tay, C Xu, HW Hou","ACS applied materials & interfaces 7 (37), 20855-20864",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12241134495709823444,14,2015
A tunable microfluidic 3D stenosis model to study leukocyte-endothelial interactions in atherosclerosis,"N Venugopal Menon, HM Tay, KT Pang, R Dalan, SC Wong, X Wang, ...","APL bioengineering 2 (1), 016103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18314354488060694141,11,2018
Rapid purification of sub-micrometer particles for enhanced drug release and microvesicles isolation,"HM Tay, S Kharel, R Dalan, ZJ Chen, KK Tan, BO Boehm, SCJ Loo, ...","NPG Asia Materials 9 (9), e434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4669441512663232456,9,2017
Label-free leukocyte sorting and impedance-based profiling for diabetes testing,"C Petchakup, HM Tay, WH Yeap, R Dalan, SC Wong, KHH Li, HW Hou","Biosensors and Bioelectronics 118, 195-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11752578308433943325,8,2018
A novel microdevice for rapid neutrophil purification and phenotyping in type 2 diabetes mellitus,"HM Tay, R Dalan, KHH Li, BO Boehm, HW Hou","Small 14 (6), 1702832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6937246633993430040,8,2018
Preservation of anticancer and immunosuppressive properties of rapamycin achieved through controlled releasing particles,"YL Fan, HW Hou, HM Tay, WM Guo, PO Berggren, SCJ Loo","AAPS PharmSciTech 18 (7), 2648-2657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12175523320035919201,8,2017
Microfluidic microbe detection and isolation,"HW Hou, J Han, R BHATTACHARYYA, H Deb","US Patent App. 10/077,462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13398434820238027417,7,2018
"A Microfluidic Cytometer for Complete Blood Count With a 3.2-Megapixel, 1.1-μm-Pitch Super-Resolution Image Sensor in 65-nm BSI CMOS","X Liu, X Huang, Y Jiang, H Xu, J Guo, HW Hou, M Yan, H Yu","IEEE transactions on biomedical circuits and systems 11 (4), 794-803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1454918868740734709,5,2017
Thrombin-derived host defence peptide modulates neutrophil rolling and migration in vitro and functional response in vivo,"CH Lim, M Puthia, M Butrym, HM Tay, MZY Lee, HW Hou, A Schmidtchen","Scientific reports 7 (1), 11201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8900014888078755900,4,2017
System and method for multiplexed affinity purification of proteins and cells,"A Sarkar, HW Hou, J Han, G Alter","US Patent App. 10/228,313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3239031035979382223,3,2019
Spiral Inertial Microfluidics for Cell Separation and Biomedical Applications,"N Liu, C Petchakup, HM Tay, KHH Li, HW Hou","Applications of Microfluidic Systems in Biology and Medicine, 99-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12177740300099736201,3,2019
Multiplexed Label-Free Fractionation of Peripheral Blood Mononuclear Cells for Identification of Monocyte–Platelet Aggregates,"HM Tay, WH Yeap, R Dalan, SC Wong, HW Hou","Analytical chemistry 90 (24), 14535-14542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12823862154899002000,3,2018
Microfluidic buffer exchange for interference-free micro/nanoparticle cell engineering,"HM Tay, DC Yeo, C Wiraja, C Xu, HW Hou","JoVE (Journal of Visualized Experiments), e54327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5227553204442486003,3,2016
Integrated inertial-impedance cytometry for rapid label-free leukocyte isolation and profiling of neutrophil extracellular traps (NETs),"C Petchakup, HM Tay, KHH Li, HW Hou","Lab on a Chip 19 (10), 1736-1746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2182269819153601755,2,2019
A convolutional neural network based single-frame super-resolution for lensless blood cell counting,"X Huang, Y Jiang, H Xu, X Liu, HW Hou, M Yan, H Yu","2016 IEEE Biomedical Circuits and Systems Conference (BioCAS), 168-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2334111719377091468,2,2016
Advances in neutrophil testing in type 2 diabetes mellitus,"HW Hou, HM Tay, R Dalan, BO Boehm",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12129268797012690735,1,2017
Novel microfluidic “cell-based” blood dialysis platform for murine model of sepsis,"HW Hou, MP Vera, BD Levy, RM Baron, J Han",17th International Conference on Miniaturized Systems for Chemistry and Life …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17772056257909968963,1,2014
DEFORMABILITY BASED CELL MARGINATION FOR MALARIAL IN-FECTED RED BLOOD CELL ENRICHMENT,"HW Hou, AAS Bhagat, P Mao, J Han, CT Lim",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16245246098020517098,1,0
Three-dimensional (3d) hydrogel patterning in microfluidic vascular models,"HW Hou, NV MENON, SN Wee, KHH LI","US Patent App. 16/336,784",,0,2019
LRG1 is a novel regulator of endothelial activation and is shear dependent: A Potential therapeutic target?,"KT Pang, CW Fhu, M Ghim, HM Tay, HW Hou, Q Lu, CM Warboys, ...",Atherosclerosis 275,,0,2018
Leukocyte and microparticles fractionation using microfluidics,"HW Hou, BO Boehm, HM Tay, SCJ Loo","US Patent App. 15/741,149",,0,2018
Rapid cell fractionation of whole immune organs using a novel microfluidic device,"I Pradhan, H Cohen, S Wong-Noonan, D Wells, R Lakomy, A Tajima, ...","The Journal of Immunology 200 (1 Supplement), 174.13-174.13",,0,2018
System and method for multiplexed affinity purification of proteins and cells,"A Sarkar, HW Hou, J Han, G Alter","US Patent App. 15/520,176",,0,2017
ATHEROSCLEROSIS-ON-A-CHIP: A TUNABLE 3D STENOTIC BLOOD VESSEL MICRODEVICE,"HLK Ho, HW Hou, NV Menon, HM Tay, R Dalan, SC Wong",MDPI,,0,2017
ATHEROSCLEROSIS-ON-A-CHIP: A TUNABLE 3D STENOTIC BLOOD VESSEL MICRODEVICE,"NV Menon, HM Tay, R Dalan, SC Wong, HLK Ho, HW Hou",MDPI AG,,0,2017
