Title,Authors,Platform,Cited_url,Cited_count,Year
The 2010 M,"EM Hill, JC Borrero, Z Huang, Q Qiu, P Banerjee, DH Natawidjaja, ...",Journal of Geophysical Research: Solid Earth 117 (B6),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3282414670072489970,11965903293245593627",131,2012
Locked and loading megathrust linked to active subduction beneath the Indo-Burman Ranges,"MS Steckler, DR Mondal, SH Akhter, L Seeber, L Feng, J Gale, EM Hill, ...","Nature Geoscience 9 (8), 615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2475901189013923716,85,2016
A statistical filtering approach for Gravity Recovery and Climate Experiment (GRACE) gravity data,"JL Davis, ME Tamisiea, P Elósegui, JX Mitrovica, EM Hill",Journal of Geophysical Research: Solid Earth 113 (B4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5364511802030686166,71,2008
Earthquake magnitude calculation without saturation from the scaling of peak ground displacement,"D Melgar, BW Crowell, J Geng, RM Allen, Y Bock, S Riquelme, EM Hill, ...","Geophysical Research Letters 42 (13), 5197-5205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1672785456615186808,66,2015
Impact of self‐attraction and loading on the annual cycle in sea level,"ME Tamisiea, EM Hill, RM Ponte, JL Davis, I Velicogna, NT Vinogradova",Journal of Geophysical Research: Oceans 115 (C7),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17144099857701622409,66,2010
"Characterization of site‐specific GPS errors using a short‐baseline network of braced monuments at Yucca Mountain, southern Nevada","EM Hill, JL Davis, P Elósegui, BP Wernicke, E Malikowski, NA Niemi",Journal of Geophysical Research: Solid Earth 114 (B11),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8443408388441276827,54,2009
Rupture process of the 2010 ,"H Yue, T Lay, L Rivera, Y Bai, Y Yamazaki, KF Cheung, EM Hill, K Sieh, ...","Journal of Geophysical Research: Solid Earth 119 (7), 5574-5593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=419594446948786084,52,2014
"The 2012 Mw 8.6 Wharton basin sequence: A cascade of great earthquakes generated by near‐orthogonal, young, oceanic mantle faults","EM Hill, H Yue, S Barbot, T Lay, P Tapponnier, I Hermawan, J Hubbard, ...","Journal of Geophysical Research: Solid Earth 120 (5), 3723-3747",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11505206172853188946,48,2015
Combination of geodetic observations and models for glacial isostatic adjustment fields in Fennoscandia,"EM Hill, JL Davis, ME Tamisiea, M Lidberg",Journal of Geophysical Research: Solid Earth 115 (B7),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1987765590975159695,48,2010
A unified GPS‐based earthquake catalog for the Sumatran plate boundary between 2002 and 2013,"L Feng, EM Hill, P Banerjee, I Hermawan, LLH Tsang, DH Natawidjaja, ...","Journal of Geophysical Research: Solid Earth 120 (5), 3566-3598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12020468469928401046,45,2015
The mechanism of partial rupture of a locked megathrust: The role of fault morphology,"Q Qiu, EM Hill, S Barbot, J Hubbard, W Feng, EO Lindsey, L Feng, K Dai, ...","Geology 44 (10), 875-878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2358711510060140753,43,2016
An estimate of increases in storm surge risk to property from sea level rise in the first half of the twenty-first century,"RN Hoffman, P Dailey, S Hopsch, RM Ponte, K Quinn, EM Hill, B Zachry","Weather, Climate, and Society 2 (4), 271-293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14371802794267135094,40,2010
"Three-dimensional deformation and strain induced by municipal pumping, part 1: Analysis of field data","TJ Burbey, SM Warner, G Blewitt, JW Bell, E Hill","Journal of Hydrology 319 (1-4), 123-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15087472985789238050,40,2006
Time-varying interseismic strain rates and similar seismic ruptures on the Nias–Simeulue patch of the Sunda megathrust,"AJ Meltzner, K Sieh, HW Chiang, CC Wu, LLH Tsang, CC Shen, EM Hill, ...","Quaternary Science Reviews 122, 258-281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1837570260374173956,38,2015
"Testing for fault activity at Yucca Mountain, Nevada, using independent GPS results from the BARGEN network","EM Hill, G Blewitt",Geophysical Research Letters 33 (14),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2000796319809469121,34,2006
Implications of the diffuse deformation of the Indian Ocean lithosphere for slip partitioning of oblique plate convergence in Sumatra,"KE Bradley, L Feng, EM Hill, DH Natawidjaja, K Sieh","Journal of Geophysical Research: Solid Earth 122 (1), 572-591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4184019748829258509,27,2017
Coseismic slip on shallow décollement megathrusts: implications for seismic and tsunami hazard,"J Hubbard, S Barbot, EM Hill, P Tapponnier","Earth-science reviews 141, 45-55",,27,2015
Coseismic slip on shallow décollement megathrusts: implications for seismic and tsunami hazard,"J Hubbard, S Barbot, EM Hill, P Tapponnier","Earth-science reviews 141, 45-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9749286455168733415,27,2015
Asthenosphere rheology inferred from observations of the 2012 Indian Ocean earthquake,"Y Hu, R Bürgmann, P Banerjee, L Feng, EM Hill, T Ito, T Tabei, K Wang","Nature 538 (7625), 368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11644578580329123357,24,2016
Transient rheology of the Sumatran mantle wedge revealed by a decade of great earthquakes,"Q Qiu, JDP Moore, S Barbot, L Feng, EM Hill","Nature communications 9 (1), 995",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5628831254629816345,22,2018
Half-metre sea-level fluctuations on centennial timescales from mid-Holocene corals of Southeast Asia,"AJ Meltzner, AD Switzer, BP Horton, E Ashe, Q Qiu, DF Hill, SL Bradley, ...","Nature communications 8, 14387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12027458920544894843,20,2017
"An ancient shallow slip event on the Mentawai segment of the Sunda megathrust, Sumatra","B Philibosian, K Sieh, DH Natawidjaja, HW Chiang, CC Shen, ...",Journal of Geophysical Research: Solid Earth 117 (B5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4803794183407345020,20,2012
Effects of self‐attraction and loading on annual variations of ocean bottom pressure,"NT Vinogradova, RM Ponte, ME Tamisiea, JL Davis, EM Hill",Journal of Geophysical Research: Oceans 115 (C6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=38255978732040519,20,2010
Afterslip following the 2007 ,"LLH Tsang, EM Hill, S Barbot, Q Qiu, L Feng, I Hermawan, P Banerjee, ...","Journal of Geophysical Research: Solid Earth 121 (12), 9034-9049",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=627428161938970772,17,2016
Validation of linearity assumptions for using tsunami waveforms in joint inversion of kinematic rupture models: Application to the 2010 Mentawai ,"H Yue, T Lay, L Li, Y Yamazaki, KF Cheung, L Rivera, EM Hill, K Sieh, ...","Journal of Geophysical Research: Solid Earth 120 (3), 1728-1747",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15240390535414512414,16,2015
Self‐attraction and loading effects on ocean mass redistribution at monthly and longer time scales,"NT Vinogradova, RM Ponte, ME Tamisiea, KJ Quinn, EM Hill, JL Davis",Journal of Geophysical Research: Oceans 116 (C8),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13066006194612126725,15,2011
Using ground‐based GPS to characterize atmospheric turbulence,"T Nilsson, JL Davis, EM Hill",Geophysical Research Letters 36 (16),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10211363397611314460,15,2009
A 15 year slow‐slip event on the Sunda megathrust offshore Sumatra,"LLH Tsang, AJ Meltzner, B Philibosian, EM Hill, JT Freymueller, K Sieh","Geophysical Research Letters 42 (16), 6630-6638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9081148402533830139,14,2015
A novel strategy for the discrimination of gelatinous Chinese medicines based on enzymatic digestion followed by nano-flow liquid chromatography in tandem with orbitrap mass …,"H Yang, Y Shen, Y Xu, AS Maqueda, J Zheng, Q Wu, JP Tam","International journal of nanomedicine 10, 4947","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9889371965012569775,495940981871675397",14,2015
Can the updip limit of frictional locking on megathrusts be detected geodetically? Quantifying the effect of stress shadows on near‐trench coupling,"R Almeida, EO Lindsey, K Bradley, J Hubbard, R Mallick, EM Hill","Geophysical Research Letters 45 (10), 4754-4763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4326029200688963424,12,2018
"A paleogeodetic record of variable interseismic rates and megathrust coupling at Simeulue Island, Sumatra","LLH Tsang, AJ Meltzner, EM Hill, JT Freymueller, K Sieh","Geophysical Research Letters 42 (24), 10,585-10,594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=318095486883810801,12,2015
Dynamic and regression modeling of ocean variability in the tide‐gauge record at seasonal and longer periods,"EM Hill, RM Ponte, JL Davis",Journal of Geophysical Research: Oceans 112 (C5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15820134749161269133,12,2007
A global database of strong‐motion displacement GNSS recordings and an example application to PGD scaling,"CJ Ruhl, D Melgar, J Geng, DE Goldberg, BW Crowell, RM Allen, Y Bock, ...","Seismological Research Letters 90 (1), 271-279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2518879415970153976,11,2018
"Piecemeal Rupture of the Mentawai Patch, Sumatra: The 2008 ","R Salman, EM Hill, L Feng, EO Lindsey, D Mele Veedu, S Barbot, ...","Journal of Geophysical Research: Solid Earth 122 (11), 9404-9419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2724266555951425620,10,2017
The 2015 M w 6.0 Mt. Kinabalu earthquake: an infrequent fault rupture within the Crocker fault system of East Malaysia,"Y Wang, S Wei, X Wang, EO Lindsey, F Tongkul, P Tapponnier, K Bradley, ...","Geoscience Letters 4 (1), 6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5716754534093354693,9,2017
Sibling earthquakes generated within a persistent rupture barrier on the Sunda megathrust under Simeulue Island,"PM Morgan, L Feng, AJ Meltzner, EO Lindsey, LLH Tsang, EM Hill","Geophysical Research Letters 44 (5), 2159-2166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6519863927848021159,8,2017
Structural control on downdip locking extent of the Himalayan megathrust,"EO Lindsey, R Almeida, R Mallick, J Hubbard, K Bradley, LLH Tsang, ...","Journal of Geophysical Research: Solid Earth 123 (6), 5265-5278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5192083074358216868,7,2018
Footprints of past earthquakes revealed in the afterslip of the 2010 ,"L Feng, S Barbot, EM Hill, I Hermawan, P Banerjee, DH Natawidjaja","Geophysical Research Letters 43 (18), 9518-9526",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13006037832331148073,7,2016
Stochastic filtering for determining gravity variations for decade‐long time series of GRACE gravity,"L Wang, JL Davis, EM Hill, ME Tamisiea","Journal of Geophysical Research: Solid Earth 121 (4), 2915-2931",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=78408589899628292,6,2016
Hunt for slow slip events along the Sumatran subduction zone in a decade of continuous GPS data,"L Feng, EM Hill, P Elósegui, Q Qiu, I Hermawan, P Banerjee, K Sieh","Journal of Geophysical Research: Solid Earth 120 (12), 8623-8632",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=657625787511200818,6,2015
Application of GNSS interferometric reflectometry for detecting storm surges,"D Peng, EM Hill, L Li, AD Switzer, KM Larson","GPS Solutions 23 (2), 47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1248140323287046620,5,2019
Tide Gauge Records Show That the 18.61‐Year Nodal Tidal Cycle Can Change High Water Levels by up to 30 cm,"D Peng, EM Hill, AJ Meltzner, AD Switzer","Journal of Geophysical Research: Oceans 124 (1), 736-749",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8911910250937047731,5,2019
Using a spatially realistic load model to assess impacts of Alaskan glacier ice loss on sea level,"EM Hill, JL Davis, ME Tamisiea, RM Ponte, NT Vinogradova",Journal of Geophysical Research: Solid Earth 116 (B10),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1180531128107501566,5,2011
The Diverse Slip Behavior of the Banyak Islands Section of the Sunda Megathrust Offshore Sumatra.,"PM Morgan, L Feng, Q Qiu, AJ Meltzner, LL Tsang, E Hill",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2145051140507294928,4,2015
"Postseismic coastal development in Aceh, Indonesia-Field observations and numerical modeling","K Monecke, E Meilianda, DJ Walstra, EM Hill, BG McAdoo, Q Qiu, ...","Marine Geology 392, 94-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6702219772101328113,3,2017
Very rapid afterslip following the shallow 2010 Mw 7.8 Mentawai tsunami earthquake,"L Feng, EM Hill, P Banerjee, AM Lubis, Q Qiu, KE Sieh",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14009982679800359364,3,2011
Active convergence of the India‐Burma‐Sunda plates revealed by a new continuous GPS network,"R Mallick, EO Lindsey, L Feng, J Hubbard, P Banerjee, EM Hill","Journal of Geophysical Research: Solid Earth 124 (3), 3155-3171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17101542763766332762,2,2019
Urban Flood Detection with Sentinel-1 Multi-Temporal Synthetic Aperture Radar (SAR) Observations in a Bayesian Framework: A Case Study for Hurricane Matthew,"YN Lin, SH Yun, A Bhardwaj, EM Hill","Remote Sensing 11 (15), 1778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10796624143210113550,2,2019
A catalog of coseismic uniform-slip models of geodetically unstudied earthquakes along the Sumatran plate boundary,"NZ Wong, L Feng, E Hill",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15517505561253105395,2,2017
Seafloor geodesy using wave gliders to study earthquake and tsunami hazards at subduction zones,"S Sathiakumar, S Barbot, E Hill, D Peng, J Zerucha, S Suhaimee, G Chia, ...",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4949207399300528165,2,2016
Earthquake-triggered 2018 Palu Valley landslides enabled by wet rice cultivation,"K Bradley, R Mallick, H Andikagumi, J Hubbard, E Meilianda, A Switzer, ...","Nature Geoscience 12 (11), 935-939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11725129221504095530,1,2019
"Spatiotemporal variations of extreme sea levels around the South China Sea: assessing the influence of tropical cyclones, monsoons and major climate modes","DT Pham, AD Switzer, G Huerta, AJ Meltzner, HM Nguyen, EM Hill","Natural Hazards, 1-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1419665149113174859,1,2019
Wet rice cultivation was the primary cause of the earthquake-triggered Palu landslides,"K Bradley, R Mallick, D Alfian, H Andikagumi, B Benazir, G Brocard, ...",EarthArXiv,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3831746166062094135,1,2019
"Ionospheric detection of tsunami earthquakes: observation, modeling and ideas for future early warning","G Occhipinti, F Manta, L Rolland, S Watada, JJ Makela, E Hill, E Astafieva, ...",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2316226572291707076,1,2017
Half-meter sea-level fluctuations on centennial timescales from mid-Holocene corals of Southeast Asia,"A Meltzner, A Switzer, B Horton, E Ashe, Q Qiu, D Hill, S Bradley, R Kopp, ...","EGU General Assembly Conference Abstracts 19, 5484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2616241600120334095,1,2017
"The 2016 Kumamoto Earthquake Sequence, A Series of Cross-fault and In-fault Triggering Events","Q Shi, S Wei, E Lindsey, L Feng, T Wang, Y Wang, M Chen, E Hill",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18329974448521544463,1,2016
Transient flow in the mantle wedge in the last decade following great earthquakes in the Sumatran subduction zone,"Q Qiu, S Barbot, E Hill, JDP Moore, L Feng, T Ezer",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7009052131558476793,1,2016
The 2008 Mw 7.2 North Pagai earthquake sequence and its relationship to ruptured and unruptured parts of the Mentawai patch,"R Salman, EM Hill, S Barbot, L Feng, P Banerjee, I Hermawan, ...",AGU Fall Meeting Abstracts,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=43154254642669083,1,2014
