Title,Authors,Platform,Cited_url,Cited_count,Year
A rapid and sensitive method for quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,MM Brasford,"Anal. Biochem. 72, 248-254","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12790998460616964710,16095479623967704447,9437680520151904739",1595,1976
Antisense RNA: function and fate of duplex RNA in cells of higher eukaryotes,"M Kumar, GG Carmichael","Microbiol. Mol. Biol. Rev. 62 (4), 1415-1434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17532766533903479794,427,1998
‘Waste’coir pith—a potential biomass for the treatment of dyeing wastewaters,"C Namasivayam, MD Kumar, K Selvi, RA Begum, T Vanathi, RT Yamuna","Biomass and Bioenergy 21 (6), 477-483",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7216947012496931840,305,2001
Mechanistic stoichiometry of mitochondrial oxidative phosphorylation,"PC Hinkle, MA Kumar, A Resetar, DL Harris","Biochemistry 30 (14), 3576-3582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18115651254271799989,220,1991
Measuring the task-evoked pupillary response with a remote eye tracker,"J Klingner, R Kumar, P Hanrahan","Proceedings of the 2008 symposium on Eye tracking research & applications, 69-72",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17490383693135270301,212,2008
Nuclear antisense RNA induces extensive adenosine modifications and nuclear retention of target transcripts,"M Kumar, GG Carmichael","Proceedings of the National Academy of Sciences 94 (8), 3542-3547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13402622100699168772,212,1997
"The effect of cooling rate on the survival of cryopreserved bull, ram, and boar spermatozoa: a comparison of two controlled-rate cooling machines","S Kumar, JD Millar, PF Watson","Cryobiology 46 (3), 246-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8702688264597889095,137,2003
Genetic algorithm–an approach to solve global optimization problems,"P Bajpai, M Kumar","Indian Journal of computer science and engineering 1 (3), 199-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13200522502522679455,129,2010
Experimental determination of the kinematic viscosity of glycerol-water mixtures,"PN Shankar, M Kumar",Proceedings of the Royal Society of London. Series A: Mathematical and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12644163979038181898,117,1994
Functional interaction between RAFT1/FRAP/mTOR and protein kinase Cδ in the regulation of cap‐dependent initiation of translation,"V Kumar, P Pandey, D Sabatini, M Kumar, PK Majumder, A Bharti, ...","The EMBO Journal 19 (5), 1087-1097",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7931026163841280997,114,2000
A score for predicting salvage and outcome in Gustilo type-IIIA and type-IIIB open tibial fractures,"S Rajasekaran, JN Babu, J Dheenadhayalan, AP Shetty, ...","The Journal of bone and joint surgery. British volume 88 (10), 1351-1360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6963092445807062399,113,2006
Isolation of an ftsZ homolog from the archaebacterium Halobacterium salinarium: implications for the evolution of FtsZ and tubulin.,"W Margolin, R Wang, M Kumar","Journal of Bacteriology 178 (5), 1320-1327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14852897231244352754,103,1996
Comparison of filters used for underwater image pre-processing,"G Padmavathi, P Subashini, MM Kumar, SK Thakur","International Journal of Computer Science and Network Security 10 (1), 58-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5100806565795476757,91,2010
"Structure, morphology, and optical properties of amorphous and nanocrystalline gallium oxide thin films","SS Kumar, EJ Rubio, M Noor-A-Alam, G Martinez, S Manandhar, ...","The Journal of Physical Chemistry C 117 (8), 4194-4200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17056533827317349691,87,2013
A facile strategy to design zeolite L crystals with tunable morphology and surface architecture,"AI Lupulescu, M Kumar, JD Rimer","Journal of the American Chemical Society 135 (17), 6608-6617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5037369587016080269,86,2013
"Synthesis and biological evaluation of thiophene [3, 2-b] pyrrole derivatives as potential anti-inflammatory agents","PR Kumar, S Raju, PS Goud, M Sailaja, MR Sarma, GO Reddy, ...","Bioorganic & medicinal chemistry 12 (5), 1221-1230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8293497075118059169,79,2004
The Staircase PhenomenonImplications for Monitoring of Neuromuscular Transmission,"AF Kopman, S Kumar, MM Klewicka, GG Neuman",Anesthesiology: The Journal of the American Society of Anesthesiologists 95 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8837432901679865149,74,2001
SSZ-13 crystallization by particle attachment and deterministic pathways to crystal size control,"M Kumar, H Luo, Y Román-Leshkov, JD Rimer","Journal of the American Chemical Society 137 (40), 13007-13017",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2061629979798409079,72,2015
Effect of bioactive tannoid principles of Emblica officinalis on iron-induced hepatic toxicity in rats,"A Bhattacharya, M Kumar, S Ghosal, SK Bhattacharya","Phytomedicine 7 (2), 173-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14902977571993859767,67,2000
Left ventricular diastolic function in end-stage renal disease and the impact of hemodialysis,"S Gupta, V Dev, MV Kumar, SC Dash","The American journal of cardiology 71 (16), 1427-1430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17040236419341698781,67,1993
Preparation and characterization of porous cross linked laccase aggregates for the decolorization of triphenyl methane and reactive dyes,"VV Kumar, MPP Kumar, KV Thiruvenkadaravi, P Baskaralingam, ...","Bioresource technology 119, 28-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4887590417342393540,66,2012
Evidence for regulated monoacylglycerol acyltransferase expression and activity in human liver,"AM Hall, K Kou, Z Chen, TA Pietka, M Kumar, KM Korenblat, K Lee, K Ahn, ...","Journal of lipid research 53 (5), 990-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18120472028765841544,65,2012
Regulation of the rapamycin and FKBP-target 1/mammalian target of rapamycin and cap-dependent initiation of translation by the c-Abl protein-tyrosine kinase,"V Kumar, D Sabatini, P Pandey, AC Gingras, PK Majumder, M Kumar, ...","Journal of Biological Chemistry 275 (15), 10779-10787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11422476762139358982,64,2000
"GGE biplot analysis to evaluate genotype, environment and their interactions in sorghum multi-location data","S Rakshit, KN Ganapathy, SS Gomashe, A Rathore, RB Ghorade, ...","Euphytica 185 (3), 465-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6326829636869381601,63,2012
Characterization of Heterogeneous Nickel Sites in CO Dehydrogenases from ,"CY Ralston, H Wang, SW Ragsdale, M Kumar, NJ Spangler, PW Ludden, ...","Journal of the American Chemical Society 122 (43), 10553-10560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4164565969057244831,63,2000
