Title,Authors,Platform,Cited_url,Cited_count,Year
Review of soil-water characteristic curve equations,"EC Leong, H Rahardjo","Journal of geotechnical and geoenvironmental engineering 123 (12), 1106-1117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4772615078939340692,546,1997
Permeability functions for unsaturated soils,"EC Leong, H Rahardjo","Journal of geotechnical and geoenvironmental engineering 123 (12), 1118-1126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5757488585047213511,349,1997
Controlling parameters for rainfall-induced landslides,"I Tsaparas, H Rahardjo, DG Toll, EC Leong","Computers and geotechnics 29 (1), 1-27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4793017442982316200,322,2002
Infiltration effects on stability of a residual soil slope,"JM Gasmo, H Rahardjo, EC Leong","Computers and geotechnics 26 (2), 145-165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14546249063223481938,274,2000
Factors controlling instability of homogeneous soil slopes under rainfall,"H Rahardjo, TH Ong, RB Rezaur, EC Leong","Journal of Geotechnical and Geoenvironmental Engineering 133 (12), 1532-1543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2450747897793369036,263,2007
The effect of antecedent rainfall on slope stability,"H Rahardjo, XW Li, DG Toll, EC Leong",Unsaturated Soil Concepts and Their Application in Geotechnical Practice …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11537156397503593308,258,2001
Response of a residual soil slope to rainfall,"H Rahardjo, TT Lee, EC Leong, RB Rezaur","Canadian Geotechnical Journal 42 (2), 340-351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8178575845504195323,229,2005
Total suction measurement of unsaturated soils with a device using the chilled-mirror dew-point technique,"EC Leong, S Tripathy, H Rahardjo","Geotechnique 53 (2), 173-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=254835853097883222,229,2003
Factors affecting the filter paper method for total and matric suction measurements,"EC Leong, L He, H Rahardjo","Geotechnical Testing Journal 25 (3), 322-333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14311285594032670648,226,2002
Measuring shear wave velocity using bender elements,"EC Leong, SH Yeo, H Rahardjo","Geotechnical Testing Journal 28 (5), 488-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5983717297333796838,196,2005
Factors affecting drying and wetting soil-water characteristic curves of sandy soils,"H Yang, H Rahardjo, EC Leong, DG Fredlund","Canadian Geotechnical Journal 41 (5), 908-920",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1720865344097219687,174,2004
Characteristics of residual soils in Singapore as formed by weathering,"H Rahardjo, KK Aung, EC Leong, RB Rezaur","Engineering Geology 73 (1-2), 157-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18091999465854980824,151,2004
One-dimensional analysis of soil plugs in pipe piles,"MF Randolph, EC Leong, GT Houlsby","Geotechnique 41 (4), 587-598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6605931953908835460,147,1991
Mechanics of residual soils,"GE Blight, EC Leong",CRC Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10112821126155447026,140,2012
Shear strength of a compacted residual soil from consolidated drained and constant water content triaxial tests,"H Rahardjo, OB Heng, LE Choon","Canadian Geotechnical Journal 41 (3), 421-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8297329197327525392,137,2004
Indirect measurement of suction,"R Bulut, EC Leong","Laboratory and Field Testing of Unsaturated Soils, 21-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1926001717669360032,131,2008
Shear strength equations for unsaturated soil under drying and wetting,"GS Guan, H Rahardjo, LE Choon","Journal of Geotechnical and Geoenvironmental Engineering 136 (4), 594-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16445260062480072808,127,2009
Effect of antecedent rainfall patterns on rainfall-induced slope failure,"A Rahimi, H Rahardjo, EC Leong","Journal of Geotechnical and Geoenvironmental Engineering 137 (5), 483-491",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15177785309314670248,124,2010
Effects of groundwater table position and soil properties on stability of slope during rainfall,"H Rahardjo, AS Nio, EC Leong, NY Song","Journal of geotechnical and geoenvironmental engineering 136 (11), 1555-1564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11550681499149337847,109,2010
Measuring shear and compression wave velocities of soil using bender–extender elements,"EC Leong, J Cahyadi, H Rahardjo","Canadian geotechnical journal 46 (7), 792-812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9626625884255321414,103,2009
Effect of hydraulic properties of soil on rainfall-induced slope failure,"A Rahimi, H Rahardjo, EC Leong","Engineering Geology 114 (3-4), 135-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13970390410772872464,98,2010
Effect of antecedent rainfall on pore‐water pressure distribution characteristics in residual soil slopes under tropical rainfall,"H Rahardjo, EC Leong, RB Rezaur","Hydrological Processes: An International Journal 22 (4), 506-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6673174167976199336,97,2008
Shear strength of compacted soil under infiltration condition,"F Melinda, H Rahardjo, KK Han, EC Leong","Journal of Geotechnical and Geoenvironmental Engineering 130 (8), 807-817",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2485146465780028893,89,2004
Effects of coarse-grained materials on properties of residual soil,"IGB Indrawan, H Rahardjo, EC Leong","Engineering Geology 82 (3), 154-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18004484021929404619,87,2006
Soil—water characteristic curves of Singapore residual soils,"SS Agus, EC Leong, H Rahardjo",Unsaturated soil concepts and their application in geotechnical practice …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8482059838088737465,83,2001
A flexible wall permeameter for measurements of water and air coefficients of permeability of residual soils,"AS Samingan, EC Leong, H Rahardjo","Canadian Geotechnical Journal 40 (3), 559-574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12520014728235286049,79,2003
Relationship between porosimetry measurement and soil—water characteristic curve for an unsaturated residual soil,"KK Aung, H Rahardjo, EC Leong, DG Toll",Unsaturated Soil Concepts and Their Application in Geotechnical Practice …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9747797065064074959,79,2001
A simplified method to estimate the soil-water characteristic curve,"KB Chin, EC Leong, H Rahardjo","Canadian Geotechnical Journal 47 (12), 1382-1400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13378146307512875239,78,2010
Effectiveness of horizontal drains for slope stability,"H Rahardjo, KJ Hritzuk, EC Leong, RB Rezaur","Engineering Geology 69 (3-4), 295-308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8108966002538904613,76,2003
Elastoplastic model for unsaturated soil with incorporation of the soil-water characteristic curve,"TM Thu, H Rahardjo, EC Leong","Canadian Geotechnical Journal 44 (1), 67-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6827715849242616039,75,2007
Shear strength and pore-water pressure characteristics during constant water content triaxial tests,"TM Thu, H Rahardjo, EC Leong","Journal of Geotechnical and Geoenvironmental Engineering 132 (3), 411-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11699818935361695921,74,2006
Effects of flux boundary conditions on pore-water pressure distribution in slope,"H Rahardjo, A Satyanaga, EC Leong","Engineering geology 165, 133-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14664355599524766964,73,2013
Suction measurements,"H Rahardjo, EC Leong","Unsaturated Soils 2006, 81-104","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15637372715856100900,16276283455045380412",73,2006
Behavior of unsaturated layered soil columns during infiltration,"H Yang, H Rahardjo, EC Leong","Journal of Hydrologic Engineering 11 (4), 329-337",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17905951190841140571,72,2006
A soil column apparatus for laboratory infiltration study,"H Yang, H Rahardjo, B Wibawa, EC Leong","Geotechnical Testing Journal 27 (4), 347-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3184164189757917732,71,2004
Infiltration characteristics of two instrumented residual soil slopes,"I Tsaparas, H Rahardjo, DG Toll, EC Leong","Canadian Geotechnical Journal 40 (5), 1012-1032",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12024501796491439489,70,2003
Instrumentation of an unsaturated residual soil slope,"J Gasmo, KJ Hritzuk, H Rahardjo, EC Leong","Geotechnical Testing Journal 22 (2), 134-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1623975066438131102,70,1999
Water characteristic curve of soil with bimodal grain-size distribution,"A Satyanaga, H Rahardjo, EC Leong, JY Wang","Computers and Geotechnics 48, 51-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14645422287968981344,68,2013
A study of infiltration on three sand capillary barriers,"H Yang, H Rahardjo, EC Leong, DG Fredlund","Canadian Geotechnical Journal 41 (4), 629-643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6620693936431868624,68,2004
Mini suction probe for matric suction measurements,"I Meilani, H Rahardjo, EC Leong, DG Fredlund","Canadian Geotechnical Journal 39 (6), 1427-1432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3546789998477865607,66,2002
Variability of residual soil properties,"H Rahardjo, A Satyanaga, EC Leong, YS Ng, HTC Pang","Engineering Geology 141, 124-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17566870507857820871,63,2012
Soil-water characteristic curve and consolidation behavior for a compacted silt,"TM Thu, H Rahardjo, EC Leong","Canadian Geotechnical Journal 44 (3), 266-275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11106045113269631649,61,2007
Soil improvement by surcharge and vacuum preloading,"H LEONG, EC, Soemitro, RAA, & Rahardjo","Géotechnique 50, 601-605","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6793479885252507301,9562169976632777967",58,2000
Design and laboratory verification of a physical model of sloping capillary barrier,"D Tami, H Rahardjo, EC Leong, DG Fredlund","Canadian Geotechnical Journal 41 (5), 814-830",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4285575005242887210,56,2004
Rainfall-induced slope failures,"H Rahardjo, EC Leong, MS Deutscher, JM Gasmo, SK Tang","NTU-PWD Geotechnical Research Centre, Nanyang Technological University",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4277396751716884636,56,2000
Effects of hysteresis on steady-state infiltration in unsaturated slopes,"D Tami, H Rahardjo, EC Leong","Journal of Geotechnical and Geoenvironmental Engineering 130 (9), 956-967",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5489118819592929444,55,2004
A physical model for sloping capillary barriers,"D Tami, H Rahardjo, EC Leong, DG Fredlund","Geotechnical Testing Journal 27 (2), 173-183",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14505211276352685153,53,2004
Sedimentation of clayey slurry,"TS Tan, KY Yong, EC Leong, SL Lee","Journal of geotechnical engineering 116 (6), 885-898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=178078355076973521,53,1990
Landslides in Singapore,"DG Toll, H Rahardjo, EC Leong","Proc. 2nd International Conference on Landslides, Slope Stability and the …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6444548208578845085,51,1999
Characterisation and engineering properties of Singapore residual soils,"EC Leong, H Rahardjo, SK Tang",Proceedings of the International Workshop on Characterisation and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5688018655142133497,49,2002
Performance of an instrumented slope covered with shrubs and deep-rooted grass,"H Rahardjo, A Satyanaga, EC Leong, VA Santoso, YS Ng","Soils and Foundations 54 (3), 417-425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17993879708292218831,48,2014
Effects of coarse-grained material on hydraulic properties and shear strength of top soil,"H Rahardjo, IGB Indrawan, EC Leong, WK Yong","Engineering Geology 101 (3-4), 165-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=775276753145313810,48,2008
Soil-water characteristic curves and flux boundary problems,"H Rahardjo, EC Leong","Unsaturated soil engineering practice, 88-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2894868156043044251,45,1997
Performance of an instrumented slope covered by a capillary barrier system,"H Rahardjo, VA Santoso, EC Leong, YS Ng, CJ Hua","Journal of geotechnical and geoenvironmental engineering 138 (4), 481-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3320082814597853283,44,2011
Calibrations of a high suction tensiometer.,"SDN Lourenço, D Gallipoli, DG Toll, CE Augarde, FD Evans, GM Medero","Géotechnique. 58 (8), 659-668","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18400087139460207206,10397853483139033060",43,2008
Assessment of statistical models for indirect determination of permeability functions from soil–water characteristic curves,"SS Agus, EC Leong, T Schanz","Géotechnique 53 (2), 279-282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9375079175102721477,43,2003
