Title,Authors,Platform,Cited_url,Cited_count,Year
Warped discrete-Fourier transform: Theory and applications,"A Makur, SK Mitra",IEEE Transactions on Circuits and Systems I: Fundamental Theory and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8133300474622388337,143,2001
Backtracking-based matching pursuit method for sparse signal reconstruction,"H Huang, A Makur","IEEE Signal Processing Letters 18 (7), 391-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7129663114360232187,110,2011
Iterative least squares and compression based estimations for a four-parameter linear global motion model and global motion compensation,"GB Rath, A Makur","IEEE Transactions on Circuits and Systems for Video Technology 9 (7), 1075-1099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18398504786067015225,110,1999
Lossy compression of encrypted image by compressive sensing technique,"AA Kumar, A Makur","TENCON 2009-2009 IEEE Region 10 Conference, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15831373376417205556,90,2009
Dictionary training for sparse representation as generalization of k-means clustering,"SK Sahoo, A Makur","IEEE Signal Processing Letters 20 (6), 587-590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1421164788642450074,79,2013
Signal recovery from random measurements via extended orthogonal matching pursuit,"SK Sahoo, A Makur","IEEE Transactions on Signal Processing 63 (10), 2572-2581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4635065046117043867,67,2015
A compressive sensing approach to object-based surveillance video coding,"D Venkatraman, A Makur","2009 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1037292267031684811,59,2009
Distributed source coding based encryption and lossless compression of gray scale and color images,"AA Kumar, A Makur","2008 IEEE 10th Workshop on Multimedia Signal Processing, 760-764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13992122930513234780,55,2008
Object-based surveillance video compression using foreground motion compensation,"RV Babu, A Makur","2006 9th International Conference on Control, Automation, Robotics and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12832641128727550145,48,2006
Online adaptive radial basis function networks for robust object tracking,"RV Babu, S Suresh, A Makur","Computer Vision and Image Understanding 114 (3), 297-310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7380203454168117325,46,2010
Distributed-block vector quantization coder,A Makur,"US Patent 4,963,030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11911480197565570764,42,1990
