Title,Authors,Platform,Cited_url,Cited_count,Year
SrNb,"Y Zhu, W Zhou, ZG Chen, Y Chen, C Su, MO Tadé, Z Shao","Angewandte Chemie International Edition 54 (13), 3897-3901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11456301924830680095,246,2015
Enhancing electrocatalytic activity of perovskite oxides by tuning cation deficiency for oxygen reduction and evolution reactions,"Y Zhu, W Zhou, J Yu, Y Chen, M Liu, Z Shao","Chemistry of Materials 28 (6), 1691-1697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9968904316911076043,225,2016
A perovskite electrocatalyst for efficient hydrogen evolution reaction,"X Xu, Y Chen, W Zhou, Z Zhu, C Su, M Liu, Z Shao","Advanced Materials 28 (30), 6442-6448",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17784206160472707563,149,2016
A High‐Performance Electrocatalyst for Oxygen Evolution Reaction: LiCo,"Y Zhu, W Zhou, Y Chen, J Yu, M Liu, Z Shao","Advanced Materials 27 (44), 7150-7155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16165461723398598496,139,2015
Advances in cathode materials for solid oxide fuel cells: complex oxides without alkaline earth metal elements,"Y Chen, W Zhou, D Ding, M Liu, F Ciucci, M Tade, Z Shao","Advanced Energy Materials 5 (18), 1500537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2194300579388842545,124,2015
Co‐doping Strategy for Developing Perovskite Oxides as Highly Efficient Electrocatalysts for Oxygen Evolution Reaction,"X Xu, C Su, W Zhou, Y Zhu, Y Chen, Z Shao","Advanced Science 3 (2), 1500187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12971670852655288997,123,2016
La-doped BaFeO 3− δ perovskite as a cobalt-free oxygen reduction electrode for solid oxide fuel cells with oxygen-ion conducting electrolyte,"F Dong, D Chen, Y Chen, Q Zhao, Z Shao","Journal of Materials Chemistry 22 (30), 15071-15079",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18371739788426646430,120,2012
Promotion of oxygen reduction by exsolved silver nanoparticles on a perovskite scaffold for low-temperature solid oxide fuel cells,"Y Zhu, W Zhou, R Ran, Y Chen, Z Shao, M Liu","Nano letters 16 (1), 512-518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4918808460863043946,106,2015
Boosting oxygen reduction reaction activity of palladium by stabilizing its unusual oxidation states in perovskite,"Y Zhu, W Zhou, Y Chen, J Yu, X Xu, C Su, MO Tadé, Z Shao","Chemistry of Materials 27 (8), 3048-3054",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14860592085934083541,81,2015
BaNb 0.05 Fe 0.95 O 3− δ as a new oxygen reduction electrocatalyst for intermediate temperature solid oxide fuel cells,"F Dong, Y Chen, R Ran, D Chen, MO Tadé, S Liu, Z Shao","Journal of Materials Chemistry A 1 (34), 9781-9791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3628897528456650428,64,2013
SrCo,"C Su, W Wang, Y Chen, G Yang, X Xu, MO Tadé, Z Shao","ACS applied materials & interfaces 7 (32), 17663-17670",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4527662743779038725,58,2015
Surprisingly high activity for oxygen reduction reaction of selected oxides lacking long oxygen-ion diffusion paths at intermediate temperatures: a case study of cobalt-free …,"F Dong, Y Chen, D Chen, Z Shao","ACS applied materials & interfaces 6 (14), 11180-11189",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7360751132929513426,52,2014
Stable direct-methane solid oxide fuel cells with calcium-oxide-modified nickel-based anodes operating at reduced temperatures,"J Qu, W Wang, Y Chen, X Deng, Z Shao","Applied energy 164, 563-571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16114921741617486655,50,2016
"Structural and oxygen-transport studies of double perovskites PrBa 1− x Co 2 O 5+ δ (x= 0.00, 0.05, and 0.10) toward their application as superior oxygen reduction electrodes","F Dong, M Ni, Y Chen, D Chen, MO Tadé, Z Shao","Journal of materials chemistry A 2 (48), 20520-20529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6631004398473494059,47,2014
Nano La 0.6 Ca 0.4 Fe 0.8 Ni 0.2 O 3− δ decorated porous doped ceria as a novel cobalt-free electrode for “symmetrical” solid oxide fuel cells,"G Yang, C Su, Y Chen, MO Tadé, Z Shao","Journal of Materials Chemistry A 2 (45), 19526-19535",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18377179575960369842,45,2014
Role of silver current collector on the operational stability of selected cobalt-containing oxide electrodes for oxygen reduction reaction,"Y Chen, F Wang, D Chen, F Dong, HJ Park, C Kwak, Z Shao","Journal of Power Sources 210, 146-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4388757673923257249,41,2012
Novel approach for developing dual-phase ceramic membranes for oxygen separation through beneficial phase reaction,"Z Zhang, W Zhou, Y Chen, D Chen, J Chen, S Liu, W Jin, Z Shao","ACS applied materials & interfaces 7 (41), 22918-22926",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16658194348442734972,39,2015
Tin-doped perovskite mixed conducting membrane for efficient air separation,"Z Zhang, Y Chen, MO Tade, Y Hao, S Liu, Z Shao","Journal of Materials Chemistry A 2 (25), 9666-9674",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2552031736303593531,36,2014
The influence of impurity ions on the permeation and oxygen reduction properties of Ba0. 5Sr0. 5Co0. 8Fe0. 2O3− δ perovskite,"Y Chen, B Qian, S Li, Y Jiao, MO Tade, Z Shao","Journal of membrane science 449, 86-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11525974290314713194,35,2014
