Title,Authors,Platform,Cited_url,Cited_count,Year
Innovating pedagogy 2016: Open University innovation report 5,"M Sharples, R de Roock, R Ferguson, M Gaved, C Herodotou, E Koh, ...","Institute of Educational Technology, The Open University","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10877353066725433280,4760985157498644979,18395029892458505100,15465248604495484528",612,2016
Leveraging mobile technology for sustainable seamless learning: a research agenda,"CK Looi, P Seow, BH Zhang, HJ So, W Chen, LH Wong","British journal of educational technology 41 (2), 154-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4399430117861495498,550,2010
What seams do we remove in mobile-assisted seamless learning? A critical review of the literature,"LH Wong, CK Looi","Computers & Education 57 (4), 2364-2381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6453434656245528353,484,2011
A learner‐centric view of mobile seamless learning,LH Wong,"British Journal of Educational Technology 43 (1), E19-E23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15408514694971280930,266,2012
Anatomy of a mobilized lesson: Learning my way,"CK Looi, LH Wong, HJ So, P Seow, Y Toh, W Chen, B Zhang, C Norris, ...","Computers & Education 53 (4), 1120-1132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15917930104373643232,227,2009
Students' personal and social meaning making in a Chinese idiom mobile learning environment,"LH Wong, CK Chin, CL Tan, M Liu","Journal of Educational Technology & Society 13 (4), 15-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11870425718821912367,182,2010
Vocabulary learning by mobile‐assisted authentic content creation and social meaning‐making: two case studies,"LH Wong, CK Looi","Journal of Computer Assisted Learning 26 (5), 421-433",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5448733334945227942,176,2010
Deconstructing and reconstructing: Transforming primary science learning via a mobilized curriculum,"BH Zhang, CK Looi, P Seow, G Chia, LH Wong, W Chen, HJ So, ...","Computers & Education 55 (4), 1504-1523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3629025755050570948,153,2010
Seamless learning: An international perspective on next-generation technology-enhanced learning,"M Milrad, LH Wong, M Sharples, GJ Hwang, CK Looi, H Ogata","Handbook of mobile learning, 133-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9645583308807779204,150,2013
Fostering personalized learning in science inquiry supported by mobile technologies,"Y Song, LH Wong, CK Looi","Educational Technology Research and Development 60 (4), 679-701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=343829510275143493,120,2012
Recognizing and measuring self-regulated learning in a mobile learning environment,"L Sha, CK Looi, W Chen, P Seow, LH Wong","Computers in Human Behavior 28 (2), 718-728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3559727610017227036,113,2012
Seamless learning in the age of mobile connectivity,"LH Wong, M Milrad, M Specht","Springer, Singapore",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2623243253687914811,93,2014
Implementing mobile learning curricula in a grade level: Empirical study of learning effectiveness at scale,"CK Looi, D Sun, L Wu, P Seow, G Chia, LH Wong, E Soloway, C Norris","Computers & Education 77, 101-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1178684436982886600,80,2014
How artefacts mediate small group co-creation activities in a mobile-assisted language learning environment,"LH Wong, W Chen, M Jan",Journal of Computer Assisted Learning,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6254341911879247746,77,2012
The Impact of Using Synchronous Collaborative Virtual Tangram in Children's Geometric.,"CP Lin, Y Shao, LH Wong, YJ Li, J Niramitranon","Turkish Online Journal of Educational Technology-TOJET 10 (2), 250-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9753525418306030380,72,2011
Supporting mobile collaborative activities through scaffolded flexible grouping,"I Boticki, CK Looi, LH Wong","Journal of Educational Technology & Society 14 (3), 190-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3397768493244591413,59,2011
Analysis of Students’ After-School Mobile-Assisted Artifact Creation Processes in a Seamless Language Learning Environment,LH Wong,Educational Technology & Society 6 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5516729932736864972,54,2013
Improving the scaffolds of a mobile-assisted Chinese character forming game via a design-based research cycle,"LH Wong, I Boticki, J Sun, CK Looi","Computers in Human Behavior 27 (5), 1783-1793",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6132436258856785829,54,2011
Adaptable learning pathway generation with ant colony optimization,"LH Wong, CK Looi","Journal of Educational Technology & Society 12 (3), 309-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10165260777176487555,52,2009
