Title,Authors,Platform,Cited_url,Cited_count,Year
Activation of auditory cortex during silent lipreading,"GA Calvert, ET Bullmore, MJ Brammer, R Campbell, SCR Williams, ...","science 276 (5312), 593-596",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17131372559796038920,1176,1997
Crossmodal processing in the human brain: insights from functional neuroimaging studies,GA Calvert,"Cerebral cortex 11 (12), 1110-1123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8483609389380320941,1060,2001
Evidence from functional magnetic resonance imaging of crossmodal binding in the human heteromodal cortex,"GA Calvert, R Campbell, MJ Brammer","Current biology 10 (11), 649-657",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10779423469593804437,1039,2000
The handbook of multisensory processes,"G Calvert, C Spence, BE Stein",MIT press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15909117680792291590,901,2004
Colored noise and computational inference in neurophysiological (fMRI) time series analysis: resampling methods in time and wavelet domains,"E Bullmore, C Long, J Suckling, J Fadili, G Calvert, F Zelaya, ...","Human brain mapping 12 (2), 61-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2860046716424740694,638,2001
Detection of audio-visual integration sites in humans by application of electrophysiological criteria to the BOLD effect,"GA Calvert, PC Hansen, SD Iversen, MJ Brammer","Neuroimage 14 (2), 427-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=278449669291630491,492,2001
Reading speech from still and moving faces: the neural substrates of visible speech,"GA Calvert, R Campbell","Journal of cognitive neuroscience 15 (1), 57-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11903066156478333830,414,2003
Multisensory integration: methodological approaches and emerging principles in the human brain,"GA Calvert, T Thesen","Journal of Physiology-Paris 98 (1-3), 191-205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4220901927058520059,395,2004
Response amplification in sensory-specific cortices during crossmodal binding,"GA Calvert, MJ Brammer, ET Bullmore, R Campbell, SD Iversen, ...","Neuroreport 10 (12), 2619-2623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11968155248992319657,386,1999
Using fMRI to study recovery from acquired dysphasia,"GA Calvert, MJ Brammer, RG Morris, SCR Williams, N King, PM Matthews","Brain and language 71 (3), 391-399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8696452163211437147,340,2000
Neural systems underlying British Sign Language and audio‐visual English processing in native users,"M MacSweeney, B Woll, R Campbell, PK McGuire, AS David, ...","Brain 125 (7), 1583-1593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13255650107683565681,265,2002
Cortical substrates for the perception of face actions: an fMRI study of the specificity of activation for seen speech and for meaningless lower-face acts (gurning),"R Campbell, M MacSweeney, S Surguladze, G Calvert, P McGuire, ...","Cognitive Brain Research 12 (2), 233-243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4554296660108982136,241,2001
Crossmodal identification,"GA Calvert, MJ Brammer, SD Iversen","Trends in cognitive sciences 2 (7), 247-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4880050340566914879,223,1998
Multisensory representation of limb position in human premotor cortex,"DM Lloyd, DI Shore, C Spence, GA Calvert","Nature neuroscience 6 (1), 17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5081278956563910052,215,2003
Extending or projecting peripersonal space with tools? Multisensory interactions highlight only the distal and proximal ends of tools,"NP Holmes, GA Calvert, C Spence","Neuroscience letters 372 (1-2), 62-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9391016023270598505,184,2004
The handbook of multisensory processing,"GA Calvert, C Spence, BE Stein",MIT press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1071982425000685003,171,2004
Dehydration affects brain structure and function in healthy adolescents,"MJ Kempton, U Ettinger, R Foster, SCR Williams, GA Calvert, ...","Human brain mapping 32 (1), 71-79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=559577550052628885,152,2011
Color of scents: chromatic stimuli modulate odor responses in the human brain,"RA Osterbauer, PM Matthews, M Jenkinson, CF Beckmann, PC Hansen, ...","Journal of neurophysiology 93 (6), 3434-3441",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9804137690598867814,148,2005
Perceiving identical sounds as speech or non-speech modulates activity in the left posterior superior temporal sulcus,"R Möttönen, GA Calvert, IP Jääskeläinen, PM Matthews, T Thesen, ...","Neuroimage 30 (2), 563-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8162866850086786658,144,2006
The impact of temporal compression and space selection on SVM analysis of single-subject and multi-subject fMRI data,"J Mourão-Miranda, E Reynaud, F McGlone, G Calvert, M Brammer","Neuroimage 33 (4), 1055-1065",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6018120009153172092,136,2006
Dissociating linguistic and nonlinguistic gestural communication in the brain,"M MacSweeney, R Campbell, B Woll, V Giampietro, AS David, ...","Neuroimage 22 (4), 1605-1618",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4246072468162071006,136,2004
Silent speechreading in the absence of scanner noise: an event-related fMRI study,"M MacSweeney, E Amaro, GA Calvert, R Campbell, AS David, P McGuire, ...","Neuroreport 11 (8), 1729-1733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5609748144385867386,136,2000
Dispersed activation in the left temporal cortex for speech-reading in congenitally deaf people,"M MacSweeney, R Campbell, GA Calvert, PK McGuire, AS David, ...",Proceedings of the Royal Society of London. Series B: Biological Sciences …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9648794454420937435,117,2001
Convergence or Association?,"LE Bernstein, ET Auer Jr, JK Moore","Handbook of multisensory processes, 203-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12059755375723436700,103,2004
Speechreading circuits in people born deaf,"M MacSweeney, GA Calvert, R Campbell, PK McGuire, AS David, ...","Neuropsychologia 40 (7), 801-807",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11180575674416892608,100,2002
Neural correlates of British sign language comprehension: spatial processing demands of topographic language,"M MacSweeney, B Woll, R Campbell, GA Calvert, PK McGuire, AS David, ...","Journal of Cognitive Neuroscience 14 (7), 1064-1075",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8622099016646089520,99,2002
Multisensory integration: perceptual grouping by eye and ear,"AJ King, GA Calvert","Current Biology 11 (8), R322-R325",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=329164173282538721,97,2001
Quantifying hand preference using a behavioural continuum,GA Calvert,"Laterality: Asymmetries of Body, Brain and Cognition 3 (3), 255-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7341910478602911418,91,1998
Tool-use: capturing multisensory spatial attention or extending multisensory peripersonal space?,"NP Holmes, D Sanabria, GA Calvert, C Spence","Cortex 43 (3), 469-489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12567284858636719407,86,2007
Tool use changes multisensory interactions in seconds: evidence from the crossmodal congruency task,"NP Holmes, GA Calvert, C Spence","Experimental Brain Research 183 (4), 465-476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1632881103969093507,85,2007
Audio–visual speech perception in schizophrenia: an fMRI study,"SA Surguladze, GA Calvert, MJ Brammer, R Campbell, ET Bullmore, ...","Psychiatry Research: Neuroimaging 106 (1), 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17675903810022360091,84,2001
