Title,Authors,Platform,Cited_url,Cited_count,Year
Functionalized carbon nanomaterials as nanocarriers for loading and delivery of a poorly water-soluble anticancer drug: a comparative study,"NG Sahoo, H Bao, Y Pan, M Pal, M Kakran, HKF Cheng, L Li, LP Tan","Chemical communications 47 (18), 5235-5237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14114811656634310039,252,2011
Porous polycaprolactone scaffold for cardiac tissue engineering fabricated by selective laser sintering,"WY Yeong, N Sudarmadji, HY Yu, CK Chua, KF Leong, SS Venkatraman, ...","Acta biomaterialia 6 (6), 2028-2034",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13117999849243818684,244,2010
Biodegradable stents with elastic memory,"SS Venkatraman, LP Tan, JFD Joso, YCF Boey, X Wang","Biomaterials 27 (8), 1573-1578",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7438395796151463085,185,2006
Controlled release of sirolimus from a multilayered PLGA stent matrix,"X Wang, SS Venkatraman, FYC Boey, JSC Loo, LP Tan","Biomaterials 27 (32), 5588-5595",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9342528390425206627,167,2006
Nanoparticles strengthen intracellular tension and retard cellular migration,"CY Tay, P Cai, MI Setyawati, W Fang, LP Tan, CHL Hong, X Chen, ...","Nano letters 14 (1), 83-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5888333837036444803,164,2013
Micropatterned matrix directs differentiation of human mesenchymal stem cells towards myocardial lineage,"CY Tay, H Yu, M Pal, WS Leong, NS Tan, KW Ng, DT Leong, LP Tan","Experimental cell research 316 (7), 1159-1168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10106565528117292250,159,2010
Collapse pressures of biodegradable stents,"S Venkatraman, TL Poh, T Vinalia, KH Mak, F Boey","Biomaterials 24 (12), 2105-2111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=973036352553897161,125,2003
Micro‐/nano‐engineered cellular responses for soft tissue engineering and biomedical applications,"CY Tay, SA Irvine, FYC Boey, LP Tan, S Venkatraman","Small 7 (10), 1361-1378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13079696608162164901,118,2011
Porous calcium phosphate ceramics modified with PLGA–bioactive glass,"X Miao, LP Tan, LS Tan, X Huang","Materials Science and Engineering: C 27 (2), 274-279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13917370966241826290,111,2007
Current status of bioinks for micro-extrusion-based 3D bioprinting,"A Panwar, L Tan","Molecules 21 (6), 685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13446875575477002626,107,2016
Using oxidation to increase the electrical conductivity of carbon nanotube electrodes,"H Tantang, JY Ong, CL Loh, X Dong, P Chen, Y Chen, X Hu, LP Tan, LJ Li","Carbon 47 (7), 1867-1870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4636698261467026269,106,2009
Mechanical behavior of human mesenchymal stem cells during adipogenic and osteogenic differentiation,"H Yu, CY Tay, WS Leong, SCW Tan, K Liao, LP Tan","Biochemical and biophysical research communications 393 (1), 150-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5964570172782164960,92,2010
Cellular behavior of human mesenchymal stem cells cultured on single-walled carbon nanotube film,"CY Tay, H Gu, WS Leong, H Yu, HQ Li, BC Heng, H Tantang, SCJ Loo, ...","Carbon 48 (4), 1095-1104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5367047184585226940,89,2010
Thickness sensing of hMSCs on collagen gel directs stem cell fate,"WS Leong, CY Tay, H Yu, A Li, SC Wu, DH Duc, CT Lim, LP Tan","Biochemical and biophysical research communications 401 (2), 287-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1858718755030778178,82,2010
Human keratin hydrogels support fibroblast attachment and proliferation in vitro,"S Wang, F Taraballi, LP Tan, KW Ng","Cell and tissue research 347 (3), 795-802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8661588712772864222,78,2012
Multiscale topological guidance for cell alignment via direct laser writing on biodegradable polymer,"WY Yeong, H Yu, KP Lim, KLG Ng, YCF Boey, VS Subbu, LP Tan","Tissue Engineering Part C: Methods 16 (5), 1011-1021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15819417615056977007,65,2010
Cross-talk between TGF-beta/SMAD and integrin signaling pathways in regulating hypertrophy of mesenchymal stem cell chondrogenesis under deferral dynamic compression,"T Zhang, F Wen, Y Wu, GSH Goh, Z Ge, LP Tan, JHP Hui, Z Yang","Biomaterials 38, 72-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13525327312830454797,61,2015
Effect of plasticization on heparin release from biodegradable matrices,"LP Tan, SS Venkatraman, PF Sung, XT Wang","International journal of pharmaceutics 283 (1-2), 89-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8894050695111709208,56,2004
Multifunctional wettability patterns prepared by laser processing on superhydrophobic TiO 2 nanostructured surfaces,"H Li, Y Lai, J Huang, Y Tang, L Yang, Z Chen, K Zhang, X Wang, LP Tan","Journal of Materials Chemistry B 3 (3), 342-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11953726824241350193,54,2015
Bio‐inspired Micropatterned Platform to Steer Stem Cell Differentiation,"CY Tay, M Pal, H Yu, WS Leong, NS Tan, KW Ng, S Venkatraman, F Boey, ...","Small 7 (10), 1416-1421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6151736579183988922,54,2011
Direct laser machining-induced topographic pattern promotes up-regulation of myogenic markers in human mesenchymal stem cells,"H Li, F Wen, YS Wong, FYC Boey, VS Subbu, DT Leong, KW Ng, GKL Ng, ...","Acta biomaterialia 8 (2), 531-539",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7006089150970178243,53,2012
Precise tuning of facile one-pot gelatin methacryloyl (GelMA) synthesis,"H Shirahama, BH Lee, LP Tan, NJ Cho","Scientific reports 6, 31036",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3207947647704117613,52,2016
"Graphene-crosslinked polyurethane block copolymer nanocomposites with enhanced mechanical, electrical, and shape memory properties","S Rana, JW Cho, LP Tan","RSC Advances 3 (33), 13796-13803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15937493098412075549,48,2013
Esophageal tissue engineering: An in‐depth review on scaffold design,"JY Tan, CK Chua, KF Leong, KS Chian, WS Leong, LP Tan","Biotechnology and bioengineering 109 (1), 1-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12533941488798901836,48,2012
Human mesenchymal stem‐cell behaviour on direct laser micropatterned electrospun scaffolds with hierarchical structures,"H Li, YS Wong, F Wen, KW Ng, GKL Ng, SS Venkatraman, FYC Boey, ...","Macromolecular bioscience 13 (3), 299-310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4775754906509944209,46,2013
Biodegradable elastomer for soft tissue engineering,"LY Lee, SC Wu, SS Fu, SY Zeng, WS Leong, LP Tan","European Polymer Journal 45 (11), 3249-3256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10410067585097914370,43,2009
Synthesis and characterization of types a and b gelatin methacryloyl for bioink applications,"B Lee, N Lum, L Seow, P Lim, L Tan","Materials 9 (10), 797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10909773786022924406,41,2016
Insights into the role of focal adhesion modulation in myogenic differentiation of human mesenchymal stem cells,"H Yu, YS Lui, S Xiong, WS Leong, F Wen, H Nurkahfianto, S Rana, ...","Stem cells and development 22 (1), 136-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2766114630687840956,41,2012
Electrospun 3D fibrous scaffolds for chronic wound repair,"H Chen, Y Peng, S Wu, L Tan","Materials 9 (4), 272",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=80615954388823890,38,2016
Modulation of Huh7. 5 spheroid formation and functionality using modified PEG-based hydrogels of different stiffness,"BH Lee, MH Kim, JH Lee, D Seliktar, NJ Cho, LP Tan","PloS one 10 (2), e0118123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9385283654919149460,38,2015
