Title,Authors,Platform,Cited_url,Cited_count,Year
"Confidence: A better predictor of academic achievement than self-efficacy, self-concept and anxiety?","L Stankov, J Lee, W Luo, DJ Hogan","Learning and Individual Differences 22 (6), 747-758",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16694097783541342031,217,2012
Do performance goals promote learning? A pattern analysis of Singapore students’ achievement goals,"W Luo, SG Paris, D Hogan, Z Luo","Contemporary Educational Psychology 36 (2), 165-176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15204154644741057263,138,2011
Assessment and the logic of instructional practice in Secondary 3 English and mathematics classrooms in Singapore,"D Hogan, M Chan, R Rahim, D Kwek, K Maung Aye, SC Loo, YZ Sheng, ...","Review of Education 1 (1), 57-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3951309008237728029,79,2013
Predicting Singapore students' achievement goals in their English study: Self-construal and classroom goal structure,"W Luo, D Hogan, SG Paris","Learning and Individual Differences 21 (5), 526-535",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7337366495109957420,46,2011
"Self‐construal and students’ math self‐concept, anxiety and achievement: An examination of achievement goals as mediators","W Luo, D Hogan, LS Tan, B Kaur, PT Ng, M Chan","Asian Journal of Social Psychology 17 (3), 184-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2090914198957706007,40,2014
Parenting behaviors and learning of Singapore students: The mediational role of achievement goals,"W Luo, KM Aye, D Hogan, B Kaur, MCY Chan","Motivation and Emotion 37 (2), 274-285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11051084926970199373,39,2013
Validating a new measure of self-complexity,"W Luo, D Watkins, RYH Lam","Journal of personality assessment 91 (4), 381-386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4367068494656836661,32,2009
Forgiveness and Interpersonal Relationships: A Nepalese Investigation,"DA Watkins, EKP Hui, W Luo, M Regmi, EL Worthington Jr, JN Hook, ...","The Journal of social psychology 151 (2), 150-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9156397183740045953,31,2011
Confounded statistical analyses hinder interpretation of the NELP report,"SG Paris, SW Luo","Educational Researcher 39 (4), 316-322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17913670956291030988,31,2010
多维尺度法及其在心理学领域中的应用,骆文淑， 赵守盈,"中国考试, 27-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10660645147786251094,31,2005
Clarifying the measurement of a self-structural process variable: The case of self-complexity,"W Luo, D Watkins","International Journal of Testing 8 (2), 143-165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3984426378441800761,25,2008
