Title,Authors,Platform,Cited_url,Cited_count,Year
Random laser action in ZnO nanorod arrays embedded in ZnO epilayers,"SF Yu, C Yuen, SP Lau, WI Park, GC Yi","Applied physics letters 84 (17), 3241-3243",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=252392560800764009,249,2004
Zinc oxide thin-film random lasers on silicon substrate,"SF Yu, C Yuen, SP Lau, HW Lee","Applied physics letters 84 (17), 3244-3246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9898828781392925810,149,2004
Fabrication of ,"C Yuen, SF Yu, SP Lau, Rusli, TP Chen","Applied Physics Letters 86 (24), 241111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2336714487323506793,112,2005
Room-temperature ultraviolet lasing from zinc oxide microtubes,"XW Sun, SF Yu, CX Xu, C Yuen, BJ Chen, S Li","Japanese journal of applied physics 42 (10B), L1229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6276545171308681820,95,2003
Ultraviolet amplified spontaneous emission from zinc oxide ridge waveguides on silicon substrate,"SF Yu, C Yuen, SP Lau, YG Wang, HW Lee, BK Tay","Applied physics letters 83 (21), 4288-4290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4725320640746196762,83,2003
Ultraviolet amplified spontaneous emission from self-organized network of zinc oxide nanofibers,"CX Xu, XW Sun, C Yuen, BJ Chen, SF Yu, ZL Dong","Applied Physics Letters 86 (1), 011118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18388244913814643524,75,2005
Low-loss and directional output ZnO thin-film ridge waveguide random lasers with MgO capped layer,"C Yuen, SF Yu, ESP Leong, HY Yang, SP Lau, NS Chen, HH Hng","Applied Physics Letters 86 (3), 031112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14708887688781882569,59,2005
Magnetic field enriched surface enhanced resonance Raman spectroscopy for early malaria diagnosis,"C Yuen, Q Liu","Journal of Biomedical Optics 17 (1), 017005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16621180798847812034,58,2012
Low-level detection of anti-cancer drug in blood plasma using microwave-treated gold-polystyrene beads as surface-enhanced Raman scattering substrates,"C Yuen, W Zheng, Z Huang","Biosensors and Bioelectronics 26 (2), 580-584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7480369470389150929,51,2010
Ultraviolet lasing of ZnO whiskers prepared by catalyst-free thermal evaporation,"YG Wang, C Yuen, SP Lau, SF Yu, BK Tay","Chemical physics letters 377 (3-4), 329-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1833146695545325211,51,2003
Strain dependence of lasing mechanisms in ZnO epilayers,"HD Li, SF Yu, AP Abiyasa, C Yuen, SP Lau, HY Yang, ESP Leong","Applied Physics Letters 86 (26), 261111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2310055235296825921,50,2005
Flexible ultraviolet random lasers based on nanoparticles,"SP Lau, H Yang, SF Yu, C Yuen, ESP Leong, H Li, HH Hng","Small 1 (10), 956-959",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17423956580446190932,46,2005
Recovery of Raman spectra with low signal-to-noise ratio using Wiener estimation,"S Chen, X Lin, C Yuen, S Padmanabhan, RW Beuerman, Q Liu","Optics express 22 (10), 12102-12114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10059750257177399345,42,2014
Design and fabrication of ZnO light-emitting devices using filtered cathodic vacuum arc technique,"C Yuen, SF Yu, SP Lau, GCK Chen","Journal of crystal growth 287 (1), 204-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12702883875606093662,40,2006
Towards ultrasensitive malaria diagnosis using surface enhanced Raman spectroscopy,"K Chen, C Yuen, Y Aniweh, P Preiser, Q Liu","Scientific reports 6, 20177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11198750878053272891,29,2016
Optimization of Fe 3 O 4@ Ag nanoshells in magnetic field-enriched surface-enhanced resonance Raman scattering for malaria diagnosis,"C Yuen, Q Liu","Analyst 138 (21), 6494-6500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6506639661543984970,29,2013
Influence of charge trapping on electroluminescence from Si-nanocrystal light emitting structure,"Y Liu, TP Chen, L Ding, M Yang, JI Wong, CY Ng, SF Yu, ZX Li, C Yuen, ...","Journal of applied physics 101 (10), 104306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5811063325822650426,28,2007
Room temperature deposition of ,"C Yuen, SF Yu, ESP Leong, SP Lau, K Pita, HY Yang, TP Chen","Journal of applied physics 101 (9), 094905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1537564111609289803,27,2007
Towards ,"C Yuen, Q Liu","Journal of biophotonics 7 (9), 683-689",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4040189597981910319,26,2014
Improving surface-enhanced Raman scattering effect using gold-coated hierarchical polystyrene bead substrates modified with postgrowth microwave treatment,"C Yuen, W Zheng, Z Huang","Journal of biomedical optics 13 (6), 064040",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15625580133954158813,21,2008
"Surface-enhanced raman scattering: principles, nanostructures, fabrications, and biomedical applications","C Yuen, W Zheng, Z Huang","Journal of Innovative Optical Health Sciences 1 (02), 267-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2721701473817550404,20,2008
Ultraviolet lasing phenomenon of zinc oxide hexagonal microtubes,"C Yuen, FY Siu, XW Sun, CX Xu, ESP Leong, SP Lau, CK Chen","Japanese journal of applied physics 43 (8R), 5273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17481913749648171795,19,2004
Formation conditions of random laser cavities in annealed ZnO epilayers,"C Yuen, SF Yu, ESP Leong, HY Yang, SP Lau, HH Hng","IEEE journal of quantum electronics 41 (7), 970-973",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9467712209676368944,18,2005
Design and fabrication of zinc oxide thin-film ridge waveguides on silicon substrate with ultraviolet amplified spontaneous emission,"SF Yu, C Yuen, SP Lau, WJ Fan","IEEE journal of quantum electronics 40 (4), 406-412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11736321560878589911,17,2004
Hollow agarose microneedle with silver coating for intradermal surface-enhanced Raman measurements: a skin-mimicking phantom study,"C Yuen, Q Liu","Journal of biomedical optics 20 (6), 061102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2554423320919969040,15,2015
Optimization of extinction efficiency of gold‐coated polystyrene bead substrates improves surface‐enhanced Raman scattering effects by post‐growth microwave heating treatment,"C Yuen, W Zheng, Z Huang",Journal of Raman Spectroscopy: An International Journal for Original Work in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10353033662309261704,13,2010
Method of diagnosing malaria infection in a patient by surface enhanced resonance raman spectroscopy,"Q Liu, C Yuen","US Patent 9,671,347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18329472448928403852,10,2017
Influence of surface roughness on the lasing performance of highly disordered ZnO films,"AP Abiyasa, SF Yu, C Yuen, SP Lau","IEEE photonics technology letters 18 (22), 2380-2382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1486224534564990176,10,2006
Towards field malaria diagnosis using surface enhanced Raman spectroscopy,"K Chen, A Xiong, C Yuen, P Preiser, Q Liu","Biophotonics: Photonic Solutions for Better Health Care V 9887, 98870M",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16722875205155835273,2,2016
Investigation of surface enhanced Raman spectroscopy for hemozoin detection in malaria diagnosis,"K Chen, A Xiong, C Yuen, P Preiser, Q Liu",Optical Diagnostics and Sensing XVI: Toward Point-of-Care Diagnostics 9715 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9582645185304365282,2,2016
Surface-Enhanced Raman Spectroscopy for Intradermal Measurements,"K Chen, YH Ong, C Yuen, Q Liu","Imaging in Dermatology, 141-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4597190481832640167,2,2016
Effect of magnetic field in malaria diagnosis using magnetic nanoparticles,"Q Liu, C Yuen","European Conference on Biomedical Optics, 80870E",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11917611454800974353,2,2011
Ag coated microneedle based surface enhanced Raman scattering probe for intradermal measurements,"C Yuen, Q Liu","European Conference on Biomedical Optics, 87980R",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17938732777758686818,1,2013
Saliva analysis using surface-enhanced Raman spectroscopy technique,"C Yuen, W Zheng, Z Huang","Optics in Health Care and Biomedical Optics III 6826, 682610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1442641370179355198,1,2008
UV light source from a zinc oxide microtube,"XW Sun, SF Yu, CX Xu, C Yuen, BJ Chen","Journal of the Society for Information Display 12 (4), 505-508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5845556124758187565,1,2004
Surface enhanced Raman spectroscopy for malaria diagnosis and intradermal measurements,"Q Liu, C Yuen, K Chen, J Ju, A Xiong, P Preiser","Plasmonics in Biology and Medicine XV 10509, 1050902",,0,2018
Corrigendum: Towards ultrasensitive malaria diagnosis using surface enhanced Raman spectroscopy,"K Chen, C Yuen, Y Aniweh, P Preiser, Q Liu","Scientific reports 7, 44511",,0,2017
