Title,Authors,Platform,Cited_url,Cited_count,Year
Synthesis and crystal chemistry of the hybrid perovskite (CH 3 NH 3) PbI 3 for solid-state sensitised solar cell applications,"T Baikie, Y Fang, JM Kadro, M Schreyer, F Wei, SG Mhaisalkar, ...","Journal of Materials Chemistry A 1 (18), 5628-5641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10823955970076254095,1811,2013
Composition-Tunable Zn x Cd1-x Se Nanocrystals with High Luminescence and Stability,"X Zhong, M Han, Z Dong, TJ White, W Knoll","Journal of the American Chemical Society 125 (28), 8589-8594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3015582288494634995,595,2003
Biphasic Pd− Au Alloy Catalyst for Low-Temperature CO Oxidation,"J Xu, T White, P Li, C He, J Yu, W Yuan, YF Han","Journal of the American Chemical Society 132 (30), 10398-10406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7177304389526597818,303,2010
Low-temperature synthesis and microstructural control of titania nano-particles,"Y Li, TJ White, SH Lim","Journal of solid state chemistry 177 (4-5), 1372-1381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17548527943907656313,255,2004
Structural derivation and crystal chemistry of apatites,"TJ White, ZL Dong","Acta Crystallographica Section B: Structural Science 59 (1), 1-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4957619737237676928,249,2003
Nomenclature of the apatite supergroup minerals,"M Pasero, AR Kampf, C Ferraris, IV Pekov, J Rakovan, TJ White","European Journal of Mineralogy 22 (2), 163-179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=266138922805391238,236,2010
Electrocatalytic activity and interconnectivity of Pt nanoparticles on multiwalled carbon nanotubes for fuel cells,"S Wang, SP Jiang, TJ White, J Guo, X Wang","The Journal of Physical Chemistry C 113 (43), 18935-18945",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12439047614875841546,236,2009
Apatite–an adaptive framework structure,"T White, C Ferraris, J Kim, S Madhavi","Reviews in Mineralogy and Geochemistry 57 (1), 307-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10440386764680519767,174,2005
"A combined single crystal neutron/X-ray diffraction and solid-state nuclear magnetic resonance study of the hybrid perovskites CH 3 NH 3 PbX 3 (X= I, Br and Cl)","T Baikie, NS Barrow, Y Fang, PJ Keenan, PR Slater, RO Piltz, M Gutmann, ...","Journal of Materials Chemistry A 3 (17), 9298-9307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=750794113985410521,163,2015
Controlling the crystallinity and nonlinear optical properties of transparent TiO2–PMMA nanohybrids,"AH Yuwono, B Liu, J Xue, J Wang, HI Elim, W Ji, Y Li, TJ White","Journal of Materials Chemistry 14 (20), 2978-2987",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13764978852465615748,163,2004
"Behavior of aluminum oxide, intermetallics and voids in Cu–Al wire bonds","H Xu, C Liu, VV Silberschmidt, SS Pramana, TJ White, Z Chen, VL Acoff","Acta Materialia 59 (14), 5661-5673",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15043272017995030598,159,2011
Gadolinium oxide ultranarrow nanorods as multimodal contrast agents for optical and magnetic resonance imaging,"GK Das, BC Heng, SC Ng, T White, JSC Loo, L D’Silva, P Padmanabhan, ...","Langmuir 26 (11), 8959-8965",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8865365679130252026,153,2010
Low‐Temperature Growth of SnO2 Nanorod Arrays and Tunable n–p–n Sensing Response of a ZnO/SnO2 Heterojunction for Exclusive Hydrogen Sensors,"H Huang, H Gong, CL Chow, J Guo, TJ White, MS Tse, OK Tan","Advanced Functional Materials 21 (14), 2680-2686",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6391975390104205597,150,2011
Transparent nanohybrids of nanocrystalline TiO2 in PMMA with unique nonlinear optical behavior,"AH Yuwono, J Xue, J Wang, HI Elim, W Ji, Y Li, TJ White","Journal of Materials Chemistry 13 (6), 1475-1479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11316042996071699519,138,2003
Carbon-coated nanophase CaMoO4 as anode material for Li ion batteries,"N Sharma, KM Shaju, GV Subba Rao, BVR Chowdari, ZL Dong, TJ White","Chemistry of materials 16 (3), 504-512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15808504264389751372,133,2004
Large-scale preparation of carbon-encapsulated cobalt nanoparticles by the catalytic method,"BH Liu, J Ding, ZY Zhong, ZL Dong, T White, JY Lin","Chemical Physics Letters 358 (1-2), 96-102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14449164147175011402,130,2002
Room temperature deposition of titanium carbide thin films using dense plasma focus device,"RS Rawat, P Lee, T White, L Ying, S Lee","Surface and Coatings Technology 138 (2-3), 159-165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1216554100097552735,128,2001
Deposition of titanium nitride thin films on stainless steel—AISI 304 substrates using a plasma focus device,"RS Rawat, WM Chew, P Lee, T White, S Lee","Surface and Coatings Technology 173 (2-3), 276-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=907308296739847849,127,2003
"Structure determinations for Ca3Ti2O7, Ca4Ti3O10, Ca3. 6Sr0. 4Ti3O10 and a refinement of Sr3Ti2O7","MM Elcombe, EH Kisi, KD Hawkins, TJ White, P Goodman, S Matheson","Acta Crystallographica Section B: Structural Science 47 (3), 305-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13907286498347235245,125,1991
"The microstructure and microchemistry of synthetic zirconolite, zirkelite and related phases",TJ White,"American Mineralogist 69 (11-12), 1156-1172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9329087913542037065,118,1984
Degradation of methylene blue by three-dimensionally ordered macroporous titania,"M Srinivasan, T White","Environmental science & technology 41 (12), 4405-4409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5616701818337913601,114,2007
Cadmium and lead ion capture with three dimensionally ordered macroporous hydroxyapatite,"M Srinivasan, C Ferraris, T White","Environmental science & technology 40 (22), 7054-7059",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15216386453565415114,110,2006
Compositional and structural alteration of pyrrhotite surfaces in solution: XPS and XRD studies,"CF Jones, S LeCount, RSC Smart, TJ White","Applied Surface Science 55 (1), 65-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7543966826246751470,109,1992
Au promotional effects on the synthesis of H2O2 directly from H2 and O2 on supported Pd-Au alloy catalysts,"YF Han, Z Zhong, K Ramesh, F Chen, L Chen, T White, Q Tay, SN Yaakub, ...","The Journal of Physical Chemistry C 111 (24), 8410-8413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1514072751069366240,100,2007
Synthesis of boron nitride nanowires,"KF Huo, Z Hu, F Chen, JJ Fu, Y Chen, BH Liu, J Ding, ZL Dong, T White","Applied Physics Letters 80 (19), 3611-3613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17469400042168201276,98,2002
"Crystal chemical incorporation of high level waste species in aluminotitanate-based ceramics: Valence, location, radiation damage, and hydrothermal durability","PE Fielding, TJ White","Journal of Materials Research 2 (3), 387-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16916535633764414937,95,1987
Hydroxyapatite foam as a catalyst for formaldehyde combustion at room temperature,"J Xu, T White, P Li, C He, YF Han","Journal of the American Chemical Society 132 (38), 13172-13173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12890438996055473734,93,2010
Mineral nomenclature: zirconolite,"P Bayliss, F Mazzi, R Munno, TJ White","Mineralogical Magazine 53 (373), 565-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8583104240611755371,92,1989
A re-examination of the mechanism of thermosonic copper ball bonding on aluminium metallization pads,"H Xu, C Liu, VV Silberschmidt, SS Pramana, TJ White, Z Chen","Scripta Materialia 61 (2), 165-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11148008802872417693,89,2009
"Mechanical properties of organic–inorganic halide perovskites, CH 3 NH 3 PbX 3 (X= I, Br and Cl), by nanoindentation","S Sun, Y Fang, G Kieslich, TJ White, AK Cheetham","Journal of Materials Chemistry A 3 (36), 18450-18455",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11219441678127192658,85,2015
Small and Medium sized Reactors (SMR): A review of technology,"MK Rowinski, TJ White, J Zhao","Renewable and Sustainable Energy Reviews 44, 643-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15581080007605729189,84,2015
