Title,Authors,Platform,Cited_url,Cited_count,Year
"Review on recent progress in nitrogen-doped graphene: synthesis, characterization, and its potential applications","H Wang, T Maiyalagan, X Wang","Acs Catalysis 2 (5), 781-794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8308069697684171016,2334,2012
Imparting functionality to a metal–organic framework material by controlled nanoparticle encapsulation,"G Lu, S Li, Z Guo, OK Farha, BG Hauser, X Qi, Y Wang, X Wang, S Han, ...","Nature chemistry 4 (4), 310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18093523249249618902,1100,2012
A metal-organic-framework-derived bi-functional oxygen electrocatalyst,"XW Bao Yu Xia, Ya Yan, Nan Li, Hao Bin Wu, Xiong Wen (David) Lou",Nature Energy 1 (doi:10.1038/nenergy.2015.6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=331118143841746242,979,2016
Proton exchange membrane fuel cells with carbon nanotube based electrodes,"C Wang, M Waje, X Wang, JM Tang, RC Haddon, Y Yan","Nano letters 4 (2), 345-348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9124449068376275353,882,2004
Molybdenum phosphide as an efficient electrocatalyst for the hydrogen evolution reaction,"P Xiao, MA Sk, L Thia, X Ge, RJ Lim, JY Wang, KH Lim, X Wang","Energy & Environmental Science 7 (8), 2624-2629",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8103546607286826289,701,2014
Durability investigation of carbon nanotube as catalyst support for proton exchange membrane fuel cell,"X Wang, W Li, Z Chen, M Waje, Y Yan","Journal of Power Sources 158 (1), 154-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=109046917861433360,643,2006
Recent development of molybdenum sulfides as advanced electrocatalysts for hydrogen evolution reaction,"Y Yan, BY Xia, Z Xu, X Wang","ACS Catalysis 4 (6), 1693-1705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062077482138683673,521,2014
One-pot synthesis of cubic PtCu3 nanocages with enhanced electrocatalytic activity for the methanol oxidation reaction,"BY Xia, HB Wu, X Wang, XW Lou","Journal of the American chemical Society 134 (34), 13934-13937",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6242868913211217433,434,2012
A Review of Phosphide-Based Materials for Electrocatalytic Hydrogen Evolution,"P Xiao, W Chen, X Wang","Advanced energy materials 5 (24), 1500985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9482353489595957199,359,2015
Hierarchical MoS 2 microboxes constructed by nanosheets with enhanced electrochemical properties for lithium storage and water splitting,"L Zhang, HB Wu, Y Yan, X Wang, XWD Lou","Energy & Environmental Science 7 (10), 3302-3306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4511420251950426628,346,2014
A review on noble-metal-free bifunctional heterogeneous catalysts for overall electrochemical water splitting,"Y Yan, BY Xia, B Zhao, X Wang","Journal of Materials Chemistry A 4 (45), 17587-17603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4921416065087476847,322,2016
Facile synthesis of low crystalline MoS 2 nanosheet-coated CNTs for enhanced hydrogen evolution reaction,"Y Yan, X Ge, Z Liu, JY Wang, JM Lee, X Wang","Nanoscale 5 (17), 7768-7771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11748984410703686931,320,2013
Ultrathin and ultralong single-crystal platinum nanowire assemblies with highly stable electrocatalytic activity,"BY Xia, HB Wu, Y Yan, XW Lou, X Wang","Journal of the American chemical Society 135 (25), 9480-9485",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5205424586512716630,316,2013
