Title,Authors,Platform,Cited_url,Cited_count,Year
Coordinating supply chain inventories through common replenishment epochs,"S Viswanathan, R Piplani","European journal of operational research 129 (2), 277-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8489389727180907887,429,2001
Supply-side collaboration and its value in supply chains,"Y Fu, R Piplani","European Journal of Operational Research 152 (1), 281-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17972951817218526492,180,2004
Vehicle scheduling and routing at a cross docking center for food supply chains,"D Agustina, CKM Lee, R Piplani","International Journal of Production Economics 152, 29-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12111076591751764627,104,2014
Sustainable supply chain management,"R Piplani, N Pujawan, S Ray","International Journal of Production Economics 111 (2), 193-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11230959351366427543,104,2008
A review: Mathematical modles for cross docking planning,"D Agustina, CKM Lee, R Piplani","International Journal of Engineering Business Management 2 (2), 47-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2170782863212614730,98,2010
A study of repairable parts inventory system operating under performance-based contract,"H Mirzahosseinian, R Piplani","European Journal of Operational Research 214 (2), 256-261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11741397440027652029,91,2011
Multi-agent enabled modeling and simulation towards collaborative inventory management in supply chains,"Y Fu, R Piplani, R de Souza, J Wu","2000 Winter Simulation Conference Proceedings (Cat. No. 00CH37165) 2, 1763-1771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5411732468531151504,89,2000
A coordination framework for supply chain inventory alignment,"R Piplani, Y Fu","Journal of manufacturing technology management 16 (6), 598-614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6492579644282498347,83,2005
Perspectives on the use of information technology at third party logistics service providers in Singapore,"R Piplani, S Pokharel, A Tan","Asia Pacific Journal of Marketing and Logistics 16 (1), 27-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13451554491924626684,80,2004
Redesigning closed-loop service network at a computer manufacturer: A case study,"RD Kusumastuti, R Piplani, GH Lim","International Journal of Production Economics 111 (2), 244-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3170058495573126435,67,2008
A model for evaluating supplier-owned inventory strategy,"R Piplani, S Viswanathan","International Journal of Production Economics 81, 565-571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13088243353112940330,55,2003
Forecasting aggregate demand: An analytical evaluation of top-down versus bottom-up forecasting in a production planning framework,"H Widiarta, S Viswanathan, R Piplani","International Journal of Production Economics 118 (1), 87-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13093974014244892020,54,2009
Evaluation of entropy-based dispatching in flexible manufacturing systems,"R Piplani, D Wetjens","European Journal of Operational Research 176 (1), 317-331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15543948299200640119,53,2007
Robust optimisation approach to the design of service networks for reverse logistics,"R Piplani, A Saraswat","International Journal of Production Research 50 (5), 1424-1437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3797748469283809857,50,2012
Value of information exchange and synchronization in a multi-tier supply chain,"S Viswanathan, H Widiarta, R Piplani","International Journal of Production Research 45 (21), 5057-5074",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9525463376896839616,47,2007
A two-period supply contract model for a decentralized assembly system,"X Zou, S Pokharel, R Piplani","European Journal of Operational Research 187 (1), 257-274",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8802415221579679538,45,2008
Channel coordination in an assembly system facing uncertain demand with synchronized processing time and delivery quantity,"X Zou, S Pokharel*, R Piplani","International journal of production research 42 (22), 4673-4689",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2810343009163629565,38,2004
Simulation workbench for analysing multi-echelon supply chains,"W Kian Ng, R Piplani, S Viswanathan","Integrated manufacturing systems 14 (5), 449-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8428120352859157658,36,2003
Forecasting item-level demands: an analytical evaluation of top–down versus bottom–up forecasting in a production-planning framework,"H Widiarta, S Viswanathan, R Piplani","IMA Journal of Management Mathematics 19 (2), 207-218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13352971736753000964,34,2008
On the effectiveness of top‐down strategy for forecasting autoregressive demands,"H Widiarta, S Viswanathan, R Piplani","Naval Research Logistics (NRL) 54 (2), 176-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13886461279974989416,34,2007
An approach to design reverse logistics networks for product recovery,"RD Kusumastuti, R Piplani, GH Lim",2004 IEEE International Engineering Management Conference (IEEE Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5412285612892603857,31,2004
Forecasting aggregate time series with intermittent subaggregate components: top-down versus bottom-up forecasting,"S Viswanathan, H Widiarta, R Piplani","IMA Journal of Management Mathematics 19 (3), 275-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12647080514175737867,24,2008
Launching and dispatching strategies for multi-criteria control of closed manufacturing systems with flexible routeing capability,"R Piplani, J Talavage","International Journal of Production Research 33 (8), 2181-2196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18120259225210274618,21,1995
Agent-based simulation applications: multi-agent enabled modeling and simulation towards collaborative inventory management in supply chains,"Y Fu, R Piplani, R de Souza, J Wu","Proceedings of the 32nd conference on Winter simulation, 1763-1771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17010410622380098740,15,2000
Compensation and incentive modeling inperformance-based contracts for after market service,"H Mirzahosseinian, R Piplani","Proc. of the 41st Int. Conf. on Computing Industrial Engineering, 739-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15847267152141701445,13,2011
Simplification strategies for simulation models of semiconductor facilities,"R Piplani, SA Puah","Journal of Manufacturing Technology Management 15 (7), 618-625",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6910228973064786791,13,2004
"Supply chain inventory co-ordination through multiple, common replenishment epochs and selective discount","R Piplani, S Viswanathan","International Journal of Logistics Research and Applications 7 (2), 109-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16031388109308884915,13,2004
Evaluation of hierarchical forecasting for substitutable products,"S Viswanathan, H Widiarta, R Piplani",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11780129064399234641,12,2008
Performance comparison of multiple product kanban control systems,"R Piplani, AWH Ang","International Journal of Production Research 56 (3), 1299-1312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=437596319530235407,10,2018
Impact of operational systems on supplier's response under performance-based contracts,"H Mirzahosseinian, R Piplani","Procedia Computer Science 16, 639-647",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17940945414389138358,9,2013
Supply chain demand response strategy evaluation and optimization,"W Sen, YW Shin, A Kumar, R Piplani",Proceedings of the 2000 IEEE International Conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7211094504151984051,9,2000
Cross docking scheduling with delivery time window and temporary storage,"D Agustina, CKM Lee, R Piplani",2011 IEEE International Conference on Industrial Engineering and Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10888743299950519950,8,2011
Designing a reverse supply chain network for product refurbishment,"GH Lim, RD Kusumastuti, R Piplani",Proceedings of the 2005 International Conference on Simulation and Modeling …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6922759584778870955,7,2005
Coordination in the supply chain: vendor managed inventory is the way to go,R Piplani,"Serbian Journal of management 1 (1), 41-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=160994351974369332,6,2006
Scheduling and vehicle routing model of cross docking,"D Agustina, CKM Lee, R Piplani",International Conference on Future Information Technology and Management …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13979242892310658538,5,2012
A New Two‐Bin Policy for Inventory Systems with Differentiated Demand Classes,"S Ghosh, R Piplani, S Viswanathan","Production and Operations Management 24 (5), 840-850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3444769904859391387,4,2015
Comparison of capacity rationing policies for a make-to-order production system with two customer classes,"R Piplani, S Liu","Int J Ind Syst Eng 16 (2), 223-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5835620675770651202,4,2014
An optimal data-splitting algorithm for aircraft scheduling on a single runway to maximize throughput,"R Prakash, R Piplani, J Desai","Transportation Research Part C: Emerging Technologies 95, 570-581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=133667463829799092,3,2018
Designing reverse logistics network for product recovery,"RD Kusumastuti, R Piplani, GH Lim",International Journal of Business Performance and Supply Chain Modelling 1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2267552112863610746,3,2009
The impact of fleet size on performance-based incentive management,"H Mirzahosseinian, R Piplani, T Jin","Journal of the Operational Research Society 67 (2), 165-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7453631737056157384,2,2016
Optimal inventory rationing policy under service differentiation for multiple customer classes with deterministic demand,"S Ghosh, R Piplani, S Viswanathan","International Journal of Services and Operations Management 18 (1), 38-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3549935589644100254,2,2014
Optimizing the repair and refurbish networks for reverse logistics,"R Piplani, J Vorasayan, A Saraswat",University of the Thai Chamber of Commerce,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9615814856427561972,2,2007
Application of yield management to capacity rationing,"WF Zhang, R Piplani",2004 IEEE International Engineering Management Conference (IEEE Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12830756098973927059,2,2004
