Title,Authors,Platform,Cited_url,Cited_count,Year
Dissipative soliton resonance in an all-normal-dispersion erbium-doped fiber laser,"X Wu, DY Tang, H Zhang, LM Zhao","Optics express 17 (7), 5580-5584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10147553237488529268,238,2009
Observation of high-order polarization-locked vector solitons in a fiber laser,"DY Tang, H Zhang, LM Zhao, X Wu","Physical review letters 101 (15), 153904",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1285550345442954190,201,2008
Multi-wavelength dissipative soliton operation of an erbium-doped fiber laser,"H Zhang, DY Tang, X Wu, LM Zhao","Optics express 17 (15), 12692-12697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=277803934539303563,196,2009
Dissipative soliton operation of an ytterbium-doped fiber laser mode locked with atomic multilayer graphene,"LM Zhao, DY Tang, H Zhang, X Wu, Q Bao, KP Loh","Optics letters 35 (21), 3622-3624",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10552772182508373436,195,2010
Dark pulse emission of a fiber laser,"H Zhang, DY Tang, LM Zhao, X Wu","Physical Review A 80 (4), 045803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13576622873316525777,136,2009
Dissipative vector solitons in a dispersion-managed cavity fiber laser with net positive cavity dispersion,"H Zhang, DY Tang, LM Zhao, X Wu, HY Tam","Optics express 17 (2), 455-460",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4491700842796330340,135,2009
Dissipative soliton generation in Yb-fiber laser with an invisible intracavity bandpass filter,"L Zhao, D Tang, X Wu, H Zhang","Optics letters 35 (16), 2756-2758",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13709776010005521410,107,2010
Soliton trapping in fiber lasers,"LM Zhao, DY Tang, H Zhang, X Wu, N Xiang","Optics express 16 (13), 9528-9533",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12585348503310479400,79,2008
Observation of polarization domain wall solitons in weakly birefringent cavity fiber lasers,"H Zhang, DY Tang, LM Zhao, X Wu","Physical Review B 80 (5), 052302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1432922819881462171,75,2009
Bound states of solitons in a fiber laser mode locked with carbon nanotube saturable absorber,"X Wu, DY Tang, XN Luan, Q Zhang","Optics Communications 284 (14), 3615-3618",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6035937353366639663,59,2011
Polarization rotation locking of vector solitons in a fiber ring laser,"LM Zhao, DY Tang, H Zhang, X Wu","Optics express 16 (14), 10053-10058",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2814912208065342616,58,2008
Bunch of restless vector solitons in a fiber laser with SESAM,"LM Zhao, DY Tang, H Zhang, X Wu","Optics express 17 (10), 8103-8108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15607979988936450697,51,2009
Dual-wavelength domain wall solitons in a fiber ring laser,"H Zhang, D Tang, L Zhao, X Wu","Optics express 19 (4), 3525-3530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7642949851372742729,50,2011
Coexistence of polarization-locked and polarization-rotating vector solitons in a fiber laser with SESAM,"LM Zhao, DY Tang, X Wu, H Zhang, HY Tam","Optics letters 34 (20), 3059-3061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5680189683713668388,49,2009
Soliton modulation instability in fiber lasers,"DY Tang, LM Zhao, X Wu, H Zhang","Physical Review A 80 (2), 023806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8847058568770813568,38,2009
Bound states of gain-guided solitons in a passively mode-locked fiber laser,"LM Zhao, DY Tang, X Wu, DJ Lei, SC Wen","Optics letters 32 (21), 3191-3193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14525492881652076301,36,2007
Dissipative soliton trapping in normal dispersion-fiber lasers,"LM Zhao, DY Tang, X Wu, H Zhang","Optics letters 35 (11), 1902-1904",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9951436511306148112,27,2010
Dissipative soliton (12 nJ) from an all-fiber passively mode-locked laser with large normal dispersion,"C Ouyang, PP Shum, K Wu, JH Wong, X Wu, HQ Lam, S Aditya","IEEE Photonics Journal 3 (5), 881-887",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11422493409306269703,25,2011
Observation of dip-type sidebands in a soliton fiber laser,"LM Zhao, DY Tang, X Wu, H Zhang, C Lu, HY Tam","Optics communications 283 (2), 340-343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10462958604350485618,20,2010
Period-doubling of vector solitons in a ring fiber laser,"LM Zhao, DY Tang, H Zhang, X Wu, C Lu, HY Tam","Optics communications 281 (22), 5614-5617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4307454533270239722,17,2008
Period-doubling of gain-guided solitons in fiber lasers of large net normal dispersion,"LM Zhao, DY Tang, X Wu, H Zhang","Optics Communications 281 (13), 3557-3560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12883345854507657760,17,2008
Bound states of vector dissipative solitons,"LM Zhao, DY Tang, H Zhang, X Wu","IEEE Photonics Journal 7 (6), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12652041645298851396,14,2015
Matched Ultra Slow Optical Solitons in Double-Λ Media,"Y Xiao-Xue, W Xuan, W Ying","Chinese Physics Letters 22 (11), 2816-2819",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10781990917714235746,13,2005
Effective cavity dispersion shift induced by nonlinearity in a fiber laser,"X Wu, DY Tang, LM Zhao, H Zhang","Physical Review A 80 (1), 013804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1618481799587075063,12,2009
Regenerative Er-doped fiber amplifier system for high-repetition-rate optical pulses,"Y Liu, K Wu, N Li, L Lan, S Yoo, X Wu, PP Shum, S Zeng, X Tan","Journal of the Optical Society of Korea 17 (5), 357-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4275213866196132361,9,2013
Dynamics of gain-guided solitons in a dispersion-managed fiber laser with large normal cavity dispersion,"LM Zhao, DY Tang, X Wu, H Zhang, C Lu, HY Tam","Optics communications 281 (12), 3324-3326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4335588774900500709,8,2008
Multiple aperture synthetic optical coherence tomography for biological tissue imaging,"E Bo, X Ge, L Wang, X Wu, Y Luo, S Chen, S Chen, H Liang, G Ni, X Yu, ...","Optics Express 26 (2), 772-780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6784073035789039021,6,2018
Dark soliton fiber laser,"H Zhang, DY Tang, LM Zhao, X Wu, QL Bao, KP Loh",arXiv preprint arXiv:0903.1968,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16368140771255665719,6,2009
Pump wavelength dependence of photodarkening in Yb-doped fibers,"H Li, L Zhang, R Sidharthan, D Ho, X Wu, N Venkatram, H Sun, T Huang, ...","Journal of Lightwave Technology 35 (13), 2535-2540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8978148881020486772,5,2017
Dark and bright vortex solitons in electromagnetically induced transparent media,"X Wu, X Xie, X Yang","Journal of Physics B: Atomic, Molecular, and Optical Physics 39 (16), 3263-3273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10351853338729678223,5,2006
Differences between time domain and Fourier domain optical coherence tomography in imaging tissues,"W Gao, X Wu","Journal of microscopy 268 (2), 119-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5404293629608298303,4,2017
Dispersion-managed dark solitons in erbium-doped fiber lasers,"H Zhang, D Tang, M Tlidi, L Zhao, X Wu",arXiv preprint arXiv:1007.3129,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9855566508567214698,4,2010
Atomic multi-layer graphene for dissipative soliton generation in Ytterbium-doped fiber laser,"LM Zhao, DY Tang, H Zhang, X Wu, Q Bao, KP Loh","2010 Photonics Global Conference, 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3324176101578889774,3,2010
Evidence of high-order vector dissipative soliton in a fiber laser,"X Wu, DY Tang, LM Zhao, H Zhang, RJ Knize","Frontiers in Optics, FTuJ2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13975314167280814507,2,2010
Multiwavelength passively mode locked fiber laser: all normal dispersion,"H Zhang, DY Tang, LM Zhao, X Wu",arXiv preprint arXiv:0904.2066,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6133685348201857,2,2009
"Reply to"" Comment onDark pulse emission of a fiber laser'""","H Zhang, D Tang, L Zhao, X Wu",arXiv preprint arXiv:1007.2909,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14373777135501737735,1,2010
Design and optimization of a spectrometer for high-resolution SD-OCT,"L Wang, X Yu, X Ge, X Wu, X Wang, E Bo, N Wang, X Liu, G Ni, L Liu","Laser Physics Letters 16 (4), 045603",,0,2019
Cellular resolution corneal imaging with extended imaging range,"L Wang, Q Xiong, X Ge, E Bo, J Xie, X Liu, X Yu, X Wang, N Wang, ...","Optics express 27 (2), 1298-1309",,0,2019
Depth-of-focus Extended Optical Coherence Tomography Using Synthetic Aperture Compounding,"X Wu, X Liu, E Bo, X Yu, Q Xiong, L Liu","CLEO-PR,OECC and PGC 2017",,0,2017
Spectrometer design with high efficiency for SD-OCT,"L Wang, X Yu, E Bo, N Wang, X Wang, X Wu, L Liu",SPIE BiOS 2017,,0,2017
Stress Induced Bend Compensation in a Large Mode Area Fiber,"X Wu, H Li, S Yoo",11th CLEO-PR 2015,,0,2015
"Comment on"" Observation of dark pulse in a dispersion-managed fiber ring laser""","H Zhang, D Tang, L Zhao, X Wu",arXiv preprint arXiv:1007.3131,,0,2010
Coexistence of scalar dissipative solitons along different polarization axes in a highly birefringent fiber laser with SESAM,"LM Zhao, DY Tang, X Wu, H Zhang, HY Tam","CLEO/QELS: 2010 Laser Science to Photonic Applications, 1-2",,0,2010
Trapping of dark vector solitons in a fiber laser,"H Zhang, DY Tang, LM Zhao, X Wu, QL Bao, KP Loh",arXiv preprint arXiv:0904.2628,,0,2009
Cellular-resolution in vivo tomography in turbid tissue through digital aberration correction,"EN BO, XIN GE, Y LUO, X WU, SI CHEN, H LIANG, S CHEN, X YU, ...",,,0,0
Comment on “Observation of dark pulse in a dispersion-managed fiber,"H Zhang, D Tang, L Zhao, X Wu",,,0,0
