Title,Authors,Platform,Cited_url,Cited_count,Year
Orientational dynamics of water confined on a nanometer length scale in reverse micelles,"HS Tan, IR Piletic, MD Fayer","The Journal of chemical physics 122 (17), 174501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7798978288413045967,213,2005
Dynamics of water confined on a nanometer length scale in reverse micelles: ultrafast infrared vibrational echo spectroscopy,"HS Tan, IR Piletic, RE Riter, NE Levinger, MD Fayer","Physical review letters 94 (5), 057405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10764055583100645528,176,2005
Role of pulse phase and direction in two-dimensional optical spectroscopy,"D Keusters, HS Tan, WS Warren","The Journal of Physical Chemistry A 103 (49), 10369-10380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2507840322196375636,134,1999
Dynamics of nanoscopic water: Vibrational echo and infrared pump-probe studies of reverse micelles,"IR Piletic, HS Tan, MD Fayer","The Journal of Physical Chemistry B 109 (45), 21273-21284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4216362149438634433,119,2005
High-resolution indirect pulse shaping by parametric transfer,"HS Tan, E Schreiber, WS Warren","Optics letters 27 (6), 439-441",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3668517012358682553,80,2002
Theory and phase-cycling scheme selection principles of collinear phase coherent multi-dimensional optical spectroscopy,HS Tan,"The Journal of chemical physics 129 (12), 124501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3274518479444843953,79,2008
Polarization selective spectroscopy experiments: methodology and pitfalls,"HS Tan, IR Piletic, MD Fayer","JOSA B 22 (9), 2009-2017",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2519777956011233493,79,2005
Relative-phase ambiguities in measurements of ultrashort pulses with well-separated multiple frequency components,"D Keusters, HS Tan, P O'Shea, E Zeek, R Trebino, WS Warren","JOSA B 20 (10), 2226-2237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10549025181486513479,75,2003
Mid infrared pulse shaping by optical parametric amplification and its application to optical free induction decay measurement,"HS Tan, W Warren","Optics Express 11 (9), 1021-1028",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15294687782781092721,56,2003
Phase-cycling schemes for pump–probe beam geometry two-dimensional electronic spectroscopy,"Z Zhang, KL Wells, EWJ Hyland, HS Tan","Chemical Physics Letters 550, 156-161",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7372780054561174960,52,2012
Phase cycling schemes for two-dimensional optical spectroscopy with a pump–probe beam geometry,"S Yan, HS Tan","Chemical Physics 360 (1-3), 110-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9261632941800308853,49,2009
Pathways of energy transfer in LHCII revealed by room-temperature 2D electronic spectroscopy,"KL Wells, PH Lambrev, Z Zhang, G Garab, HS Tan","Physical Chemistry Chemical Physics 16 (23), 11640-11646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=912630144509515778,36,2014
Measuring the spectral diffusion of chlorophyll a using two-dimensional electronic spectroscopy,"KL Wells, Z Zhang, JR Rouxel, HS Tan","The Journal of Physical Chemistry B 117 (8), 2294-2299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12098926642282057215,34,2013
Generation and amplification of ultrashort shaped pulses in the visible by a two-stage noncollinear optical parametric process,"HS Tan, WS Warren, E Schreiber","Optics letters 26 (22), 1812-1814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17563284834585926073,31,2001
Purely absorptive fifth-order three-dimensional electronic spectroscopy,"Z Zhang, KL Wells, HS Tan","Optics letters 37 (24), 5058-5060",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16786157790491939917,28,2012
Non-radiative relaxation of photoexcited chlorophylls: theoretical and experimental study,"WP Bricker, PM Shenai, A Ghosh, Z Liu, MGM Enriquez, PH Lambrev, ...","Scientific reports 5, 13625",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15426518937440284772,26,2015
Femtosecond pump-probe spectroscopy of trinuclear transition metal mixed-valence complexes,"DF Watson, HS Tan, E Schreiber, CJ Mordas, AB Bocarsly","The Journal of Physical Chemistry A 108 (16), 3261-3267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=39016456562468172,26,2004
