Title,Authors,Platform,Cited_url,Cited_count,Year
Senescence-associated secretory phenotypes reveal cell-nonautonomous functions of oncogenic RAS and the p53 tumor suppressor,"JP Coppé, CK Patil, F Rodier, Y Sun, DP Muñoz, J Goldstein, PS Nelson, ...","PLoS biology 6 (12), e301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7129591991905536518,2035,2008
"Achieving convergence, causality preservation, and intention preservation in real-time cooperative editing systems","C Sun, X Jia, Y Zhang, Y Yang, D Chen","ACM Transactions on Computer-Human Interaction (TOCHI) 5 (1), 63-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13550618521128945792,811,1998
"Operational transformation in real-time group editors: issues, algorithms, and achievements","CA Ellis, C Sun",Proceedings of the 1998 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2475168451609388192,709,1998
Treatment-induced damage to the tumor microenvironment promotes prostate cancer therapy resistance through WNT16B,"Y Sun, J Campisi, C Higano, TM Beer, P Porter, I Coleman, L True, ...","Nature medicine 18 (9), 1359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17693228531936968659,508,2012
Video transcoding: an overview of various techniques and research issues,"I Ahmad, X Wei, Y Sun, YQ Zhang","IEEE Transactions on multimedia 7 (5), 793-804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8816328882469076853,423,2005
MTOR regulates the pro-tumorigenic senescence-associated secretory phenotype by promoting IL1A translation,"RM Laberge, Y Sun, AV Orjalo, CK Patil, A Freund, L Zhou, SC Curran, ...","Nature cell biology 17 (8), 1049",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4465509044884448038,394,2015
Consistency maintenance in real-time collaborative graphics editing systems,"C Sun, D Chen","ACM Transactions on Computer-Human Interaction (TOCHI) 9 (1), 1-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4514988195129055628,325,2002
New horizons in tumor microenvironment biology: challenges and opportunities,"F Chen, X Zhuang, L Lin, P Yu, Y Wang, Y Shi, G Hu, Y Sun","BMC medicine 13 (1), 45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3494466824652098288,288,2015
Transparent adaptation of single-user applications for multi-user real-time collaboration,"C Sun, S Xia, D Sun, D Chen, H Shen, W Cai","ACM Transactions on Computer-Human Interaction (TOCHI) 13 (4), 531-582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14313690035618003538,214,2006
Leveraging single-user applications for multi-user collaboration: the coword approach,"S Xia, D Sun, C Sun, D Chen, H Shen",Proceedings of the 2004 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11241717645976311838,174,2004
Undo as concurrent inverse in group editors,C Sun,"ACM Transactions on Computer-Human Interaction (TOCHI) 9 (4), 309-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16980874738584634776,160,2002
Operational transformation for collaborative word processing,"D Sun, S Xia, C Sun, D Chen",Proceedings of the 2004 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10418010895246908892,140,2004
Flexible notification for collaborative systems,"H Shen, C Sun",Proceedings of the 2002 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16858340446637956265,138,2002
Context-based operational transformation in distributed collaborative editing systems,"D Sun, C Sun","IEEE Transactions on Parallel and Distributed Systems 20 (10), 1454-1470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1120344888604472681,118,2008
Generalizing operational transformation to the standard general markup language,"AH Davis, C Sun, J Lu",Proceedings of the 2002 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17517884324774196746,115,2002
Undo any operation at any time in group editors,C Sun,Proceedings of the 2000 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12315692679384483894,103,2000
Coordinate activation of Shh and PI3K signaling in PTEN-deficient glioblastoma: new therapeutic opportunities,"MG Filbin, SK Dabral, MF Pazyra-Murphy, S Ramkissoon, AL Kung, E Pak, ...","Nature medicine 19 (11), 1518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17363054246799406462,99,2013
A generic operation transformation scheme for consistency maintenance in real-time cooperative editing systems,"C Sun, Y Zhang, X Jia, Y Yang","GROUP 97, 425-434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14015630896536495914,99,1997
Phosphorylation state of Olig2 regulates proliferation of neural progenitors,"Y Sun, DH Meijer, JA Alberta, S Mehta, MF Kane, AC Tien, H Fu, ...","Neuron 69 (5), 906-917",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8207166778040431604,97,2011
Tumor microenvironment and cancer therapy resistance,Y Sun,"Cancer letters 380 (1), 205-215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=118934428133843671,93,2016
Operation context and context-based operational transformation,"D Sun, C Sun",Proceedings of the 2006 20th anniversary conference on Computer supported …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6260568737429857690,93,2006
Real time cooperative editing on the Internet,"Y Yang, C Sun, Y Zhang, X Jia","IEEE Internet Computing 4 (3), 18-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1315692362013368881,89,2000
Optional and responsive fine-grain locking in Internet-based collaborative systems,C Sun,"IEEE Transactions on Parallel and Distributed Systems 13 (9), 994-1008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1630025002538747438,81,2002
A multi-version approach to conflict resolution in distributed groupware systems,"C Sun, D Chen",Proceedings 20th IEEE International Conference on Distributed Computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4014437169505955959,78,2000
Region-based rate control and bit allocation for wireless video transmission,"Y Sun, I Ahmad, D Li, YQ Zhang","IEEE Transactions on Multimedia 8 (1), 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11176795800330559655,76,2006
Molecular pathways: involving microenvironment damage responses in cancer therapy resistance,"Y Sun, PS Nelson","Clinical Cancer Research 18 (15), 4019-4025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10158714902138924934,69,2012
A distributed algorithm for graphic objects replication in real-time group editors,"D Chen, C Sun",Proceedings of the international ACM SIGGROUP conference on Supporting group …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9936106344210243217,69,1999
CoMaya: incorporating advanced collaboration capabilities into 3d digital media design tools,"A Agustina, F Liu, S Xia, H Shen, C Sun",Proceedings of the 2008 ACM conference on Computer supported cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16576199316782645288,65,2008
Automatic image-based plant disease severity estimation using deep learning,"G Wang, Y Sun, J Wang",Computational intelligence and neuroscience 2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4335903981348876816,62,2017
Optimal locking integrated with operational transformation in distributed real-time group editors,"C Sun, R Sosic","PODC 99, 43-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14970460104992772936,62,1999
A time interval based consistency control algorithm for interactive groupware applications,"R Li, D Li, C Sun",Proceedings. Tenth International Conference on Parallel and Distributed …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11571295086104259747,59,2004
A consistency model and supporting schemes for real-time cooperative editing systems,"C Sun, Y Yang, Y Zhang, D Chen","Australian Computer Science Communications 18, 582-591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16429249141054620669,59,1996
Internet-based real time language education: Towards a fourth generation distance education,"Y Wang, C Sun","CALICO JOURNAL 18 (3), 539-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9521656201804848286,55,2001
A robust and adaptive rate control algorithm for object-based video coding,"Y Sun, I Ahmad","IEEE Transactions on circuits and systems for video technology 14 (10), 1167 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=105049643777120873,54,2004
New rate-distortion modeling and efficient rate control for H. 264/AVC video coding,"Y Zhou, Y Sun, Z Feng, S Sun","Signal Processing: Image Communication 24 (5), 345-356",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2314347163853887451,51,2009
Undoing any operation in collaborative graphics editing systems,"D Chen, C Sun",Proceedings of the 2001 International ACM SIGGROUP Conference on Supporting …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1329788661378649502,49,2001
SFRP2 augments WNT16B signaling to promote therapeutic resistance in the damaged tumor microenvironment,"Y Sun, D Zhu, F Chen, M Qian, H Wei, W Chen, J Xu","Oncogene 35 (33), 4321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5269515434052622096,48,2016
Flexible merging for asynchronous collaborative systems,"H Shen, C Sun","On the Move to Meaningful Internet Systems 2002: CoopIS, DOA, and ODBASE …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12276385013137177425,47,2002
Deep learning for plant identification in natural environment,"Y Sun, Y Liu, G Wang, H Zhang",Computational intelligence and neuroscience 2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4942911757307191171,46,2017
The oil bodies of liverworts: unique and important organelles in land plants,"X He, Y Sun, RL Zhu","Critical reviews in plant sciences 32 (5), 293-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3840536587818016622,46,2013
Translational horizons in the tumor microenvironment: harnessing breakthroughs and targeting cures,Y Sun,Medicinal research reviews 35 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15080020215277942456,44,2015
The increased range of cervical flexed motion detected by radiographs in Hirayama disease,"X Xu, H Han, H Gao, C Hou, D Fan, Y Fu, Y Sun","European journal of radiology 78 (1), 82-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17549377153201921030,41,2011
Biomechanical effects of cervical arthroplasty with U-shaped disc implant on segmental range of motion and loading of surrounding soft tissue,"ZJ Mo, YB Zhao, LZ Wang, Y Sun, M Zhang, YB Fan","European spine journal 23 (3), 613-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16144293152293303357,40,2014
Risk factors associated with upper extremity palsy after expansive open-door laminoplasty for cervical myelopathy,"FL Wu, Y Sun, SF Pan, L Zhang, ZJ Liu","The Spine Journal 14 (6), 909-915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5922824778625519026,39,2014
Motion estimation for content adaptive video compression,"J Luo, I Ahmad, Y Liang, V Swaminathan","IEEE Transactions on Circuits and Systems for video Technology 18 (7), 900-909","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11149071783289388229,5889075073291754994",39,2008
Characterization of the complete mitochondrial genome of Diaphania pyloalis (Lepidoptera: Pyralididae),"BJ Zhu, QN Liu, LS Dai, L Wang, Y Sun, KZ Lin, GQ Wei, CL Liu","Gene 527 (1), 283-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=330478063525047055,38,2013
Biochemical and neuroimaging studies in subjective cognitive decline: progress and perspectives,"Y Sun, FC Yang, CP Lin, Y Han","CNS neuroscience & therapeutics 21 (10), 768-775",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3236753174152961999,37,2015
How does the neck flexion affect the cervical MRI features of Hirayama disease?,"C Hou, H Han, X Yang, X Xu, H Gao, D Fan, Y Fu, Y Sun, B Liu","Neurological Sciences 33 (5), 1101-1105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14355288803283080819,37,2012
Operational transformation for dependency conflict resolution in real-time collaborative 3D design systems,"C Sun, D Xu",Proceedings of the ACM 2012 conference on Computer Supported Cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12203567567030161113,37,2012
Synthesis of Fe,"L Duan, S Jia, Y Wang, J Chen, L Zhao","Journal of materials science 44 (16), 4407-4412","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=635621229479571889,14182422904848636485,16648137833612438130",36,2009
Efficient and accurate inversion of multiple scattering with deep learning,"Y Sun, Z Xia, US Kamilov","Optics express 26 (11), 14678-14688",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4165432605058975706,35,2018
Shape-Controlled CeO,"C Li, Y Sun, I Djerdj, P Voepel, CC Sack, T Weller, R Ellinghaus, J Sann, ...","ACS Catalysis 7 (10), 6453-6463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12547276764447917171,34,2017
Safety threshold of high-speed railway pier settlement based on train-track-bridge dynamic interaction,"ZW Chen, WM Zhai, CB Cai, Y Sun","Science China Technological Sciences 58 (2), 202-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17550787741407171845,34,2015
Operational transformation for orthogonal conflict resolution in real-time collaborative 2D editing systems,"C Sun, H Wen, H Fan",Proceedings of the ACM 2012 conference on Computer Supported Cooperative …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13048483609299313237,33,2012
Reflection symmetry-integrated image segmentation,"Y Sun, B Bhanu","IEEE transactions on pattern analysis and machine intelligence 34 (9), 1827-1841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14273286978587552535,33,2011
Pharmacokinetic and pharmacometabolomic study of pirfenidone in normal mouse tissues using high mass resolution MALDI-FTICR-mass spectrometry imaging,"N Sun, IE Fernandez, M Wei, Y Wu, M Aichler, O Eickelberg, A Walch","Histochemistry and cell biology 145 (2), 201-211","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14527323837579070238,7814307281783365175",32,2016
Serum microRNA-128 as a biomarker for diagnosis of glioma,"J Sun, K Liao, X Wu, J Huang, S Zhang, X Lu","International journal of clinical and experimental medicine 8 (1), 456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7694435019221464353,32,2015
Method and apparatus for supporting synchronous HARQ transmission,"Y Li, SUN Chengjun","US Patent 9,363,049",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10007955750697564924,31,2016
REDUCE: a prototypical cooperative editing system,"C Sun, X Jia, Y Yang, Y Zhang","ADVANCES IN HUMAN FACTORS ERGONOMICS 21, 89-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4762414539020085944,31,1997
The severity of operative invasion to the posterior muscular-ligament complex influences cervical sagittal balance after open-door laminoplasty,"S Lin, F Zhou, Y Sun, Z Chen, F Zhang, S Pan","European Spine Journal 24 (1), 127-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1391814268688499769,30,2015
Finite element analysis of cervical arthroplasty combined with fusion against 2-level fusion,"Y Zhao, Q Li, Z Mo, Y Sun, Y Fan","Clinical Spine Surgery 26 (6), 347-350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7306117317378868196,30,2013
Study on fuzzy self-adaptive PID control system of biomass boiler drum water,"J Jin, H Huang, J Sun, Y Pang","Journal of Sustainable Bioenergy Systems 3 (01), 93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15127409188763231031,30,2013
Automatic symmetry-integrated brain injury detection in MRI sequences,"Y Sun, B Bhanu, S Bhanu",2009 IEEE Computer Society Conference on Computer Vision and Pattern …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7689133190411105408,30,2009
Application of cervical arthroplasty with Bryan cervical disc: 10-year follow-up results in China,"Y Zhao, Y Zhang, Y Sun, S Pan, F Zhou, Z Liu","Spine 41 (2), 111-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16620331034983942653,29,2016
"Identification of immune response-related genes in the Chinese oak silkworm, Antheraea pernyi by suppression subtractive hybridization","QN Liu, BJ Zhu, L Wang, GQ Wei, LS Dai, KZ Lin, Y Sun, JF Qiu, WW Fu, ...","Journal of invertebrate pathology 114 (3), 313-323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5494456601863535439,29,2013
