Title,Authors,Platform,Cited_url,Cited_count,Year
Using the Facebook group as a learning management system: An exploratory study,"Q Wang, HL Woo, CL Quek, Y Yang, M Liu","British Journal of Educational Technology 43 (3), 428-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3503779113601550435,678,2012
Cervical adenocarcinoma and squamous cell carcinoma incidence trends among white women and black women in the United States for 1976–2000,"SS Wang, ME Sherman, A Hildesheim, JV Lacey Jr, S Devesa","Cancer 100 (5), 1035-1044",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6920948775716406942,423,2004
A generic model for guiding the integration of ICT into teaching and learning,Q Wang,"Innovations in education and teaching international 45 (4), 411-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2039087680191070221,373,2008
Systematic planning for ICT integration in topic learning,"Q Wang, HL Woo","Educational technology & society 10 (1), 148-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8797803751232379614,261,2007
Comparing asynchronous online discussions and face‐to‐face discussions in a classroom setting,"Q Wang, HL Woo","British journal of educational technology 38 (2), 272-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10911118498599772188,229,2007
Combined neural stimulation and cardiac resynchronization therapy,"J Moffitt, S Wang, BH Kenknight, I Libbus","US Patent 7,587,238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16127618801437174330,207,2009
Design and evaluation of a collaborative learning environment,Q Wang,"Computers & Education 53 (4), 1138-1146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3573794300502507461,180,2009
Integrated lead for applying cardiac resynchronization therapy and neural stimulation therapy,"I Libbus, JC Spinelli, R Westlund, J Moffitt, SH Wang","US Patent 7,840,266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9071698921744797899,156,2010
Investigating critical thinking and knowledge construction in an interactive learning environment,"Q Wang, HL Woo, J Zhao","Interactive learning environments 17 (1), 95-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11417259231176867254,133,2009
Public attitudes regarding the donation and storage of blood specimens for genetic research,"SS Wang, F Fridinger, KM Sheedy, MJ Khoury","Public Health Genomics 4 (1), 18-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7050763917865214691,125,2001
Genome characterization of the oleaginous fungus Mortierella alpina,"L Wang, W Chen, Y Feng, Y Ren, Z Gu, H Chen, H Wang, MJ Thomas, ...","PloS one 6 (12), e28319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11124601509956185563,112,2011
Designing a web-based constructivist learning environment,Q Wang,"Interactive Learning Environments 17 (1), 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6439969057770689626,105,2009
Using online shared workspaces to support group collaborative learning,Q Wang,"Computers & Education 55 (3), 1270-1276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3941159192835421469,103,2010
AMP-activated protein kinase suppresses endothelial cell inflammation through phosphorylation of transcriptional coactivator p300,"Y Zhang, J Qiu, X Wang, Y Zhang, M Xia","Arteriosclerosis, thrombosis, and vascular biology 31 (12), 2897-2908",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14562166626668868061,97,2011
Environmental tobacco smoke.,"JM Samet, SS Wang","Environmental toxicants: human exposures and their health effects., 319-375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10519918032318453599,89,2000
Adenosine monophosphate-activated protein kinase induces cholesterol efflux from macrophage-derived foam cells and alleviates atherosclerosis in apolipoprotein E-deficient mice,"D Li, D Wang, Y Wang, W Ling, X Feng, M Xia","Journal of Biological Chemistry 285 (43), 33499-33509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=918893597418719549,88,2010
"Bladder cancer and drinking water: a population-based case-control study in Washington County, Maryland (United States)","DM Freedman, KP Cantor, NL Lee, LS Chen, HH Lei, CE Ruhl, SS Wang","Cancer Causes & Control 8 (5), 738-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6790765187964673371,81,1997
Student‐facilitators' roles in moderating online discussions,Q Wang,"British Journal of Educational Technology 39 (5), 859-874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15071796382290819442,80,2008
Hierarchical NiAl layered double hydroxide/multiwalled carbon nanotube/nickel foam electrodes with excellent pseudocapacitive properties,"B Wang, GR Williams, Z Chang, M Jiang, J Liu, X Lei, X Sun","ACS applied materials & interfaces 6 (18), 16304-16311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7756348506158581644,78,2014
Average power balancing control of a STATCOM based on the cascaded H-bridge PWM converter with star configuration,"SF Chou, BS Wang, SW Chen, CT Lee, PT Cheng, H Akagi, P Barbosa","2013 IEEE Energy Conversion Congress and Exposition, 970-977",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15544837033908388725,74,2013
Medium chain acyl‐CoA dehydrogenase deficiency: Human genome epidemiology review,"SS Wang, PM Fernhoff, WH Harnnon, MJ Khoury","Genetics in Medicine 1 (7), 332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16828369349671838145,72,1999
Combined neural stimulation and cardiac resynchronization therapy,"J Moffitt, S Wang, BH Kenknight, I Libbus","US Patent 8,131,362",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16086146384201913762,68,2012
Self-generated diffusioosmotic flows from calcium carbonate micropumps,"JJ McDermott, A Kar, M Daher, S Klara, G Wang, A Sen, D Velegol","Langmuir 28 (44), 15491-15497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1100108050839493519,66,2012
A case study of engaging primary school students in learning science by using Active Worlds,"KH Ang, Q Wang","Proceedings of the first international LAMS conference, 5-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=529622120954187236,65,2006
Using Facebook for teaching and learning: a review of the literature,"Y Yang, Q Wang, HL Woo, CL Quek",International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6103775462333478537,64,2011
Cyanidin-3-O-β-glucoside regulates fatty acid metabolism via an AMP-activated protein kinase-dependent signaling pathway in human HepG2 cells,"H Guo, G Liu, R Zhong, Y Wang, D Wang, M Xia","Lipids in health and disease 11 (1), 10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2563726285153115928,63,2012
Financial literacy overconfidence and stock market participation,"T Xia, Z Wang, K Li","Social indicators research 119 (3), 1233-1245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17691853016410857572,62,2014
Implantable medical device for generating cardiac pressure-volume loop and optimizing therapy,"JO Gilkerson, Y Zhang, Y Zhang, S Wang","US Patent 7,580,746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15330726268266887693,62,2009
Digital microfluidic operations on micro-electrode dot array architecture,"G Wang, D Teng, SK Fan","IET nanobiotechnology 5 (4), 152-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13880386875563869475,55,2011
Influence of microstructure on the erosion and erosion–corrosion characteristics of 316 stainless steel,"RJK Wood, JC Walker, TJ Harvey, S Wang, SS Rajahram","Wear 306 (1-2), 254-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17333966525028631424,52,2013
An exploration of three-dimensional integrated assessment for computational thinking,"B Zhong, Q Wang, J Chen, Y Li","Journal of Educational Computing Research 53 (4), 562-590",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5848731152260173675,51,2016
Activation of volume-sensitive outwardly rectifying chloride channel by ROS contributes to ER stress and cardiac contractile dysfunction: involvement of CHOP through Wnt,"M Shen, L Wang, B Wang, T Wang, G Yang, L Shen, X Guo, Y Liu, Y Xia, ...","Cell death & disease 5 (11), e1528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11422129065621074775,50,2014
"A Novel, Facile Approach to Frondosin B and 5-","J Zhang, L Li, Y Wang, W Wang, J Xue, Y Li","Organic letters 14 (17), 4528-4530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7466266302131721928,48,2012
Affordances of Facebook for learning,"Y Idris, Q Wang",International Journal of Continuing Engineering Education and Life Long …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5976419433228212710,48,2009
Caryophyllene Sesquiterpenes from the Marine-Derived Fungus ,"WJ Wang, DY Li, YC Li, HM Hua, EL Ma, ZL Li","Journal of natural products 77 (6), 1367-1371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=962883515337034737,47,2014
EBUS-TBNA provides highest RNA yield for multiple biomarker testing from routinely obtained small biopsies in non-small cell lung cancer patients-a comparative study of three …,"G Schmid-Bindert, Y Wang, H Jiang, H Sun, T Henzler, H Wang, LR Pilz, ...","PLoS One 8 (10), e77948",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=238824847506561642,47,2013
Involvement of oxygen-regulated protein 150 in AMP-activated protein kinase-mediated alleviation of lipid-induced endoplasmic reticulum stress,"Y Wang, Z Wu, D Li, D Wang, X Wang, X Feng, M Xia","Journal of Biological Chemistry 286 (13), 11119-11131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=896272507212580798,47,2011
Interactive networks and social knowledge construction behavioral patterns in primary school teachers' online collaborative learning activities,"S Zhang, Q Liu, W Chen, Q Wang, Z Huang","Computers & Education 104, 1-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2879907434251379193,46,2017
Heteroaryl sulfonamides and CCR2/CCR9,"W Chen, A Krasinski","US Patent 8,519,135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3404149304029239664,46,2013
Adiponectin increases macrophages cholesterol efflux and suppresses foam cell formation in patients with type 2 diabetes mellitus,"M Wang, D Wang, Y Zhang, X Wang, Y Liu, M Xia","Atherosclerosis 229 (1), 62-70",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12275564185200334319,46,2013
Investigation of erosion–corrosion mechanisms of UNS S31603 using FIB and TEM,"SS Rajahram, TJ Harvey, JC Walker, SC Wang, RJK Wood","Tribology international 46 (1), 161-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7967493772346520360,46,2012
Effect of dietary Bacillus subtilis on proportion of Bacteroidetes and Firmicutes in swine intestine and lipid metabolism,"C Cui, CJ Shen, G Jia, KN Wang","Genet Mol Res 12 (12), 1766-1776",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16557078884053737625,45,2013
E-learning in China,"Q Wang, Z Zhu, L Chen, H Yan","Campus-Wide Information Systems 26 (2), 77-81",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14670132802243229545,44,2009
Dynamin‐related protein 1‐mediated mitochondrial fission contributes to post‐traumatic cardiac dysfunction in rats and the protective effect of melatonin,"M Ding, J Ning, N Feng, Z Li, Z Liu, Y Wang, Y Wang, X Li, C Huo, X Jia, ...","Journal of pineal research 64 (1), e12447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1816132883121598325,43,2018
Retinol binding protein 4 stimulates hepatic sterol regulatory element‐binding protein 1 and increases lipogenesis through the peroxisome proliferator‐activated receptor‐γ …,"M Xia, Y Liu, H Guo, D Wang, Y Wang, W Ling","Hepatology 58 (2), 564-575",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18312444275543751475,43,2013
