Title,Authors,Platform,Cited_url,Cited_count,Year
"Nitrogen‐Doped Porous Carbon Nanosheets as Low‐Cost, High‐Performance Anode Material for Sodium‐Ion Batteries","H Wang, Z Wu, F Meng, D Ma, X Huang, L Wang, X Zhang","ChemSusChem 6 (1), 56-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9155887687420507251,480,2013
Engraving Copper Foil to Give Large‐Scale Binder‐Free Porous CuO Arrays for a High‐Performance Sodium‐Ion Battery Anode,"S Yuan, X Huang, D Ma, H Wang, F Meng, X Zhang","Advanced Materials 26 (14), 2273-2279",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9257549750080886461,359,2014
Homogeneous CoO on Graphene for Binder‐Free and Ultralong‐Life Lithium Ion Batteries,"X Huang, R Wang, D Xu, Z Wang, H Wang, J Xu, Z Wu, Q Liu, Y Zhang, ...","Advanced Functional Materials 23 (35), 4345-4353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14947648969754131322,296,2013
Synthesis of 3D hierarchical Fe3O4/graphene composites with high lithium storage capacity and for controlled drug delivery,"X Li, X Huang, D Liu, X Wang, S Song, L Zhou, H Zhang","The Journal of Physical Chemistry C 115 (44), 21567-21573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2530112173831962864,280,2011
Self-assembly of ultrathin porous NiO nanosheets/graphene hierarchical structure for high-capacity and high-rate lithium storage,"Y Huang, X Huang, J Lian, D Xu, L Wang, X Zhang","Journal of Materials Chemistry 22 (7), 2844-2847",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7968978138945970628,246,2012
Three-dimensionally ordered macroporous FeF 3 and its in situ homogenous polymerization coating for high energy and power density lithium ion batteries,"D Ma, Z Cao, H Wang, X Huang, L Wang, X Zhang","Energy & Environmental Science 5 (9), 8538-8542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=29865250887841334,205,2012
Electrostatic Induced Stretch Growth of Homogeneous ,"Z Wu, XL Huang, ZL Wang, JJ Xu, HG Wang, XB Zhang","Scientific reports 4, 3669",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4495400050572796426,203,2014
Tailored Aromatic Carbonyl Derivative Polyimides for High‐Power and Long‐Cycle Sodium‐Organic Batteries,"H Wang, S Yuan, D Ma, X Huang, F Meng, X Zhang","Advanced Energy Materials 4 (7), 1301651",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10652985065989578365,200,2014
General and Controllable Synthesis Strategy of Metal Oxide/TiO,"H Wang, D Ma, X Huang, Y Huang, X Zhang","Scientific reports 2, 701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10070928324186406821,191,2012
Flexible Asymmetric Supercapacitor Based on Structure‐Optimized Mn3O4/Reduced Graphene Oxide Nanohybrid Paper with High Energy and Power Density,"Y Hu, C Guan, G Feng, Q Ke, X Huang, J Wang","Advanced Functional Materials 25 (47), 7291-7299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15949963228955835567,111,2015
