Title,Authors,Platform,Cited_url,Cited_count,Year
Mapping from frame-driven to frame-free event-driven vision systems by low-rate rate coding and coincidence processing--application to feedforward ConvNets,"JA Pérez-Carrasco, B Zhao, C Serrano, B Acha, T Serrano-Gotarredona, ...","IEEE transactions on pattern analysis and machine intelligence 35 (11), 2706 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=983304460377610176,155,2013
Feedforward categorization on AER motion events using cortex-like features in a spiking neural network,"B Zhao, R Ding, S Chen, B Linares-Barranco, H Tang","IEEE transactions on neural networks and learning systems 26 (9), 1963-1978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16950295446361233061,111,2014
Arbitrated time-to-first spike CMOS image sensor with on-chip histogram equalization,"C Shoushun, A Bermak","IEEE Transactions on Very Large Scale Integration (VLSI) Systems 15 (3), 346-357",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12182147340363769780,79,2007
A CMOS image sensor with on-chip image compression based on predictive boundary adaptation and memoryless QTD algorithm,"S Chen, A Bermak, Y Wang","IEEE Transactions on Very Large Scale Integration (VLSI) Systems 19 (4), 538-547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5313190087697852360,75,2010
A low-power hybrid RO PUF with improved thermal stability for lightweight applications,"Y Cao, L Zhang, CH Chang, S Chen",IEEE Transactions on computer-aided design of integrated circuits and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13375733297347443651,70,2015
CMOS image sensor based physical unclonable function for coherent sensor-level authentication,"Y Cao, L Zhang, SS Zalivaka, CH Chang, S Chen","IEEE Transactions on Circuits and Systems I: Regular Papers 62 (11), 2629-2640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4288919591969476689,56,2015
A high speed low power CAM with a parity bit and power-gated ML sensing,"AT Do, S Chen, ZH Kong, KS Yeo","IEEE Transactions on very large scale integration (VLSI) systems 21 (1), 151-156",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16631186404799124640,48,2012
A 64,"S Chen, W Tang, X Zhang, E Culurciello",IEEE Transactions on Very Large Scale Integration (VLSI) Systems 20 (12 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17952843761355510002,44,2011
Adaptive-quantization digital image sensor for low-power image compression,"C Shoushun, A Bermak, W Yan, D Martinez","IEEE Transactions on Circuits and Systems I: Regular Papers 54 (1), 13-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15449335845718162968,44,2007
A 64,"B Zhao, X Zhang, S Chen, KS Low, H Zhuang","IEEE transactions on circuits and systems for video technology 22 (4), 581-588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3849410049676744169,41,2011
A low power CMOS imager based on time-to-first-spike encoding and fair AER,"C Shoushun, A Bermak","Circuits and Systems, 2005. ISCAS 2005. IEEE International Symposium on …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11370537507935339748,39,2005
Efficient feedforward categorization of objects and human postures with address-event image sensors,"S Chen, P Akselrod, B Zhao, JAP Carrasco, B Linares-Barranco, ...","IEEE transactions on pattern analysis and machine intelligence 34 (2), 302-314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=369622483611561184,35,2011
A cluster-based distributed active current sensing circuit for hardware trojan detection,"Y Cao, CH Chang, S Chen","IEEE Transactions on Information Forensics and Security 9 (12), 2220-2231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3659916525212115605,33,2014
Robust intermediate read-out for deep submicron technology CMOS image sensors,"C Shoushun, F Boussaid, A Bermak","IEEE Sensors Journal 8 (3), 286-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11270849637011496024,33,2008
An autonomous star recognition algorithm with optimized database,"MD Pham, KS Low, S Chen","IEEE Transactions on Aerospace and Electronic Systems 49 (3), 1467-1475",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7106635919835525121,29,2013
Gain-scheduled extended kalman filter for nanosatellite attitude determination system,"MD Pham, KS Low, ST Goh, S Chen","IEEE Transactions on Aerospace and Electronic Systems 51 (2), 1017-1028",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2417108171463601003,28,2015
A time-delay-integration CMOS image sensor with pipelined charge transfer architecture,"H Yu, X Qian, S Chen, KS Low","2012 IEEE International Symposium on Circuits and Systems, 1624-1627",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6274452097519346266,24,2012
A compact reconfigurable counter memory for spiking pixels,"S Chen, A Bermak, F Boussaid","IEEE Electron Device Letters 27 (4), 255-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8688464050748667206,22,2006
Adaptive priority toggle asynchronous tree arbiter for AER-based image sensor,"AMT Linn, C Shoushun, YK Seng","2011 IEEE/IFIP 19th International Conference on VLSI and System-on-Chip, 66-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1601827866943592407,21,2011
A low-power CAM with efficient power and delay trade-off,"AT Do, S Chen, ZH Kong, KS Yeo","2011 IEEE International Symposium of Circuits and Systems (ISCAS), 2573-2576",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15731394542568444703,21,2011
Cluster-based distributed active current timer for hardware Trojan detection,"Y Cao, CH Chang, S Chen","2013 IEEE International Symposium on Circuits and Systems (ISCAS2013), 1010-1013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10840443398542030124,18,2013
A star pattern recognition algorithm for satellite attitude determination,"MD Pham, KS Low, C Shoushun, YT Xing","2012 IEEE Symposium on Industrial Electronics and Applications, 236-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11404437269083960366,16,2012
A bio-inspired eventbased size and position invariant human posture recognition algorithm,"C Shoushun, B Martini, E Culurciello","Circuits and Systems, 775-778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2287762920143070328,15,2009
3D depth camera based human posture detection and recognition Using PCNN circuits and learning-based hierarchical classifier,"H Zhuang, B Zhao, Z Ahmad, S Chen, KS Low","The 2012 International Joint Conference on Neural Networks (IJCNN), 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3997614676910527395,14,2012
Live demonstration: A 768× 640 pixels 200Meps dynamic vision sensor,"M Guo, J Huang, S Chen","2017 IEEE International Symposium on Circuits and Systems (ISCAS), 1-1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3622926651231470547,13,2017
A dynamic vision sensor with direct logarithmic output and full-frame picture-on-demand,"J Huang, M Guo, S Chen","2017 IEEE International Symposium on Circuits and Systems (ISCAS), 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15744527985294685102,12,2017
A two-step prediction ADC architecture for integrated low power image sensors,"H Yu, W Tang, M Guo, S Chen","IEEE transactions on circuits and systems I: regular papers 64 (1), 50-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7466958636371362407,12,2016
A high dynamic range CMOS image sensor with dual-exposure charge subtraction scheme,"X Qian, H Yu, S Chen, KS Low","IEEE Sensors Journal 15 (2), 661-662",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2009885800041094951,11,2014
Valley polarization in stacked MoS,"J Xia, X Wang, BK Tay, S Chen, Z Liu, J Yan, Z Shen","Nano Research 10 (5), 1618-1626",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=621186533076043116,10,2017
Cmos image sensor,"C Shoushun, KS Low, X Qian","US Patent App. 13/946,567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3281263640364901519,10,2014
An adaptive integration time CMOS image sensor with multiple readout channels,"X Qian, H Yu, S Chen, KS Low","IEEE Sensors Journal 13 (12), 4931-4939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12966546655936695477,10,2013
A second generation 3D integrated feature-extracting image sensor,"X Zhang, S Chen, E Culurciello","SENSORS, 2011 IEEE, 1933-1936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17748047504308319347,10,2011
Confession session: Learning from others mistakes,"P Abshire, A Bermak, R Berner, G Cauwenberghs, S Chen, JB Christen, ...","2011 IEEE International Symposium of Circuits and Systems (ISCAS), 1149-1162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3529274408096951222,10,2011
Design of a radiation tolerant CMOS image sensor,"X Qian, H Yu, B Zhao, S Chen, KS Low","2011 International Symposium on Integrated Circuits, 412-415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12296515278980033215,9,2011
CMOS image sensor based physical unclonable function for smart phone security applications,"Y Cao, SS Zalivaka, L Zhang, CH Chang, S Chen","2014 International Symposium on Integrated Circuits (ISIC), 392-395",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6856292863930662203,8,2014
Track-and-tune light field image sensor,"V Varghese, X Qian, S Chen, S ZeXiang, T Jin, L Guozhen, QJ Wang","IEEE Sensors Journal 14 (12), 4372-4384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7751942137128907867,8,2014
Linear angle sensitive pixels for 4D light field capture,"V Varghese, X Qian, S Chen, S ZeXiang","2013 International SoC Design Conference (ISOCC), 072-075",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15483792106304044581,8,2013
A second generation time-to-first-spike pixel with asynchronous self power-off,"C Shoushun, A Bermak","Circuits and Systems, 2006. ISCAS 2006. Proceedings. 2006 IEEE International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3459971393541208434,8,2006
Development and design challenges in VELOX-I nanosatellite,"LS Lim, TDV Bui, Z Lau, JJ Soon, JM Lew, H Aung, C Ye, KS Low, ST Goh, ...",2015 International Conference on Space Science and Communication (IconSpace …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14492691266764873354,7,2015
Realtime feature extraction using max-like convolutional network for human posture recognition,"B Zhao, S Chen","2011 IEEE International Symposium of Circuits and Systems (ISCAS), 2673-2676",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5043306722092790111,7,2011
FPGA implementation of image compression using DPCM and FBAR,"Y Wang, S Chen, A Bermak","2007 International Symposium on Integrated Circuits, 329-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=937148691615867312,7,2007
Polarization-based angle sensitive pixels for light field image sensors with high spatio-angular resolution,"V Varghese, S Chen","IEEE Sensors Journal 16 (13), 5183-5194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3611328237699938807,6,2016
Bio-inspired categorization using event-driven feature extraction and spike-based learning,"B Zhao, S Chen, H Tang","2014 International Joint Conference on Neural Networks (IJCNN), 3845-3852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8341083019718199850,6,2014
A hybrid-readout and dynamic-resolution motion detection image sensor for object tracking,"X Zhang, S Chen","2012 IEEE International Symposium on Circuits and Systems, 1628-1631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11704165718483359207,6,2012
On-chip RF energy harvesting circuit for image sensor,"JW Zhang, XY Zhang, ZL Chen, KY See, CM Tan, SS Chen","2011 International Symposium on Integrated Circuits, 420-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12645022551678301821,6,2011
A CMOS image sensor with on-chip motion detection and object localization,"B Zhao, X Zhang, S Chen","2011 IEEE Custom Integrated Circuits Conference (CICC), 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=784506650106663069,6,2011
A CMOS image sensor with on chip image compression based on predictive boundary adaptation and QTD algorithm,"S Chen, A Bermak, Y Wang, D Martinez","the IEEE Sensors Conference, 531 - 534","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10889731193311767091,9087656511812802373",6,2007
A high accuracy star tracker using running sequential angular match technique,"MD Samirbhai, S Chen, KS Low","2016 IEEE Region 10 Conference (TENCON), 3691-3694",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3866360521788186692,5,2016
Dynamically reconfigurable silicon array of generalized integrate-and-fire neurons,"V Varghese, JL Molin, C Brandli, S Chen, RE Cummings","2015 IEEE Biomedical Circuits and Systems Conference (BioCAS), 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8979432919801938279,5,2015
A Global-Shutter Centroiding Measurement CMOS Image Sensor with Star Region SNR Improvement for Star Trackers,"X Qian, H Yu, S Chen","IEEE Transactions on Circuits and Systems for Video Technology 26 (8), 1555-1562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15793895081180439017,5,2015
Incident light angle detection technique using polarization pixels,"V Varghese, S Chen","SENSORS, 2014 IEEE, 2167-2170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4342956474528706105,5,2014
Low-power column-parallel ADC for CMOS image sensor by leveraging spatial likelihood in natural scene,"L Liu, H Yu, S Chen","SENSORS, 2014 IEEE, 1196-1199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17163828411301429804,5,2014
A biologically inspired system for human posture recognition,"S Chen, P Akselrod, E Culurciello","2009 IEEE Biomedical Circuits and Systems Conference, 113-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9292575573421998089,5,2009
Compact gray-code counter/memory circuits for spiking pixels,"KT Ng, C Shoushun, F Boussaid, A Bermak","4th IEEE International Symposium on Electronic Design, Test and Applications …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10202804241751246212,5,2008
A motion sensor with on-chip pixel rendering module for optical flow gradient extraction,"J Huang, M Guo, S Wang, S Chen","2018 IEEE International Symposium on Circuits and Systems (ISCAS), 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12068659355151487588,4,2018
Motion detection image sensors and methods for controlling a motion detection image sensor,C Shoushun,"US Patent 9,628,738",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12176395621376290110,4,2017
Object localization and size measurement using networked address event representation imagers,"Y Liu, X Yu, S Chen, W Tang","IEEE Sensors Journal 16 (9), 2894-2895",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16081145617013557152,4,2016
An antivibration time-delay integration CMOS image sensor with online deblurring algorithm,"H Yu, X Qian, M Guo, S Chen","IEEE Transactions on Circuits and Systems for Video Technology 26 (8), 1544-1554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5308944877496211351,4,2015
Design and characterization of radiation-tolerant CMOS 4T Active Pixel Sensors,"X Qian, H Yu, S Chen, KS Low","2014 International Symposium on Integrated Circuits (ISIC), 520-523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15660807032724740383,4,2014
A bio-inspired feedforward system for categorization of AER motion events,"B Zhao, Q Yu, H Yu, S Chen, H Tang","2013 IEEE Biomedical Circuits and Systems Conference (BioCAS), 9-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8805060437473948085,4,2013
Live demonstration: A FSK-OOK ultra wideband impulse radio system with spontaneous clock and data recovery,"W Tang, S Chen, E Culurciello","2012 IEEE International Symposium on Circuits and Systems, 696-700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12106970002652250677,4,2012
Novel VLSI implementation of Peano-Hilbert curve address generator,"Y Wang, S Chen, A Bermak","2008 IEEE International Symposium on Circuits and Systems, 476-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15130216011864898890,4,2008
A 0.18 μm CMOS on-chip skin detection scheme based on NPNP-triple-junction structure,"X Zhao, S Chen, F Boussaid, A Bermak","2007 International Symposium on Integrated Circuits, 333-336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3648972223890751859,4,2007
Efficient event-drivern frame capture for CMOS imagers,"M Susli, F Boussaid, C Shoushun, A Bermak","Signal Processing and Its Applications, 2007. ISSPA 2007. 9th International …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12511063688035673310,4,2007
A robust star identification algorithm with star shortlisting,"DS Mehta, S Chen, KS Low","Advances in Space Research 61 (10), 2647-2660",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1678425362199391532,3,2018
Live demonstration: A dynamic vision sensor with direct logarithmic output and full-frame picture-on-demand,"M Guo, R Ding, S Chen","2016 IEEE International Symposium on Circuits and Systems (ISCAS), 456-456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6454731120074208779,3,2016
An adaptive integration time cmos image sensor with multiple readout channels for star trackers,"X Qian, H Yu, S Chen, KS Low","2013 IEEE Asian Solid-State Circuits Conference (A-SSCC), 101-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4623178771646546658,3,2013
Live demonstration: A high-speed-pass asynchronous motion detection sensor,"X Zhang, S Chen","2013 IEEE International Symposium on Circuits and Systems (ISCAS2013), 671-671",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12014175803500256070,3,2013
A CMOS image sensor with combined adaptive-quantization and QTD-based on-chip compression processor,"C Shoushun, A Bermak, W Yan, D Martinez","IEEE Custom Integrated Circuits Conference 2006, 329-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4606304527742572561,3,2006
Frame based adaptation for CMOS imager,"D Climie, S Chen, A Bermak, D Martinez",2005 5th International Conference on Information Communications & Signal …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13916014134590390129,3,2005
Event-guided structured output tracking of fast-moving objects using a CeleX sensor,"J Huang, S Wang, M Guo, S Chen","IEEE Transactions on Circuits and Systems for Video Technology 28 (9), 2413-2417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6763312023755798663,2,2018
"Pixel acquisition circuit, image sensor and image acquisition system",C Shoushun,"US Patent 9,961,291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12645134540960742896,2,2018
A low power prediction SAR ADC integrated with DPCM data compression feature for WCE application,"Q Wang, S Chen","2016 IEEE Biomedical Circuits and Systems Conference (BioCAS), 107-110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2875970304964409733,2,2016
Dynamic resolution event-based temporal contrast vision sensor,"H Guo, J Huang, M Guo, S Chen","2016 IEEE International Symposium on Circuits and Systems (ISCAS), 1422-1425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4391282471793878497,2,2016
An 8-stage time delay integration CMOS image sensor with on-chip polarization pixels,"H Yu, V Varghese, X Qian, M Guo, S Chen, KS Low","2015 IEEE International Symposium on Circuits and Systems (ISCAS), 1098-1101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8665182024717626317,2,2015
A time delay integration CMOS image sensor with online deblurring algorithm,"H Yu, X Qian, M Guo, S Chen, KS Low","VLSI Design, Automation and Test (VLSI-DAT), 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2092044570540214963,2,2015
A dual-exposure in-pixel charge subtraction CTIA CMOS image sensor for centroid measurement in star trackers,"X Qian, M Guo, H Yu, S Chen, KS Low","2014 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS), 467-470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=787259906508823245,2,2014
A size and position invariant event-based human posture recognition algorithm,"S Chen, F Folowosele, D Kim, RJ Vogelstein, R Etienne-Cummings, ...","2008 IEEE Biomedical Circuits and Systems Conference, 285-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8034786852893170879,2,2008
A scalable low power imager architecture for compound-eye vision sensors,"F Boussaid, C Shoushun, A Bermak",Fifth International Workshop on System-on-Chip for Real-Time Applications …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8870574340026789028,2,2005
A Rotation-Invariant Additive Vector Sequence Based Star Pattern Recognition,"DS Mehta, S Chen, KS Low","IEEE Transactions on Aerospace and Electronic Systems 55 (2), 689-705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5226190473679360686,1,2018
A Hamming Distance and Spearman Correlation Based Star Identification Algorithm,"MD Samirbhai, S Chen, KS Low","IEEE Transactions on Aerospace and Electronic Systems 55 (1), 17-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8488681616008576489,1,2018
A spearman correlation based star pattern recognition,"DS Mehta, S Chen","2017 IEEE International Conference on Image Processing (ICIP), 4372-4376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6935688869763579813,1,2017
The design of clocked-comparator-based time-interval measurement circuit for pulse ToF measurement,"GL Jaya, S Chen, L Siek","IEEE Sensors Journal 17 (20), 6699-6706",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7659325238360315411,1,2017
Frequency-response-associated delay-dispersion issue in time-delay measuring sensors,"GL Jaya, S Chen","2016 IEEE SENSORS, 1-3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9436879572039711073,1,2016
A high-resolution on-chip propagation delay measurement scheme,"GL Jaya, S Chen, L Siek","2015 International SoC Design Conference (ISOCC), 143-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1642597159668298355,1,2015
A second-generation noise-immune motion detection image sensor for moving object tracking application,"X Zhang, S Chen","2014 International Symposium on Integrated Circuits (ISIC), 252-255",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7224141574807070460,1,2014
Event-driven simulation of the tempotron spiking neuron,"B Zhao, Q Yu, R Ding, S Chen, H Tang",2014 IEEE Biomedical Circuits and Systems Conference (BioCAS) Proceedings …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=110999954914826207,1,2014
