Title,Authors,Platform,Cited_url,Cited_count,Year
Face recognition with radial basis function (RBF) neural networks,"MJ Er, S Wu, J Lu, HL Toh","IEEE transactions on neural networks 13 (3), 697-710",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8251997992348846264,797,2002
Illumination compensation and normalization for robust face recognition using discrete cosine transform in logarithm domain,"W Chen, MJ Er, S Wu","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 36 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9582571465993274244,626,2006
Dynamic fuzzy neural networks-a novel approach to function approximation,"S Wu, MJ Er","IEEE transactions on systems, man, and cybernetics, part B (cybernetics) 30 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8894092135110566022,504,2000
A fast approach for automatic generation of fuzzy rules by generalized dynamic fuzzy neural networks,"S Wu, MJ Er, Y Gao","IEEE Transactions on Fuzzy Systems 9 (4), 578-594","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1245446889408784394,368502936012915335",452,2001
High-speed face recognition based on discrete cosine transform and RBF neural networks,"MJ Er, W Chen, S Wu","IEEE Transactions on neural networks 16 (3), 679-691",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=411092230177342529,336,2005
Online adaptive fuzzy neural identification and control of a class of MIMO nonlinear systems,"Y Gao, MJ Er","IEEE Transactions on Fuzzy Systems 11 (4), 462-477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11145578469334617288,246,2003
Wireless sensor networks for industrial environments,"KS Low, WNN Win, MJ Er",International Conference on Computational Intelligence for Modelling …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7420969213546752765,242,2005
NARMAX time series model prediction: feedforward and recurrent fuzzy neural network approaches,"Y Gao, MJ Er","Fuzzy sets and systems 150 (2), 331-350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=889366650305480672,222,2005
PCA and LDA in DCT domain,"W Chen, MJ Er, S Wu","Pattern Recognition Letters 26 (15), 2474-2482",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8322603417076615043,158,2005
Online tuning of fuzzy inference systems using dynamic fuzzy Q-learning,"MJ Er, C Deng","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 34 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10804419728095926450,145,2004
Robust adaptive control of robot manipulators using generalized fuzzy neural networks,"MJ Er, Y Gao","IEEE Transactions on Industrial Electronics 50 (3), 620-628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16561798555605459306,135,2003
A review of clustering techniques and developments,"A Saxena, M Prasad, A Gupta, N Bharill, OP Patel, A Tiwari, MJ Er, ...","Neurocomputing 267, 664-681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12331860478231843754,130,2017
Composite adaptive fuzzy H∞ tracking control of uncertain nonlinear systems,"Y Pan, Y Zhou, T Sun, MJ Er","Neurocomputing 99, 15-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18440659691180711928,128,2013
Adaptive fuzzy control with guaranteed convergence of optimal approximation error,"Y Pan, MJ Er, D Huang, Q Wang","IEEE Transactions on Fuzzy Systems 19 (5), 807-818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=938397420868305159,127,2011
A fast and accurate online self-organizing scheme for parsimonious fuzzy neural networks,"N Wang, MJ Er, X Meng","Neurocomputing 72 (16-18), 3818-3829",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16904769567853029344,126,2009
A hybrid particle swarm optimization based fuzzy expert system for the diagnosis of coronary artery disease,"S Muthukaruppan, MJ Er","Expert Systems with Applications 39 (14), 11657-11665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8968732970665329377,124,2012
Hybrid fuzzy control of robotics systems,"YL Sun, MJ Er","IEEE Transactions on Fuzzy Systems 12 (6), 755-765",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1825460727594447734,123,2004
A fast learning algorithm for parsimonious fuzzy neural systems,"MJ Er, S Wu","Fuzzy Sets and Systems 126 (3), 337-351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8955755025105298082,123,2002
Adaptive robust online constructive fuzzy control of a complex surface vehicle system,"N Wang, MJ Er, JC Sun, YC Liu","IEEE Transactions on Cybernetics 46 (7), 1511-1523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7208956672578605470,120,2015
Hybrid fuzzy proportional-integral plus conventional derivative control of linear and nonlinear systems,"MJ Er, YL Sun","IEEE Transactions on Industrial Electronics 48 (6), 1109-1117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9827652467657506642,115,2001
Obstacle avoidance of a mobile robot using hybrid learning approach,"MJ Er, C Deng","IEEE transactions on industrial electronics 52 (3), 898-905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7950670558993390552,108,2005
Direct adaptive fuzzy tracking control of marine vehicles with fully unknown parametric dynamics and uncertainties,"N Wang, MJ Er","IEEE Transactions on Control Systems Technology 24 (5), 1845-1852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17619872714565132992,103,2016
Coverage path planning for UAVs based on enhanced exact cellular decomposition method,"Y Li, H Chen, MJ Er, X Wang","Mechatronics 21 (5), 876-885",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=702085119758506226,98,2011
Global asymptotic model-free trajectory-independent tracking control of an uncertain marine vehicle: An adaptive universe-based fuzzy control approach,"N Wang, SF Su, J Yin, Z Zheng, MJ Er","IEEE Transactions on Fuzzy Systems 26 (3), 1613-1625",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7952991714815001736,97,2017
Parsimonious extreme learning machine using recursive orthogonal least squares,"N Wang, MJ Er, M Han","IEEE transactions on neural networks and learning systems 25 (10), 1828-1841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8483846145248404767,95,2014
Self-constructing adaptive robust fuzzy neural tracking control of surface vehicles with uncertainties and unknown disturbances,"N Wang, MJ Er","IEEE Transactions on Control Systems Technology 23 (3), 991-1002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14158013252246079773,91,2014
pClass: an effective classifier for streaming examples,"M Pratama, SG Anavatti, M Joo, ED Lughofer","IEEE Transactions on Fuzzy Systems 23 (2), 369-386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5144429382577222778,89,2014
Incorporating social impact on new product adoption in choice modeling: A case study in green vehicles,"L He, M Wang, W Chen, G Conzelmann","Transportation Research Part D: Transport and Environment 32, 421-434","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8322045969811479358,2702789270445741655,6889582425990679364",88,2014
Generalized single-hidden layer feedforward networks for regression problems,"N Wang, MJ Er, M Han","IEEE transactions on neural networks and learning systems 26 (6), 1161-1176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6480585304035926849,83,2014
Tracking-error-based universal adaptive fuzzy control for output tracking of nonlinear systems with completely unknown dynamics,"N Wang, JC Sun, MJ Er","IEEE Transactions on Fuzzy Systems 26 (2), 869-883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1379264279526608432,82,2017
Fuzzy neural network modelling for tool wear estimation in dry milling operation,"X Li, BS Lim, JH Zhou, S Huang, SJ Phua, KC Shaw, MJ Er","Annual conference of the prognostics and health management society, 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13302733344970622009,79,2009
Fuzzy neural networks-based quality prediction system for sintering process,"MJ Er, J Liao, J Lin","IEEE Transactions on Fuzzy Systems 8 (3), 314-324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=95300894856517339,79,2000
Enhanced adaptive fuzzy control with optimal approximation error convergence,"Y Pan, MJ Er","IEEE Transactions on Fuzzy Systems 21 (6), 1123-1132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4631180720154539398,76,2013
A novel extreme learning control framework of unmanned surface vehicles,"N Wang, JC Sun, MJ Er, YC Liu","IEEE transactions on cybernetics 46 (5), 1106-1117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1808639582807501246,70,2015
Fuzzy regression modeling for tool performance prediction and degradation detection,"X Li, MJ Er, BS Lim, JH Zhou, OP Gan, L Rutkowski","International Journal of Neural Systems 20 (05), 405-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16057209592460323498,66,2010
