Title,Authors,Platform,Cited_url,Cited_count,Year
Polymer nanocomposites based on functionalized carbon nanotubes,"NG Sahoo, S Rana, JW Cho, L Li, SH Chan","Progress in polymer science 35 (7), 837-867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13062214435516061972,1416,2010
Chitosan‐functionalized graphene oxide as a nanocarrier for drug and gene delivery,"H Bao, Y Pan, Y Ping, NG Sahoo, T Wu, L Li, J Li, LH Gan","Small 7 (11), 1569-1578",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10457938183456500827,634,2011
Water‐Soluble Poly(,"Y Pan, H Bao, NG Sahoo, T Wu, L Li","Advanced Functional Materials 21 (14), 2754-2763",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5395021466933117283,374,2011
Graphene‐based materials for energy conversion,"NG Sahoo, Y Pan, L Li, SH Chan","Advanced Materials 24 (30), 4203-4210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1201864788663074463,254,2012
Functionalized carbon nanomaterials as nanocarriers for loading and delivery of a poorly water-soluble anticancer drug: a comparative study,"NG Sahoo, H Bao, Y Pan, M Pal, M Kakran, HKF Cheng, L Li, LP Tan","Chemical communications 47 (18), 5235-5237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14114811656634310039,252,2011
Green fabrication of chitosan films reinforced with parallel aligned graphene oxide,"Y Pan, T Wu, H Bao, L Li","Carbohydrate polymers 83 (4), 1908-1915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3755561056466011872,219,2011
Gel network structure of methylcellulose in water,"L Li, PM Thangamathesvaran, CY Yue, KC Tam, X Hu, YC Lam","Langmuir 17 (26), 8062-8068",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1496948289332285795,211,2001
Thermally induced association and dissociation of methylcellulose in aqueous solutions,"L Li, H Shan, CY Yue, YC Lam, KC Tam, X Hu","Langmuir 18 (20), 7291-7298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7780223553052308744,204,2002
Thermal gelation of methylcellulose in water: scaling and thermoreversibility,L Li,"Macromolecules 35 (15), 5990-5998",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4437793607364446421,183,2002
Poly (vinyl alcohol) nanocomposites filled with poly (vinyl alcohol)-grafted graphene oxide,"HKF Cheng, NG Sahoo, YP Tan, Y Pan, H Bao, L Li, SH Chan, J Zhao","ACS applied materials & interfaces 4 (5), 2387-2394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11271841952500658747,180,2012
Rheological images of poly (vinyl chloride) gels. 1. The dependence of sol− gel transition on concentation,"L Li, Y Aoki","Macromolecules 30 (25), 7835-7841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=755348942096065088,160,1997
The aggregation behavior of O-carboxymethylchitosan in dilute aqueous solution,"A Zhu, MB Chan-Park, S Dai, L Li","Colloids and Surfaces B: Biointerfaces 43 (3-4), 143-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15340572061550812472,126,2005
The application of graphene oxide in drug delivery,"Y Pan, NG Sahoo, L Li","Expert opinion on drug delivery 9 (11), 1365-1376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4105967985563497051,122,2012
Decoration of carbon nanotubes with silver nanoparticles for advanced CNT/polymer nanocomposites,"F Xin, L Li","Composites Part A: Applied Science and Manufacturing 42 (8), 961-967",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11099699522688631898,120,2011
Thermo-and pH-responsive association behavior of dual hydrophilic graft chitosan terpolymer synthesized via ATRP and click chemistry,"H Bao, L Li, LH Gan, Y Ping, J Li, P Ravi","Macromolecules 43 (13), 5679-5687",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11003397439630706285,119,2010
