Title,Authors,Platform,Cited_url,Cited_count,Year
Enhanced thermal conductivity of TiO2—water based nanofluids,"SMS Murshed, KC Leong, C Yang","International Journal of thermal sciences 44 (4), 367-373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5991041196238269617,1300,2005
A benchmark study on the thermal conductivity of nanofluids,"J Buongiorno, DC Venerus, N Prabhat, T McKrell, J Townsend, ...","Journal of Applied Physics 106 (9), 094312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15313870139238352497,1009,2009
Investigations of thermal conductivity and viscosity of nanofluids,"SMS Murshed, KC Leong, C Yang","International Journal of Thermal Sciences 47 (5), 560-568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17142859607578734714,922,2008
Thermophysical and electrokinetic properties of nanofluids–a critical review,"SMS Murshed, KC Leong, C Yang","Applied Thermal Engineering 28 (17-18), 2109-2125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8155570789581144948,607,2008
A model for the thermal conductivity of nanofluids–the effect of interfacial layer,"KC Leong, C Yang, SMS Murshed","Journal of nanoparticle research 8 (2), 245-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7400331398561405734,314,2006
Life cycle assessment study of solar PV systems: An example of a 2.7 kWp distributed solar PV system in Singapore,"R Kannan, KC Leong, R Osman, HK Ho, CP Tso","Solar energy 80 (5), 555-563",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12252349186139126014,252,2006
A combined model for the effective thermal conductivity of nanofluids,"SMS Murshed, KC Leong, C Yang","Applied Thermal Engineering 29 (11-12), 2477-2483",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15291471273346908075,223,2009
An experimental study of heat transfer in oscillating flow through a channel filled with an aluminum foam,"KC Leong, LW Jin","International Journal of Heat and Mass Transfer 48 (2), 243-253",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13339873984830726005,135,2005
An experimental study of heat transfer of a porous channel subjected to oscillating flow,"HL Fu, KC Leong, XY Huang, CY Liu","J. Heat Transfer 123 (1), 162-170","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15803779178896043079,9346631032752928762",104,2000
Determination of the effective thermal diffusivity of nanofluids by the double hot-wire technique,"SMS Murshed, KC Leong, C Yang","Journal of Physics D: Applied Physics 39 (24), 5316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2536480106596940334,102,2006
Numerical modeling of combined heat and mass transfer in the adsorbent bed of a zeolite/water cooling system,"KC Leong, Y Liu","Applied Thermal Engineering 24 (16), 2359-2374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4895035977772059422,101,2004
"Life cycle energy, emissions and cost inventory of power generation technologies in Singapore","R Kannan, KC Leong, R Osman, HK Ho","Renewable and Sustainable Energy Reviews 11 (4), 702-715",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4752231036285337791,99,2007
Effect of oscillatory frequency on heat transfer in metal foam heat sinks of various pore densities,"KC Leong, LW Jin","International journal of heat and mass transfer 49 (3-4), 671-681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=210321639474651337,88,2006
The effect of operating conditions on the performance of zeolite/water adsorption cooling systems,"Y Liu, KC Leong","Applied Thermal Engineering 25 (10), 1403-1418",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13615677769571357151,79,2005
Numerical study of a novel cascading adsorption cycle,"Y Liu, KC Leong","International Journal of Refrigeration 29 (2), 250-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4074100472468172024,71,2006
Characteristics of oscillating flow through a channel filled with open-cell metal foam,"KC Leong, LW Jin","International Journal of Heat and fluid flow 27 (1), 144-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10801563791991128294,70,2006
Heat conduction in nanofluids,"L Wang, X Wei","Chaos, Solitons & Fractals 39 (5), 2211-2215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18097336906040506669,68,2009
"Gas fired combined cycle plant in Singapore: energy use, GWP and cost—a life cycle approach","R Kannan, KC Leong, R Osman, HK Ho, CP Tso","Energy Conversion and Management 46 (13-14), 2145-2157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10187037627008226472,62,2005
Numerical study of a combined heat and mass recovery adsorption cooling cycle,"KC Leong, Y Liu","International Journal of Heat and Mass Transfer 47 (22), 4761-4770","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4153751767453751186,8648908364136898354",59,2004
