Title,Authors,Platform,Cited_url,Cited_count,Year
Activation of remote ,"D Leow, G Li, TS Mei, JQ Yu","Nature 486 (7404), 518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14465101619040413928,572,2012
Pd(II)-Catalyzed ,"X Wang, D Leow, JQ Yu","Journal of the American Chemical Society 133 (35), 13864-13867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4595553558241433271,255,2011
Chiral guanidine catalyzed enantioselective reactions,"D Leow, CH Tan","Chemistry–An Asian Journal 4 (4), 488-507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11361133836037500115,243,2009
Palladium-Catalyzed ,"YF Yang, GJ Cheng, P Liu, D Leow, TY Sun, P Chen, X Zhang, JQ Yu, ...","Journal of the American Chemical Society 136 (1), 344-355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6183001008257046585,210,2013
Enantioselective synthesis of chiral allenoates by Guanidine-catalyzed isomerization of 3-alkynoates,"H Liu, D Leow, KW Huang, CH Tan","Journal of the American Chemical Society 131 (21), 7212-7213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5707424090553208665,178,2009
Enantioselective protonation catalyzed by a chiral bicyclic guanidine derivative,"D Leow, S Lin, SK Chittimalla, X Fu, CH Tan","Angewandte Chemie International Edition 47 (30), 5641-5645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1889794651920590970,172,2008
Hydroxyl-directed C–H carbonylation enabled by mono-N-protected amino acid ligands: An expedient route to 1-isochromanones,"Y Lu, D Leow, X Wang, KM Engle, JQ Yu","Chemical Science 2 (5), 967-971",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12389482889880852635,166,2011
Organic dye photocatalyzed α-oxyamination through irradiation with visible light,C WeeáKee,"Green Chemistry 12 (6), 953-956",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12124500854674562844,131,2010
Ether‐Directed ,"G Li, D Leow, L Wan, JQ Yu","Angewandte Chemie International Edition 52 (4), 1245-1247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5465934050175108464,110,2013
Chiral Bicyclic Guanidine as a Versatile Brønsted Base Catalyst for the Enantioselective Michael Reactions of Dithiomalonates and β‐Keto Thioesters,"W Ye, Z Jiang, Y Zhao, SLM Goh, D Leow, YT Soh, CH Tan","Advanced Synthesis & Catalysis 349 (16), 2454-2458",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17170817388655645588,103,2007
Synthesis of Indolines via Pd(II)-Catalyzed Amination of C–H Bonds Using PhI(OAc),"TS Mei, D Leow, H Xiao, BN Laforteza, JQ Yu","Organic letters 15 (12), 3058-3061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3238973391410888754,93,2013
Catalytic reactions of chiral guanidines and guanidinium salts,"D Leow, CH Tan","Synlett 2010 (11), 1589-1605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7204695100419331635,89,2010
Pd (II)-catalyzed C–H functionalizations directed by distal weakly coordinating functional groups,"G Li, L Wan, G Zhang, D Leow, J Spangler, JQ Yu","Journal of the American Chemical Society 137 (13), 4391-4397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14669605330706714939,87,2015
Chiral bicyclic guanidines: a concise and efficient aziridine-based synthesis,"W Ye, D Leow, SLM Goh, CT Tan, CH Chian, CH Tan","Tetrahedron letters 47 (6), 1007-1010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7703793945711513263,83,2006
Phenazinium Salt-Catalyzed Aerobic Oxidative Amidation of Aromatic Aldehydes,D Leow,"Organic letters 16 (21), 5812-5815",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16804383391784382758,55,2014
Brønsted Base‐Catalyzed Tandem Isomerization–Michael Reactions of Alkynes: Synthesis of Oxacycles and Azacycles,"H Liu, W Feng, CW Kee, D Leow, WT Loh, CH Tan","Advanced Synthesis & Catalysis 352 (18), 3373-3379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2776855349866421497,45,2010
Enantioselective Protonation of Itaconimides with Thiols and the Rotational Kinetics of the Axially Chiral C N Bond,"S Lin, D Leow, KW Huang, CH Tan","Chemistry–An Asian Journal 4 (11), 1741-1744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7256520482007460331,37,2009
Photodriven Transfer Hydrogenation of Olefins,"D Leow, YH Chen, TH Hung, Y Su, YZ Lin","European Journal of Organic Chemistry 2014 (33), 7347-7352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8938084441086523976,11,2014
Organocatalytic Enantioselective Protonation of Enol Derivatives,"D Leow, J Shen, Y Su, GR Peh","Mini-Reviews in Organic Chemistry 11 (4), 410-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=177321836234945190,7,2014
Asymmetric Brook Rearrangement,"N Lee, CH Tan, D Leow","Asian Journal of Organic Chemistry 8 (1), 25-31",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4716625013444656201,4,2019
Metal-catalysed reactions enabled by guanidine-type ligands,"XY Cui, CH Tan, D Leow","Organic & biomolecular chemistry 17 (19), 4689-4699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=899502189416956602,3,2019
"Photocatalytic direct intermolecular addition of 1, 3-dithianes","M Lee, YH Chen, TH Hung, W Chang, WC Yan, D Leow","RSC Advances 5 (105), 86402-86406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3427479909556147838,3,2015
"3-Amino-1, 2, 4 (4 H)-oxadiazol-5-one (AOD) and its nitrogen-rich salts: a class of insensitive energetic materials","AS Kumar, N Sasidharan, R Ganguly, D Leow, HH Hng","New Journal of Chemistry 42 (3), 1840-1844",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4208551780903898864,2,2018
Remazol‐Catalyzed Hydroperoxyarylation of Styrenes,"YH Chen, M Lee, YZ Lin, D Leow","Chemistry–An Asian Journal 10 (8), 1618-1621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18440165876018564526,1,2015
"Chiral bicyclic guanidine, bis-guanidinium, pentanidium and related organocatalysts","D Leow, CH Tan","Guanidines as Reagents and Catalysts I, 129-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9281463868819066244,1,2015
Recent Advances in Chiral Guanidine-Catalyzed Enantioselective Reactions.,"HC Chou, D Leow, CH Tan","Chemistry, an Asian journal 14 (21), 3803",,0,2019
Development of a robotic system for automatic organic chemistry synthesis,"JXY Lim, D Leow, QC Pham, CH Tan",arXiv preprint arXiv:1906.07939,,0,2019
Pd (II)-Catalyzed C–H Activation Route to Indolines,"V Snieckus, A Maheta","Synfacts 9 (11), 1163-1163",,0,2013
Catalytic Asymmetric Synthesis of Allenoates by Isomerization of Alkynoates,"H Liu, D Leow, KW Huang, CH Tan","Synfacts 2009 (07), 0794-0794",,0,2009
ORGN 421-Enantioselective protonation catalyzed by a chiral bicyclic guanidine derivative,"D Leow, S Lin, SK Chittimalla, X Fu, CH Tan",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 237,,0,2009
Enantioselective Protonation,"D Leow, S Lin, SK Chittimalla, X Fu, CH Tan","Synfacts 2008 (09), 0993-0993",,0,2008
Enantioselective Michael Reactions of Dithiomalonates and β-Keto Thioesters,"W Ye, Z Jiang, Y Zhao, SLM Goh, D Leow, YT Soh, CH Tan","Synfacts 2008 (02), 0199-0199",,0,2008
Enantioselective Michael Reactions of Dithiomalonates and# 946-Keto Thioesters,"W Ye, Z Jiang, Y Zhao, SL Goh, D Leow, YT Soh, CH Tan","Synfacts, 199",,0,2008
Recent Advances in Chiral Guanidine Catalyzed Enantioselective Reactions,"CH Tan, D Leow, HC Chou",Chemistry–An Asian Journal,,0,0
