Title,Authors,Platform,Cited_url,Cited_count,Year
Influence of thermal processing protocol upon the crystallization and photovoltaic performance of organic–inorganic lead trihalide perovskites,"M Saliba, KW Tan, H Sai, DT Moore, T Scott, W Zhang, LA Estroff, ...","The Journal of Physical Chemistry C 118 (30), 17171-17177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10838581421829507977,234,2014
Thermally induced structural evolution and performance of mesoporous block copolymer-directed alumina perovskite solar cells,"KW Tan, DT Moore, M Saliba, H Sai, LA Estroff, T Hanrath, HJ Snaith, ...","ACS nano 8 (5), 4730-4739",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8004839831332583067,225,2014
Crystallization kinetics of organic–inorganic trihalide perovskites and the role of the lead anion in crystal growth,"DT Moore, H Sai, KW Tan, DM Smilgies, W Zhang, HJ Snaith, U Wiesner, ...","Journal of the American Chemical Society 137 (6), 2350-2358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11604446907845637100,209,2015
Hierarchical porous polymer scaffolds from block copolymers,"H Sai, KW Tan, K Hur, E Asenath-Smith, R Hovden, Y Jiang, M Riccio, ...","Science 341 (6145), 530-534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=374394469871525676,189,2013
Block copolymer self-assembly–directed single-crystal homo-and heteroepitaxial nanostructures,"H Arora, P Du, KW Tan, JK Hyun, J Grazul, HL Xin, DA Muller, ...","Science 330 (6001), 214-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10246545735589142648,85,2010
Transient laser heating induced hierarchical porous structures from block copolymer–directed self-assembly,"KW Tan, B Jung, JG Werner, ER Rhoades, MO Thompson, U Wiesner","Science 349 (6243), 54-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6515532885169670167,73,2015
Block copolymer self-assembly–directed synthesis of mesoporous gyroidal superconductors,"SW Robbins, PA Beaucage, H Sai, KW Tan, JG Werner, JP Sethna, ...","Science advances 2 (1), e1501119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8472487765859160767,57,2016
Impact of the organic halide salt on final perovskite composition for photovoltaic applications,"DT Moore, H Sai, K Wee Tan, LA Estroff, U Wiesner","APL Materials 2 (8), 081802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6141981496656802798,50,2014
Multicomponent nanomaterials with complex networked architectures from orthogonal degradation and binary metal backfilling in ABC triblock terpolymers,"CD Cowman, E Padgett, KW Tan, R Hovden, Y Gu, N Andrejevic, D Muller, ...","Journal of the American Chemical Society 137 (18), 6026-6033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3659991115113990476,45,2015
Direct crystallization route to methylammonium lead iodide perovskite from an ionic liquid,"DT Moore, KW Tan, H Sai, KP Barteau, U Wiesner, LA Estroff","Chemistry of Materials 27 (9), 3197-3199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11829207558316477223,38,2015
Stimuli-responsive shapeshifting mesoporous silica nanoparticles,"Y Sun, H Sai, KA Spoth, KW Tan, U Werner-Zwanziger, J Zwanziger, ...","Nano letters 16 (1), 651-655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13096507544443574526,22,2015
 Study of Evaporation-Induced Surface Structure Evolution in Asymmetric Triblock Terpolymer Membranes,"Y Gu, RM Dorin, KW Tan, DM Smilgies, U Wiesner","Macromolecules 49 (11), 4195-4201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12240550528752606674,20,2016
Particulate mobility in vertical deposition of attractive monolayer colloidal crystals,"KW Tan, YK Koh, YM Chiang, CC Wong","Langmuir 26 (10), 7093-7100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2212536770141379068,20,2010
Layer-by-layer growth of attractive binary colloidal particles,"KW Tan, G Li, YK Koh, Q Yan, CC Wong","Langmuir 24 (17), 9273-9278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16302438937723265160,19,2008
Colloidal self-assembly-directed laser-induced non-close-packed crystalline silicon nanostructures,"KW Tan, SA Saba, H Arora, MO Thompson, U Wiesner","ACS nano 5 (10), 7960-7966",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1855053409315324265,11,2011
Ordered mesoporous crystalline aluminas from self-assembly of ABC triblock terpolymer–butanol–alumina sols,"KW Tan, H Sai, SW Robbins, JG Werner, TN Hoheisel, SA Hesse, ...","RSC Advances 5 (61), 49287-49294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7193066891438580542,10,2015
Pathways to mesoporous resin/carbon thin films with alternating gyroid morphology,"Q Zhang, F Matsuoka, HS Suh, PA Beaucage, S Xiong, DM Smilgies, ...","ACS nano 12 (1), 347-358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3755543609346338909,9,2017
Synthesis and Formation Mechanism of All-Organic Block Copolymer-Directed Templating of Laser-Induced Crystalline Silicon Nanostructures,"KW Tan, JG Werner, MD Goodman, HS Kim, B Jung, H Sai, PV Braun, ...","ACS applied materials & interfaces 10 (49), 42777-42785",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8067011457435511565,4,2018
Ordered nanostructured ceramic–metal composites through multifunctional block copolymer-metal nanoparticle self-assembly,"Z Li, H Sai, KW Tan, TN Hoheisel, SM Gruner, U Wiesner","Journal of sol-gel science and technology 70 (2), 286-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16175897534275122433,3,2014
Block Copolymer Self-Assembly Directed Hierarchically Structured Materials from Nonequilibrium Transient Laser Heating,"KW Tan, U Wiesner","Macromolecules 52 (2), 395-409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=872169151661667749,2,2019
Crystalline organic-inorganic halide perovskite thin films and methods of preparation,"DT Moore, SAI Hiroaki, KW Tan, LA Estroff, UB Wiesner","US Patent 9,895,714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3307463169345110108,2,2018
Porous Resin Structures,"UB Wiesner, MO Thompson, KW Tan, B Jung","US Patent App. 15/364,779",,0,2017
