Title,Authors,Platform,Cited_url,Cited_count,Year
Single-layer MoS2 phototransistors,"Z Yin, H Li, H Li, L Jiang, Y Shi, Y Sun, G Lu, Q Zhang, X Chen, H Zhang","ACS nano 6 (1), 74-80",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3558990957624877668,2498,2011
From Bulk to Monolayer MoS2: Evolution of Raman Scattering,"H Li, Q Zhang, CCR Yap, BK Tay, THT Edwin, A Olivier, D Baillargeat",Advanced Functional Materials,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7210803393488533753,2205,2012
Fabrication of Single‐and Multilayer MoS2 Film‐Based Field‐Effect Transistors for Sensing NO at Room Temperature,"H Li, Z Yin, Q He, H Li, X Huang, G Lu, DWH Fam, AIY Tok, Q Zhang, ...",Small,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3942301823958568821,1114,2012
Few-Layer MoS2: A Promising Layered Semiconductor,"R Ganatra, Q Zhang","ACS Nano 8 (5), 4074-4099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13463211758424716129,801,2014
Thermal conductivity of multiwalled carbon nanotubes,"Q Zhang, G Chen, SF Yoon, J Ahn, SG Wang, Q Zhou, Q Wang, JQ Li","Physical Review B 66 (16), 165440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6008132060459726466,513,2002
Sorption of 243Am (III) to multiwall carbon nanotubes,"X Wang, C Chen, W Hu, A Ding, D Xu, X Zhou","Environmental science & technology 39 (8), 2856-2860","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6461216136440970451,4189217129802422646",388,2005
Optical Identification of Single‐and Few‐Layer MoS2 Sheets,"H Li, G Lu, Z Yin, Q He, H Li, Q Zhang, H Zhang",Small,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15277423494749363015,249,2012
Sensing mechanisms for carbon nanotube based NH3 gas detection,"N Peng, Q Zhang, CL Chow, OK Tan, N Marzari","Nano letters 9 (4), 1626-1630",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17859017160288112795,223,2009
A novel multi-walled carbon nanotube-based biosensor for glucose detection,"SG Wang, Q Zhang, R Wang, SF Yoon","Biochemical and biophysical research communications 311 (3), 572-576",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15754158821645869330,222,2003
Thermal and electrical transport in multi-walled carbon nanotubes,"DJ Yang, SG Wang, Q Zhang, PJ Sellin, G Chen","Physics Letters A 329 (3), 207-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13597403172499525858,216,2004
Highly Stable and Reversible Lithium Storage in SnO2 Nanowires Surface Coated with a Uniform Hollow Shell by Atomic Layer Deposition,"C Guan, X Wang, Q Zhang, Z Fan, HJ Fan","Nano Letters 14 (8), 4852-4858",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2074352479192445490,215,2014
Multi-walled carbon nanotubes for the immobilization of enzyme in glucose biosensors,"SG Wang, Q Zhang, R Wang, SF Yoon, J Ahn, DJ Yang, JZ Tian, JQ Li, ...","Electrochemistry communications 5 (9), 800-803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10752777709847109950,209,2003
Mesoporous NiO nanosheet networks as high performance anodes for Li ion batteries,"X Wang, L Qiao, X Sun, X Li, D Hu, Q Zhang, D He","Journal of Materials Chemistry A 1 (13), 4173-4176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14538063731139813296,208,2013
Ultraviolet photodetectors based on anodic TiO2 nanotube arrays,"J Zou, Q Zhang, K Huang, N Marzari","The Journal of Physical Chemistry C 114 (24), 10725-10729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14507520683946609511,196,2010
Flexible visible–infrared metamaterials and their applications in highly sensitive chemical and biological sensing,"X Xu, B Peng, D Li, J Zhang, LM Wong, Q Zhang, S Wang, Q Xiong","Nano letters 11 (8), 3232-3238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17885077548060294251,194,2011
Multi-walled carbon nanotube-based gas sensors for NH< sub> 3</sub> detection,"SG Wang, Q Zhang, DJ Yang, PJ Sellin, GF Zhong","Diamond and related materials 13 (4), 1327-1332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1525683330504839150,194,2004
Advances in Carbon‐Nanotube Assembly,"Y Yan, MB Chan‐Park, Q Zhang","Small 3 (1), 24-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18214838333851103963,191,2006
Finite element analysis of moment-rotation relationships for human cervical spine,"QH Zhang, EC Teo, HW Ng, VS Lee","Journal of biomechanics 39 (1), 189-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7207236634161961872,184,2006
Fabrication of carbon nanotube field effect transistors by AC dielectrophoresis method,"J Li, Q Zhang, D Yang, J Tian","Carbon 42 (11), 2263-2267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3821439915722839345,180,2004
Fabrication of Graphene Nanomesh by Using an Anodic Aluminum Oxide Membrane as a Template,"Z Zeng, X Huang, Z Yin, H Li, Y Chen, H Li, Q Zhang, J Ma, F Boey, ...",Advanced Materials,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11425776069712393339,175,2012
Layer Thinning and Etching of Mechanically Exfoliated MoS2 Nanosheets by Thermal Annealing in Air,"J Wu, H Li, Z Yin, H Li, J Liu, X Cao, Q Zhang, H Zhang","Small 9 (19), 3314-3319",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1595054601047757420,162,2013
Manipulation of carbon nanotubes using AC dielectrophoresis,"J Li, Q Zhang, N Peng, Q Zhu","Applied Physics Letters 86 (15), 153116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5002977851095758836,162,2005
DNA biosensors based on self-assembled carbon nanotubes,"SG Wang, R Wang, PJ Sellin, Q Zhang","Biochemical and biophysical research communications 325 (4), 1433-1437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15738157402073199068,154,2004
A multilayer Si/CNT coaxial nanofiber LIB anode with a high areal capacity,"Q Xiao, Y Fan, X Wang, R Susantyoko, Q Zhang","Energy and Environmental Science 7 (2), 655-661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3535846714311583056,144,2014
High performance lithium ion battery anodes based on carbon nanotube–silicon core–shell nanowires with controlled morphology,"Y Fan, Q Zhang, Q Xiao, X Wang, K Huang","Carbon 59, 264-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2558190170437683265,115,2013
Semiconducting boron carbonitride nanostructures: Nanotubes and nanofibers,"J Yu, J Ahn, SF Yoon, Q Zhang, Rusli, B Gan, K Chew, MB Yu, XD Bai, ...","Applied Physics Letters 77 (13), 1949-1951",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14215099344419181501,112,2000
Development and validation of a C0–C7 FE complex for biomechanical study,"QH Zhang, EC Teo, HW Ng","Journal of biomechanical engineering 127 (5), 729-735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2422056054940904467,111,2005
Recent developments and future directions in the growth of nanostructures by van der Waals epitaxy,"MIB Utama, Q Zhang, J Zhang, Y Yuan, FJ Belarre, J Arbiol, Q Xiong","Nanoscale 5 (9), 3570-3588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7356043382589516156,108,2013
Ultraviolet photoconductance of a single hexagonal WO 3 nanowire,"K Huang, Q Zhang, F Yang, D He","Nano Research 3 (4), 281-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18132651314000199284,108,2010
Individually dispersing single-walled carbon nanotubes with novel neutral pH water-soluble chitosan derivatives,"LY Yan, YF Poon, MB Chan-Park, Y Chen, Q Zhang","The Journal of Physical Chemistry C 112 (20), 7579-7587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17726584559801750767,106,2008
High sensitivity SnO2 single-nanorod sensors for the detection of H2 gas at low temperature,"H Huang, YC Lee, OK Tan, W Zhou, N Peng, Q Zhang","Nanotechnology 20 (11), 115501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3459701742876316138,101,2009
