Title,Authors,Platform,Cited_url,Cited_count,Year
English in Hong Kong: functions and status,"KK Luke, JC Richards","English World-Wide 3 (1), 47-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14117392589214164398,265,1982
Utterance particles in Cantonese conversation,KK Luke,John Benjamins Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14700522433728145120,223,1990
Functional anatomy of syntactic and semantic processing in language comprehension,"KK Luke, HL Liu, YY Wai, YL Wan, LH Tan","Human brain mapping 16 (3), 133-145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16977690893444907394,196,2002
Language affects patterns of brain activation associated with perceptual decision,"LH Tan, AHD Chan, P Kay, PL Khong, LKC Yip, KK Luke","Proceedings of the National Academy of Sciences 105 (10), 4004-4009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6207626102127906338,169,2008
Language regions of brain are operative in color perception,"WT Siok, P Kay, WSY Wang, AHD Chan, L Chen, KK Luke, LH Tan","Proceedings of the National Academy of Sciences 106 (20), 8140-8145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13462829327712057507,134,2009
Telephone calls: Unity and diversity in conversational structure across languages and cultures,"KK Luke, TS Pavlidou",John Benjamins Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8292375767481230186,87,2002
Why two languages might be better than one: Motivations of language mixing in Hong Kong,KK Luke,"Language in Hong Kong at century’s end, 145-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9427157416401319619,84,1998
Chinese named entity recognition using lexicalized HMMs,"G Fu, KK Luke","ACM SIGKDD Explorations Newsletter 7 (1), 19-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3261507657833686519,66,2005
Neural correlates of nouns and verbs in early bilinguals,"AHD Chan, KK Luke, P Li, V Yip, G Li, B Weekes, LH Tan","Annals of the New York Academy of Sciences 1145 (1), 30-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=538344557774873838,54,2008
Language and society in Hong Kong: The social survey of languages in the 1980s,"K Bolton, KK Luke","The Social Sciences Research Centre, Hong Kong",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12283456087908833420,45,2000
Aspects of intonation in Cantonese,"A Fox, KK Luke, O Nancarrow",中國語言學報,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10030883693371420057,32,2008
Chinese unknown word identification using class-based LM,"G Fu, KK Luke","International Conference on Natural Language Processing, 704-713",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15897590663500818243,32,2004
Guide to LSHK Cantonese romanization of Chinese characters,"SW Tang, F Kwok, THT Lee, C Lun, KK Luke, P Tung, KH Cheung",Hong Kong: Linguistic Society of Hong Kong,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16248066322895290813,30,2002
