Title,Authors,Platform,Cited_url,Cited_count,Year
A luminescent cadmium metal–organic framework for sensing of nitroaromatic explosives,"C Zhang, L Sun, Y Yan, J Li, X Song, Y Liu, Z Liang","Dalton Transactions 44 (1), 230-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=845314811304983385,104,2015
"A novel (3, 3, 6)-connected luminescent metal–organic framework for sensing of nitroaromatic explosives","L Sun, H Xing, J Xu, Z Liang, J Yu, R Xu","Dalton Transactions 42 (15), 5508-5513",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5594009308822558949,96,2013
A microporous lanthanum metal–organic framework as a bi-functional chemosensor for the detection of picric acid and Fe 3+ ions,"C Zhang, Y Yan, Q Pan, L Sun, H He, Y Liu, Z Liang, J Li","Dalton Transactions 44 (29), 13340-13346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5855997763562945010,82,2015
A 4+ 4 strategy for synthesis of zeolitic metal–organic frameworks: an indium-MOF with SOD topology as a light-harvesting antenna,"L Sun, H Xing, Z Liang, J Yu, R Xu","Chemical Communications 49 (95), 11155-11157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11041409033961020941,73,2013
"Luminescent microporous organic polymers containing the 1, 3, 5-tri (4-ethenylphenyl) benzene unit constructed by Heck coupling reaction","L Sun, Z Liang, J Yu, R Xu","Polymer Chemistry 4 (6), 1932-1938",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10292142853207974577,66,2013
"Structures and properties of lanthanide metal–organic frameworks based on a 1, 2, 3-triazole-containing tetracarboxylate ligand","L Sun, Y Li, Z Liang, J Yu, R Xu","Dalton Transactions 41 (41), 12790-12796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12586024773969740866,45,2012
A one-pot synthetic strategy via tandem Suzuki–Heck reactions for the construction of luminescent microporous organic polymers,"L Sun, Y Zou, Z Liang, J Yu, R Xu","Polymer Chemistry 5 (2), 471-478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14507607535619558795,44,2014
Conformational supramolecular isomerism in two-dimensional fluorescent coordination polymers based on flexible tetracarboxylate ligand,"DS Chen, LB Sun, ZQ Liang, KZ Shao, CG Wang, ZM Su, HZ Xing","Crystal Growth & Design 13 (9), 4092-4099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3287963069951780261,42,2013
A novel photo-and hydrochromic europium metal–organic framework with good anion sensing properties,"C Zhang, L Sun, Y Yan, H Shi, B Wang, Z Liang, J Li","Journal of Materials Chemistry C 5 (35), 8999-9004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5376215763877890851,41,2017
Multifunctional Zinc Metal–Organic Framework Based on Designed H,"Y Jiang, L Sun, J Du, Y Liu, H Shi, Z Liang, J Li","Crystal Growth & Design 17 (4), 2090-2096",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17568393380960907014,36,2017
