Title,Authors,Platform,Cited_url,Cited_count,Year
"Few‐layer bismuthene: sonochemical exfoliation, nonlinear optics and applications for ultrafast photonics with enhanced stability","L Lu, Z Liang, L Wu, YX Chen, Y Song, SC Dhanabalan, JS Ponraj, ...","Laser & Photonics Reviews 12 (1), 1700221",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6889084112654090595,134,2018
Vector multi-soliton operation and interaction in a graphene mode-locked fiber laser,"YF Song, L Li, H Zhang, DY Tang, KP Loh","Optics express 21 (8), 10010-10018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6244265280211114167,102,2013
Broadband Nonlinear Photoresponse of 2D TiS,"Y Ge, Z Zhu, Y Xu, Y Chen, S Chen, Z Liang, Y Song, Y Zou, H Zeng, S Xu, ...","Advanced Optical Materials 6 (4), 1701166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17026218237153438307,70,2018
Few-layer antimonene decorated microfiber: ultra-short pulse generation and all-optical thresholding with enhanced long term stability,"Y Song, Z Liang, X Jiang, Y Chen, Z Li, L Lu, Y Ge, K Wang, J Zheng, S Lu, ...","2D Materials 4 (4), 045010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18367885650222213931,67,2017
Vector soliton fiber laser passively mode locked by few layer black phosphorus-based optical saturable absorber,"Y Song, S Chen, Q Zhang, L Li, L Zhao, H Zhang, D Tang","Optics express 24 (23), 25933-25942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11858018100203674837,54,2016
Polarization rotation vector solitons in a graphene mode-locked fiber laser,"YF Song, H Zhang, DY Tang","Optics express 20 (24), 27283-27289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13690507011699948527,53,2012
Few‐Layer Phosphorene‐Decorated Microfiber for All‐Optical Thresholding and Optical Modulation,"J Zheng, X Tang, Z Yang, Z Liang, Y Chen, K Wang, Y Song, Y Zhang, J Ji, ...","Advanced Optical Materials 5 (9), 1700026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2285764299674421711,49,2017
Dark soliton fiber lasers,"D Tang, J Guo, Y Song, H Zhang, L Zhao, D Shen","Optics express 22 (16), 19831-19837",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5091868705594067875,41,2014
Evidence of dark solitons in all-normal-dispersion-fiber lasers,"DY Tang, L Li, YF Song, LM Zhao, H Zhang, DY Shen","Physical Review A 88 (1), 013849",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4457238957102553054,38,2013
All‐Optical Phosphorene Phase Modulator with Enhanced Stability Under Ambient Conditions,"Y Wang, F Zhang, X Tang, X Chen, Y Chen, W Huang, Z Liang, L Wu, ...","Laser & Photonics Reviews 12 (6), 1800016",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8476444359722929729,37,2018
Coexistence and interaction of vector and bound vector solitons in a dispersion-managed fiber laser mode locked by graphene,"YF Song, H Zhang, LM Zhao, DY Shen, DY Tang","Optics express 24 (2), 1814-1822",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14989160683380070073,33,2016
Few-layer bismuthene for ultrashort pulse generation in a dissipative system based on an evanescent field,"T Chai, X Li, T Feng, P Guo, Y Song, Y Chen, H Zhang","Nanoscale 10 (37), 17617-17622",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6384318613583913308,32,2018
