Title,Authors,Platform,Cited_url,Cited_count,Year
New Avenues in Opinion Mining and Sentiment Analysis,"E Cambria, B Schuller, Y Xia, C Havasi","IEEE Intelligent Systems 28 (2), 15-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3569807818577785557,962,2013
Jumping NLP Curves: A Review of Natural Language Processing Research [Review Article],"E Cambria, B White","IEEE Computational Intelligence Magazine 9 (2), 48-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7352796677732177592,573,2014
Recent Trends in Deep Learning Based Natural Language Processing,"T Young, D Hazarika, S Poria, E Cambria","IEEE Computational Intelligence Magazine 13 (3), 55-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3050905065745226465,553,2018
Affective Computing and Sentiment Analysis,E Cambria,"IEEE Intelligent Systems 31 (2), 102-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5914558084730389934,469,2016
Aspect Extraction for Opinion Mining with a Deep Convolutional Neural Network,"S Poria, E Cambria, A Gelbukh","Knowledge-Based Systems 108, 42-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9730538783982851826,357,2016
A Review of Affective Computing: From Unimodal Analysis to Multimodal Fusion,"S Poria, E Cambria, R Bajpai, A Hussain","Information Fusion 37, 98-125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16762703051682888443,339,2017
SenticNet 3: A Common and Common-Sense Knowledge Base for Cognition-Driven Sentiment Analysis,"E Cambria, D Olsher, D Rajagopal","Proceedings of AAAI, 1515-1521",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11503109740373438565,322,2014
Extreme learning machines,"E Cambria, Q Liu, K Li, VCM Leung, L Feng, YS Ong, MH Lim, A Akusok, ...","IEEE Intelligent Systems 28 (6), 30-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=280867924596579880,307,2013
"Sentic Computing: Techniques, Tools, and Applications","E Cambria, A Hussain","Springer, ISBN 978-94-007-5070-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10480069853175884424,300,2012
Sentic Patterns: Dependency-Based Rules for Concept-Level Sentiment Analysis,"S Poria, E Cambria, G Winterstein, GB Huang","Knowledge-Based Systems 69, 45-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6762259365441288998,281,2014
"Fusing Audio, Visual and Textual Clues for Sentiment Analysis from Multimodal Content","S Poria, E Cambria, N Howard, GB Huang, A Hussain","Neurocomputing 174, 50-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13643480058099703902,272,2016
SenticNet: A Publicly Available Semantic Resource for Opinion Mining,"E Cambria, R Speer, C Havasi, A Hussain","Proceedings of Commonsense Knowledge Symposium, 14-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1133167538960044873,246,2010
