Title,Authors,Platform,Cited_url,Cited_count,Year
Porphyrin-sensitized solar cells with cobalt (II/III)–based redox electrolyte exceed 12 percent efficiency,"A Yella, HW Lee, HN Tsao, C Yi, AK Chandiran, MK Nazeeruddin, ...","science 334 (6056), 629-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5181786794389432041,5837,2011
Transparent carbon films as electrodes in organic solar cells,"X Wang, L Zhi, N Tsao, Ž Tomović, J Li, K Müllen","Angewandte Chemie 120 (16), 3032-3034",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17507263067787926106,720,2008
Ultrahigh mobility in polymer field-effect transistors by design,"HN Tsao, DM Cho, I Park, MR Hansen, A Mavrinskiy, DY Yoon, R Graf, ...","Journal of the American Chemical Society 133 (8), 2605-2612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11338950078529763717,645,2011
Field-effect transistors based on a benzothiadiazole− cyclopentadithiophene copolymer,"M Zhang, HN Tsao, W Pisula, C Yang, AK Mishra, K Müllen","Journal of the American Chemical Society 129 (12), 3472-3473",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1488553568463827324,479,2007
The influence of morphology on high‐performance polymer field‐effect transistors,"HN Tsao, D Cho, JW Andreasen, A Rouhanipour, DW Breiby, W Pisula, ...","Advanced Materials 21 (2), 209-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18176072830753425074,403,2009
Patterned graphene electrodes from solution‐processed graphite oxide films for organic field‐effect transistors,"S Pang, HN Tsao, X Feng, K Müllen","Advanced Materials 21 (34), 3488-3491",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16429037566313947553,334,2009
Cyclopentadithiophene Bridged Donor–Acceptor Dyes Achieve High Power Conversion Efficiencies in Dye‐Sensitized Solar Cells Based on the tris‐Cobalt Bipyridine Redox Couple,"HN Tsao, C Yi, T Moehl, JH Yum, SM Zakeeruddin, MK Nazeeruddin, ...","ChemSusChem 4 (5), 591-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15854321214099578935,299,2011
"Dithieno[2,3‐","P Gao, D Beckmann, HN Tsao, X Feng, V Enkelmann, M Baumgarten, ...","Advanced Materials 21 (2), 213-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12839732052050293352,245,2009
Tailoring structure− property relationships in dithienosilole− benzothiadiazole donor− acceptor copolymers,"PM Beaujuge, W Pisula, HN Tsao, S Ellinger, K Müllen, JR Reynolds","Journal of the American Chemical Society 131 (22), 7514-7515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2450713517157760623,228,2009
Improving polymer transistor performance via morphology control,"HN Tsao, K Müllen","Chemical Society Reviews 39 (7), 2372-2386",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1812719444818133425,227,2010
