Title,Authors,Platform,Cited_url,Cited_count,Year
Mechanical force‐driven growth of elongated bending TiO2‐based nanotubular materials for ultrafast rechargeable lithium ion batteries,"Y Tang, Y Zhang, J Deng, J Wei, HL Tam, BK Chandran, Z Dong, Z Chen, ...","Advanced Materials 26 (35), 6111-6118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7899198376960496948,334,2014
Flexible Transparent Films Based on Nanocomposite Networks of Polyaniline and Carbon Nanotubes for High‐Performance Gas Sensing,"P Wan, X Wen, C Sun, BK Chandran, H Zhang, X Sun, X Chen","Small 11 (40), 5409-5415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11503642565608554396,90,2015
Stretchable organic semiconductor devices,"Y Qian, X Zhang, L Xie, D Qi, BK Chandran, X Chen, W Huang","Advanced Materials 28 (42), 9243-9265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9058383006466687704,87,2016
Soft thermal sensor with mechanical adaptability,"H Yang, D Qi, Z Liu, BK Chandran, T Wang, J Yu, X Chen","Advanced Materials 28 (41), 9175-9181",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6717927539010403566,81,2016
Self-assembled hierarchical nanostructured perovskites enable highly efficient LEDs via an energy cascade,"XY Chin, A Perumal, A Bruno, N Yantara, SA Veldhuis, L Martínez-Sarti, ...",Energy & Environmental Science,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8098460538182090121,49,2018
Bioinspired nanosucker array for enhancing bioelectricity generation in microbial fuel cells,"W Wang, S You, X Gong, D Qi, BK Chandran, L Bi, F Cui, X Chen","Advanced Materials 28 (2), 270-275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14532736437712142115,48,2016
Rational design of materials interface for efficient capture of circulating tumor cells,"YQ Li, BK Chandran, CT Lim, X Chen","Advanced Science 2 (11), 1500118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11287237400155602780,45,2015
Self‐Protection of Electrochemical Storage Devices via a Thermal Reversible Sol–Gel Transition,"H Yang, Z Liu, BK Chandran, J Deng, J Yu, D Qi, W Li, Y Tang, C Zhang, ...","Advanced Materials 27 (37), 5593-5598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10726187891760681904,43,2015
Stretchable Motion Memory Devices Based on Mechanical Hybrid Materials,"Y Liu, Z Liu, B Zhu, J Yu, K He, WR Leow, M Wang, BK Chandran, D Qi, ...","Advanced Materials 29 (34), 1701780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6162156270946275139,31,2017
Alcohol‐Mediated Resistance‐Switching Behavior in Metal–Organic Framework‐Based Electronic Devices,"Y Liu, H Wang, W Shi, W Zhang, J Yu, BK Chandran, C Cui, B Zhu, Z Liu, ...","Angewandte Chemie 128 (31), 9030-9034",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1929324771369953311,31,2016
Enhanced photoresponse of conductive polymer nanowires embedded with Au nanoparticles,"J Zhang, L Zhong, Y Sun, A Li, J Huang, F Meng, BK Chandran, S Li, ...","Advanced Materials 28 (15), 2978-2982",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10900573774322234122,24,2016
Thin-film organic semiconductor devices: from flexibility to ultraflexibility,"Y Qian, X Zhang, D Qi, L Xie, BK Chandran, X Chen, W Huang","Science China Materials 59 (7), 589-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11513567528313713479,14,2016
Nanotubes: Mechanical Force‐Driven Growth of Elongated Bending TiO2‐based Nanotubular Materials for Ultrafast Rechargeable Lithium Ion Batteries (Adv. Mater. 35/2014),"Y Tang, Y Zhang, J Deng, J Wei, HL Tam, BK Chandran, Z Dong, Z Chen, ...","Advanced Materials 26 (35), 6046-6046",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15116283338703139582,9,2014
Highly Sensitive Electro‐Plasmonic Switches Based on Fivefold Stellate Polyhedral Gold Nanoparticles,"L Zhong, Y Jiang, C Liow, F Meng, Y Sun, BK Chandran, Z Liang, L Jiang, ...","Small 11 (40), 5395-5401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14501584263690417986,8,2015
Precursor non-stoichiometry to enable improved CH 3 NH 3 PbBr 3 nanocrystal LED performance,"BK Chandran, SA Veldhuis, XY Chin, A Bruno, N Yantara, X Chen, ...","Physical Chemistry Chemical Physics 20 (8), 5918-5925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6554886008658031496,5,2018
Perovskite templating via a bathophenanthroline additive for efficient light-emitting devices,"NF Jamaludin, N Yantara, YF Ng, A Bruno, BK Chandran, XY Chin, ...","Journal of Materials Chemistry C 6 (9), 2295-2302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11898784450514192028,3,2018
Self‐Healing Electronic Nanodevices,"L Zhang, BK Chandran, X Chen",Soft Matter Nanotechnology: From Structure to Function,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14824477993390636859,2,2015
Electro‐plasmonic Switches: Highly Sensitive Electro‐Plasmonic Switches Based on Fivefold Stellate Polyhedral Gold Nanoparticles (Small 40/2015),"L Zhong, Y Jiang, C Liow, F Meng, Y Sun, BK Chandran, Z Liang, L Jiang, ...","Small 11 (40), 5329-5329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=267863492511236190,1,2015
Polymer Nanowires: Enhanced Photoresponse of Conductive Polymer Nanowires Embedded with Au Nanoparticles (Adv. Mater. 15/2016),"J Zhang, L Zhong, Y Sun, A Li, J Huang, F Meng, BK Chandran, S Li, ...","Advanced Materials 28 (15), 3031-3031",,0,2016
