Title,Authors,Platform,Cited_url,Cited_count,Year
Topological transitions in metamaterials,"HNS Krishnamoorthy, Z Jacob, E Narimanov, I Kretzschmar, VM Menon","Science 336 (6078), 205-209",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7004868976430462841,607,2012
Active hyperbolic metamaterials: enhanced spontaneous emission and light extraction,"T Galfsky, HNS Krishnamoorthy, W Newman, EE Narimanov, Z Jacob, ...","Optica 2 (1), 62-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11773904307198378673,96,2015
Roadmap on plasmonics,"MI Stockman, K Kneipp, SI Bozhevolnyi, S Saha, A Dutta, J Ndukaife, ...","Journal of Optics 20 (4), 043001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2185751065501291800,73,2018
Organometallic perovskite metasurfaces,"B Gholipour, G Adamo, D Cortecchia, HNS Krishnamoorthy, ...","Advanced Materials 29 (9), 1604268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6889590525656381967,69,2017
Tunable hyperbolic metamaterials utilizing phase change heterostructures,"HNS Krishnamoorthy, Y Zhou, S Ramanathan, E Narimanov, VM Menon","Applied Physics Letters 104 (12), 121101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5373347540470036915,43,2014
Plasmonics of topological insulators at optical frequencies,"J Yin, HNS Krishnamoorthy, G Adamo, AM Dubrovkin, Y Chong, ...","NPG Asia Materials 9, e425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16294513797029530005,31,2017
A Superconducting Dual‐Channel Photonic Switch,"YK Srivastava, M Manjappa, L Cong, HNS Krishnamoorthy, V Savinov, ...","Advanced materials 30 (29), 1801257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13285809757871297508,26,2018
Accessing the High‐,"YK Srivastava, M Manjappa, HNS Krishnamoorthy, R Singh","Advanced Optical Materials 4 (11), 1875-1881",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12864798589488815699,25,2016
Nonreciprocity and one-way topological transitions in hyperbolic metamaterials,"A Leviyev, B Stein, A Christofi, T Galfsky, H Krishnamoorthy, IL Kuskovsky, ...","APL Photonics 2 (7), 076103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1635302929236469272,24,2017
Engineering the emission of broadband 2D perovskites by polymer distributed bragg reflectors,"P Lova, D Cortecchia, HN S. Krishnamoorthy, P Giusto, C Bastianini, ...","ACS Photonics 5 (3), 867-874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14438296481096510516,20,2018
Ultra-confined surface phonon polaritons in molecular layers of van der Waals dielectrics,"AM Dubrovkin, B Qiang, HNS Krishnamoorthy, NI Zheludev, QJ Wang","Nature communications 9 (1), 1762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17196459946129982020,15,2018
Bidirectional reconfiguration and thermal tuning of microcantilever metamaterial device operating from 77 K to 400 K,"P Pitchappa, M Manjappa, HNS Krishnamoorthy, Y Chang, C Lee, ...","Applied Physics Letters 111 (26), 261101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11322988380273125949,12,2017
Metamaterial based broadband engineering of quantum dot spontaneous emission,"HNS Krishnamoorthy, Z Jacob, E Narimanov, I Kretzschmar, VM Menon","Quantum Electronics and Laser Science Conference, JWA23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9078078719732708589,11,2010
A Non‐Volatile Chalcogenide Switchable Hyperbolic Metamaterial,"HNS Krishnamoorthy, B Gholipour, NI Zheludev, C Soci","Advanced Optical Materials 6 (19), 1800332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7105103816141799772,7,2018
High ,"B Qiang, AM Dubrovkin, HNS Krishnamoorthy, Q Wang, C Soci, Y Zhang, ...","Advanced Photonics 1 (2), 026001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5340598196242224558,3,2019
Reconfigurable hyperbolic metamaterial with negative refraction,"HNS Krishnamoorthy, B Gholipour, NI Zheludev, C Soci","2016 Conference on Lasers and Electro-Optics (CLEO), 1-2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1932397823261102883,3,2016
Directional out-coupling from active hyperbolic metamaterials,"T Galfsky, HNS Krishnamoorthy, WD Newman, E Narimanov, Z Jacob, ...",arXiv preprint arXiv:1404.1535,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9061591520199787950,3,2014
Plasmonic properties of superconducting niobium in the optical part of the spectrum,"CY Liao, HNS Krishnamoorthy, V Savinov, JY Ou, C Huang, G Adamo, ...","European Quantum Electronics Conference, EH_2_2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4918308132852212833,1,2017
