Title,Authors,Platform,Cited_url,Cited_count,Year
Current developments in fluorescent PET (photoinduced electron transfer) sensors and switches,"B Daly, J Ling, AP De Silva","Chemical Society Reviews 44 (13), 4203-4211","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16514296670458902643,14804384002823475423,9122108752060655043,8302979986680536916,11512973246318270917",444,2015
Mesoporous carbon nitride with in situ sulfur doping for enhanced photocatalytic hydrogen evolution from water under visible light,"J Hong, X Xia, Y Wang, R Xu","Journal of Materials Chemistry 22 (30), 15006-15012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6715719359636004087,434,2012
Mussel-inspired synthesis of polydopamine-functionalized graphene hydrogel as reusable adsorbents for water purification,"H Gao, Y Sun, J Zhou, R Xu, H Duan","ACS applied materials & interfaces 5 (2), 425-432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=778169938122220104,422,2013
Template‐free Formation of Uniform Urchin‐like ,"B Wang, H Wu, L Yu, R Xu, TT Lim, XW Lou","Advanced Materials 24 (8), 1111-1116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10394860719697650436,422,2012
Sharper and faster “nano darts” kill more bacteria: a study of antibacterial activity of individually dispersed pristine single-walled carbon nanotube,"S Liu, L Wei, L Hao, N Fang, MW Chang, R Xu, Y Yang, Y Chen","ACS nano 3 (12), 3891-3902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1586794062785977304,403,2009
Highly efficient and noble metal-free NiS/CdS photocatalysts for H 2 evolution from lactic acid sacrificial solution under visible light,"W Zhang, Y Wang, Z Wang, Z Zhong, R Xu","Chemical Communications 46 (40), 7631-7633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14688878793845067100,362,2010
A novel oxidative desulfurization process to remove refractory sulfur compounds from diesel fuel,"JT Sampanthar, H Xiao, J Dou, TY Nah, X Rong, WP Kwan","Applied Catalysis B: Environmental 63 (1-2), 85-93",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2575549213769443122,271,2006
Metal-free carbonaceous electrocatalysts and photocatalysts for water splitting,"Y Xu, M Kraft, R Xu","Chemical Society Reviews 45 (11), 3039-3052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8024589394231684236,262,2016
Formation of 1D Hierarchical Structures Composed of Ni,"T Zhu, HB Wu, Y Wang, R Xu, XW Lou","Advanced Energy Materials 2 (12), 1497-1502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3358183882721849498,262,2012
Self-Generation of Tiered Surfactant Superstructures for One-Pot Synthesis of Co,"R Xu, HC Zeng","Langmuir 20 (22), 9780-9790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4576559197638368336,260,2004
Embedding sulfur in MOF‐derived microporous carbon polyhedrons for lithium–sulfur batteries,"HB Wu, S Wei, L Zhang, R Xu, HH Hng, XW Lou","Chemistry–A European Journal 19 (33), 10804-10808",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4497655017392854888,253,2013
Nickel Nanoparticles Encapsulated in Few‐Layer Nitrogen‐Doped Graphene Derived from Metal–Organic Frameworks as Efficient Bifunctional Electrocatalysts for Overall Water Splitting,"Y Xu, W Tu, B Zhang, S Yin, Y Huang, M Kraft, R Xu","Advanced Materials 29 (11), 1605957",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8490697906304683011,248,2017
