Title,Authors,Platform,Cited_url,Cited_count,Year
"A survey on hysteresis modeling, identification and control","V Hassani, T Tjahjowidodo, TN Do","Mechanical systems and signal processing 49 (1-2), 209-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13799898197720895487,211,2014
A new approach to modeling hysteresis in a pneumatic artificial muscle using the Maxwell-slip model,"T Vo-Minh, T Tjahjowidodo, H Ramon, H Van Brussel","IEEE/ASME Transactions on Mechatronics 16 (1), 177-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5568261381492983197,161,2010
Identification of pre-sliding and sliding friction dynamics: Grey box and black-box models,"K Worden, CX Wong, U Parlitz, A Hornstein, D Engster, T Tjahjowidodo, ...","Mechanical systems and signal Processing 21 (1), 514-534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1798687712503678148,119,2007
Friction characterization and compensation in electro-mechanical systems,"T Tjahjowidodo, F Al-Bender, H Van Brussel, W Symens","Journal of sound and vibration 308 (3-5), 632-646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12963686231199898313,96,2007
Cascade position control of a single pneumatic artificial muscle–mass system with hysteresis compensation,"TV Minh, T Tjahjowidodo, H Ramon, H Van Brussel","Mechatronics 20 (3), 402-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4562906992831335789,80,2010
Identification of pre-sliding friction dynamics,"U Parlitz, A Hornstein, D Engster, F Al-Bender, V Lampaert, ...","Chaos: An Interdisciplinary Journal of Nonlinear Science 14 (2), 420-430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10545747428969627795,78,2004
Hysteresis modeling and position control of tendon-sheath mechanism in flexible endoscopic systems,"TN Do, T Tjahjowidodo, MWS Lau, T Yamamoto, SJ Phee","Mechatronics 24 (1), 12-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9932090351745385238,76,2014
A review of feature extraction methods in vibration-based condition monitoring and its application for degradation trend estimation of low-speed slew bearing,"W Caesarendra, T Tjahjowidodo","Machines 5 (4), 21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14616861107349355276,71,2017
Friction identification and compensation in a DC motor,"T Tjahjowidodo, F Al-Bender, H Van Brussel","IFAC Proceedings Volumes 38 (1), 554-559",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=872739269944449592,54,2005
An investigation of friction-based tendon sheath model appropriate for control purposes,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee","Mechanical Systems and Signal Processing 42 (1-2), 97-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10787504301002080141,53,2014
Theoretical modelling and experimental identification of nonlinear torsional behaviour in harmonic drives,"T Tjahjowidodo, F Al-Bender, H Van Brussel","Mechatronics 23 (5), 497-504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13792123915480816909,50,2013
Nonlinear friction modelling and compensation control of hysteresis phenomena for a pair of tendon-sheath actuated surgical robots,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee","Mechanical Systems and Signal Processing 60, 770-784",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12799372789582543093,47,2015
A new approach of friction model for tendon-sheath actuated surgical systems: Nonlinear modelling and parameter identification,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee","Mechanism and Machine Theory 85, 14-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7011089039277100073,44,2015
Real-time enhancement of tracking performances for cable-conduit mechanisms-driven flexible robots,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee","Robotics and Computer-Integrated Manufacturing 37, 197-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11488097290544484067,35,2016
Dynamic friction-based force feedback for tendon-sheath mechanism in notes system,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16316969567519919032,35,2014
Experimental dynamic identification of backlash using skeleton methods,"T Tjahjowidodo, F Al-Bender, H Van Brussel","Mechanical systems and signal processing 21 (2), 959-972",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1283492755425515309,35,2007
Structural response investigation of a triangular-based piezoelectric drive mechanism to hysteresis effect of the piezoelectric actuator,"V Hassani, T Tjahjowidodo","Mechanical Systems and Signal Processing 36 (1), 210-223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8629348849952043185,32,2013
Adaptive control for enhancing tracking performances of flexible tendon–sheath mechanism in natural orifice transluminal endoscopic surgery,"TN Do, T Tjahjowidodo, MWS Lau, SJ Phee","Mechatronics 28, 67-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10032153560461106916,31,2015
Control of a pneumatic artificial muscle (PAM) with model-based hysteresis compensation,"TV Minh, T Tjahjowidodo, H Ramon, H Van Brussel",2009 IEEE/ASME International Conference on Advanced Intelligent Mechatronics …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15393599318498740708,31,2009
