Title,Authors,Platform,Cited_url,Cited_count,Year
In‐situ formation of hollow hybrids composed of cobalt sulfides embedded within porous carbon polyhedra/carbon nanotubes for high‐performance lithium‐ion batteries,"R Wu, DP Wang, X Rui, B Liu, K Zhou, AWK Law, Q Yan, J Wei, Z Chen","Advanced Materials 27 (19), 3038-3044",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12384402770389601318,398,2015
Unique PCoN Surface Bonding States Constructed on g‐C,"C Li, Y Du, D Wang, S Yin, W Tu, Z Chen, M Kraft, G Chen, R Xu","Advanced Functional Materials 27 (4), 1604328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5976513627595442379,173,2017
Multifunctional Roles of TiO,"DP Wang, HC Zeng","Chemistry of Materials 21 (20), 4811-4823",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15500920769015379787,106,2009
Understanding the role of nanostructures for efficient hydrogen generation on immobilized photocatalysts,"Z Jiang, Y Tang, Q Tay, Y Zhang, OI Malyi, D Wang, J Deng, Y Lai, H Zhou, ...","Advanced Energy Materials 3 (10), 1368-1380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1214249036407066465,104,2013
MOFs-derived copper sulfides embedded within porous carbon octahedra for electrochemical capacitor applications,"R Wu, DP Wang, V Kumar, K Zhou, AWK Law, PS Lee, J Lou, Z Chen","Chemical communications 51 (15), 3109-3112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7791396784107650152,103,2015
"Creation of interior space, architecture of shell structure, and encapsulation of functional materials for mesoporous SiO2 spheres","DP Wang, HC Zeng","Chemistry of Materials 23 (22), 4886-4899",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15096647852670631778,79,2011
Porous cobalt phosphide/graphitic carbon polyhedral hybrid composites for efficient oxygen evolution reactions,"R Wu, DP Wang, K Zhou, N Srikanth, J Wei, Z Chen","Journal of Materials Chemistry A 4 (36), 13742-13745",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15763749676244249958,72,2016
Phosphonate-based metal–organic framework derived Co–P–C hybrid as an efficient electrocatalyst for oxygen evolution reaction,"T Zhou, Y Du, D Wang, S Yin, W Tu, Z Chen, A Borgna, R Xu","ACS Catalysis 7 (9), 6000-6007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9682794331538190269,58,2017
Bio-inspired organic cobalt (II) phosphonates toward water oxidation,"T Zhou, D Wang, SCK Goh, J Hong, J Han, J Mao, R Xu","Energy & Environmental Science 8 (2), 526-534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7658552807591732907,48,2015
Triple-layered nanostructured WO 3 photoanodes with enhanced photocurrent generation and superior stability for photoelectrochemical solar energy conversion,"H Qi, J Wolfe, D Wang, HJ Fan, D Fichou, Z Chen","Nanoscale 6 (22), 13457-13462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8861657033861429440,48,2014
A general approach towards multi-faceted hollow oxide composites using zeolitic imidazolate frameworks,"R Wu, DP Wang, J Han, H Liu, K Zhou, Y Huang, R Xu, J Wei, X Chen, ...","Nanoscale 7 (3), 965-974",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10345314573655577309,46,2015
Facile Fabrication of Large-Aspect-Ratio g-C,"LJ Fang, YH Li, PF Liu, DP Wang, HD Zeng, XL Wang, HG Yang","ACS Sustainable Chemistry & Engineering 5 (3), 2039-2043",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1468952640139702266,43,2017
Nanocomposites of anatase− polyaniline prepared via self-assembly,"DP Wang, HC Zeng","The Journal of Physical Chemistry C 113 (19), 8097-8106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11504056264718077285,34,2009
Improving Photocatalytic H,"D Wang, P Kanhere, M Li, Q Tay, Y Tang, Y Huang, TC Sum, N Mathews, ...","The Journal of Physical Chemistry C 117 (44), 22894-22902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16866721053945226056,33,2013
Polyoxometalate immobilized in MIL-101 (Cr) as an efficient catalyst for water oxidation,"J Han, D Wang, YH Du, S Xi, Z Chen, S Yin, T Zhou, R Xu","Applied Catalysis A: General 521, 83-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6796800389098258673,32,2016
Metal–organic framework immobilized cobalt oxide nanoparticles for efficient photocatalytic water oxidation,"J Han, D Wang, YH Du, S Xi, J Hong, S Yin, Z Chen, T Zhou, R Xu","Journal of Materials Chemistry A 3 (41), 20607-20613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4323067082085533957,32,2015
Improved charge separation in WO3/CuWO4 composite photoanodes for photoelectrochemical water oxidation,"D Wang, P Bassi, H Qi, X Zhao, L Wong, R Xu, T Sritharan, Z Chen","Materials 9 (5), 348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2464502682746104366,20,2016
Scale‐Up of BiVO4 Photoanode for Water Splitting in a Photoelectrochemical Cell: Issues and Challenges,"X Yao, D Wang, X Zhao, S Ma, PS Bassi, G Yang, W Chen, Z Chen, ...","Energy Technology 6 (1), 100-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14433791551359351970,16,2018
New insights into the photocatalytic activity of 3-D core–shell P25@ silica nanocomposites: impact of mesoporous coating,"Y Gong, DP Wang, R Wu, S Gazi, HS Soo, T Sritharan, Z Chen","Dalton Transactions 46 (15), 4994-5002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8912617991601736834,8,2017
