Title,Authors,Platform,Cited_url,Cited_count,Year
Experimental entanglement of six photons in graph states,"CY Lu, XQ Zhou, O Gühne, WB Gao, J Zhang, ZS Yuan, A Goebel, T Yang, ...","Nature physics 3 (2), 91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10565475159236054768,661,2007
Experimental long-distance decoy-state quantum key distribution based on polarization encoding,"CZ Peng, J Zhang, D Yang, WB Gao, HX Ma, H Yin, HP Zeng, T Yang, ...","Physical review letters 98 (1), 010505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12109285183235471810,382,2007
Observation of entanglement between a quantum dot spin and a single photon,"WB Gao, P Fallahi, E Togan, J Miguel-Sánchez, A Imamoglu","Nature 491 (7424), 426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17278483832620252430,345,2012
Experimental demonstration of a hyper-entangled ten-qubit Schrödinger cat state,"WB Gao, CY Lu, XC Yao, P Xu, O Gühne, A Goebel, YA Chen, CZ Peng, ...","Nature physics 6 (5), 331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14017436097656327346,307,2010
"Coherent manipulation, measurement and entanglement of individual solid-state spins using optical fields","WB Gao, A Imamoglu, H Bernien, R Hanson","Nature Photonics 9 (6), 363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7329507712791000557,182,2015
Generation of heralded entanglement between distant hole spins,"A Delteil, Z Sun, W Gao, E Togan, S Faelt, A Imamoğlu","Nature Physics 12 (3), 218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9606400571017120945,159,2016
Experimental demonstration of topological error correction,"XC Yao, TX Wang, HZ Chen, WB Gao, AG Fowler, R Raussendorf, ...","Nature 482 (7386), 489",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6843666602354930074,146,2012
Quantum teleportation from a propagating photon to a solid-state spin qubit,"WB Gao, P Fallahi, E Togan, A Delteil, YS Chin, J Miguel-Sanchez, ...","Nature communications 4, 2744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17390257571683693382,133,2013
Demonstrating anyonic fractional statistics with a six-qubit quantum simulator,"CY Lu, WB Gao, O Gühne, XQ Zhou, ZB Chen, JW Pan","Physical review letters 102 (3), 030502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7025112706001000568,120,2009
High-quality monolayer superconductor NbSe 2 grown by chemical vapour deposition,"H Wang, X Huang, J Lin, J Cui, Y Chen, C Zhu, F Liu, Q Zeng, J Zhou, ...","Nature communications 8 (1), 394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8663411584431601162,99,2017
Experimental realization of a controlled-NOT gate with four-photon six-qubit cluster states,"WB Gao, P Xu, XC Yao, O Gühne, A Cabello, CY Lu, CZ Peng, ZB Chen, ...","Physical review letters 104 (2), 020501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2070331491734982219,86,2010
Correlated fluorescence blinking in two-dimensional semiconductor heterostructures,"W Xu, W Liu, JF Schmidt, W Zhao, X Lu, T Raab, C Diederichs, W Gao, ...","Nature 541 (7635), 62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12810232930076619081,78,2017
Toolbox for entanglement detection and fidelity estimation,"O Gühne, CY Lu, WB Gao, JW Pan","Physical Review A 76 (3), 030305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6218088451424636884,68,2007
Observation of quantum jumps of a single quantum dot spin using submicrosecond single-shot optical readout,"A Delteil, W Gao, P Fallahi, J Miguel-Sanchez, A Imamoğlu","Physical review letters 112 (11), 116802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17766821190660897475,62,2014
Experimental quantum coding against qubit loss error,"CY Lu, WB Gao, J Zhang, XQ Zhou, T Yang, JW Pan","Proceedings of the National Academy of Sciences 105 (32), 11050-11054",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6483584430412210977,54,2008
Coherent control of a strongly driven silicon vacancy optical transition in diamond,"Y Zhou, A Rasmita, K Li, Q Xiong, I Aharonovich, W Gao","Nature communications 8, 14451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10294150293335253220,44,2017
Teleportation-based realization of an optical quantum two-qubit entangling gate,"WB Gao, AM Goebel, CY Lu, HN Dai, C Wagenknecht, Q Zhang, B Zhao, ...","Proceedings of the National Academy of Sciences 107 (49), 20869-20874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1543676482948258992,38,2010
Increasing the statistical significance of entanglement detection in experiments,"B Jungnitsch, S Niekamp, M Kleinmann, O Gühne, H Lu, WB Gao, ...","Physical review letters 104 (21), 210401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8810261950374024866,35,2010
Bright room temperature single photon source at telecom range in cubic silicon carbide,"J Wang, Y Zhou, Z Wang, A Rasmita, J Yang, X Li, HJ Von Bardeleben, ...","Nature communications 9 (1), 4106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6055124134241634748,33,2018
Nonblinking emitters with nearly lifetime-limited linewidths in CVD nanodiamonds,"K Li, Y Zhou, A Rasmita, I Aharonovich, WB Gao","Physical Review Applied 6 (2), 024010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11439437928245632510,32,2016
Spin control in reduced-dimensional chiral perovskites,"G Long, C Jiang, R Sabatini, Z Yang, M Wei, LN Quan, Q Liang, ...","Nature Photonics 12 (9), 528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5572557206263263790,31,2018
Microsecond dark-exciton valley polarization memory in two-dimensional heterostructures,"C Jiang, W Xu, A Rasmita, Z Huang, K Li, Q Xiong, W Gao","Nature communications 9 (1), 753",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3537672887305479331,30,2018
Efficient generation of an array of single silicon-vacancy defects in silicon carbide,"J Wang, Y Zhou, X Zhang, F Liu, Y Li, K Li, Z Liu, G Wang, W Gao","Physical Review Applied 7 (6), 064021","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18443029269297963682,6781083447945977148",30,2017
Room temperature solid-state quantum emitters in the telecom range,"Y Zhou, Z Wang, A Rasmita, S Kim, A Berhane, Z Bodrog, G Adamo, ...","Science advances 4 (3), eaar3580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=248739426301663256,25,2018
Scalable fabrication of single silicon vacancy defect arrays in silicon carbide using focused ion beam,"J Wang, X Zhang, Y Zhou, K Li, Z Wang, P Peddibhotla, F Liu, ...","ACS Photonics 4 (5), 1054-1059",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16866310984500953555,20,2017
Experimental measurement-based quantum computing beyond the cluster-state model,"WB Gao, XC Yao, JM Cai, H Lu, P Xu, T Yang, CY Lu, YA Chen, ZB Chen, ...","Nature Photonics 5 (2), 117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3735925233950900801,20,2011
ABCD rule for Gaussian beam propagation in the context of quantum optics derived by the IWOP technique,"H Fan, H Lu, W Gao, X Xu","Annals of Physics 321 (9), 2116-2127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16041990806962156411,18,2006
Direct Photoluminescence Probing of Ferromagnetism in Monolayer Two-Dimensional CrBr,"Z Zhang, J Shang, C Jiang, A Rasmita, W Gao, T Yu","Nano letters 19 (5), 3138-3142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2320585934743795608,16,2019
Self-protected thermometry with infrared photons and defect spins in silicon carbide,"Y Zhou, J Wang, X Zhang, K Li, J Cai, W Gao","Physical Review Applied 8 (4), 044015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3509157177937358185,16,2017
Zeeman splitting via spin-valley-layer coupling in bilayer MoTe 2,"C Jiang, F Liu, J Cuadra, Z Huang, K Li, A Rasmita, A Srivastava, Z Liu, ...","Nature communications 8 (1), 802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2693541139184873338,15,2017
Boosting the performance of organic cathodes through structure tuning,"J Xie, W Chen, G Long, W Gao, ZJ Xu, M Liu, Q Zhang","Journal of Materials Chemistry A 6 (27), 12985-12991",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10993877903662651230,11,2018
Experimental realization of programmable quantum gate array for directly probing commutation relations of Pauli operators,"XC Yao, J Fiurášek, H Lu, WB Gao, YA Chen, ZB Chen, JW Pan","Physical review letters 105 (12), 120402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3497622786514072636,11,2010
Bell inequality tests of four-photon six-qubit graph states,"WB Gao, XC Yao, P Xu, H Lu, O Gühne, A Cabello, CY Lu, T Yang, ...","Physical Review A 82 (4), 042334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15838274016923486745,10,2010
Theoretical Prediction of Chiral 3D Hybrid Organic–Inorganic Perovskites,"G Long, Y Zhou, M Zhang, R Sabatini, A Rasmita, L Huang, G Lakhwani, ...","Advanced Materials 31 (17), 1807628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2473836937742519004,8,2019
Direct writing of single germanium vacancy center arrays in diamond,"Y Zhou, Z Mu, G Adamo, S Bauerdick, A Rudzinski, I Aharonovich, W Gao","New Journal of Physics 20 (12), 125004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=422158822473631259,7,2018
Nitrogen vacancy center in cubic silicon carbide: A promising qubit in the ,"SA Zargaleh, S Hameau, B Eble, F Margaillan, HJ Von Bardeleben, ...","Physical Review B 98 (16), 165203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10163280279786427633,7,2018
Greenberger-Horne-Zeilinger-type violation of local realism by mixed states,"XQ Zhou, CY Lu, WB Gao, J Zhang, ZB Chen, T Yang, JW Pan","Physical Review A 78 (1), 012112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8527951144170506859,7,2008
Anti-Stokes excitation of solid-state quantum emitters for nanoscale thermometry,"TT Tran, B Regan, EA Ekimov, Z Mu, Y Zhou, W Gao, P Narang, ...","Science advances 5 (5), eaav9180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4606532021481956697,6,2019
Optical properties of implanted Xe color centers in diamond,"R Sandstrom, L Ke, A Martin, Z Wang, M Kianinia, B Green, W Gao, ...","Optics Communications 411, 182-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13943654968517655657,6,2018
A proof-of-principle experiment of eliminating photon-loss errors in cluster states,"WB Gao, XQ Zhou, J Zhang, T Yang, JW Pan","New Journal of Physics 10 (5), 055003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2214237826047648312,5,2008
Quantum Nanophotonics with Group IV defects in Diamond,"C Bradac, W Gao, J Forneris, MTI Aharonovich",arXiv preprint arXiv:1906.10992,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5075696438096094778,4,2019
Electron paramagnetic resonance tagged high-resolution excitation spectroscopy of NV-centers in ,"SA Zargaleh, HJ von Bardeleben, JL Cantin, U Gerstmann, S Hameau, ...","Physical Review B 98 (21), 214113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7327886964378272715,4,2018
Sulfur Position in Pyrene-Based PTTIs Plays a Key Role To Determine the Performance of Perovskite Solar Cells When PTTIs Were Employed as Electron Transport Layers,"W Chen, AA Said, Z Wang, Y Zhou, W Liu, WB Gao, M Liu, Q Zhang","ACS Applied Energy Materials 2 (8), 5716-5723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3767091387832862671,1,2019
"Synthesis, Photophysical Properties and Two‐Photon Absorption Study of Tetraazachrysene‐based N‐Heteroacenes","G Li, S Wang, S Yang, G Liu, P Hao, Y Zheng, G Long, D Li, Y Zhang, ...","Chemistry–An Asian Journal 14 (10), 1807-1813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10047797921397985374,1,2019
Room temperature nanocavity laser with interlayer excitons in 2D heterostructures,"Y Liu, H Fang, A Rasmita, Y Zhou, J Li, T Yu, Q Xiong, N Zheludev, J Liu, ...","Science advances 5 (4), eaav4506",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1279567949410802719,1,2019
"Synthesis, characterization and photophysical studies of a novel polycyclic diborane","CJ Yao, K Zhao, G Long, X Li, ZL Gong, YW Zhong, W Gao, Y Li, ...","New Journal of Chemistry 43 (2), 564-568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14291923812315567880,1,2019
Optical properties of Xe color centers in diamond,"R Sandstrom, L Ke, A Martin, Z Wang, M Kianinia, B Green, W Gao, ...",arXiv preprint arXiv:1704.01636,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5563577414818774033,1,2017
Entanglement Generation Based on Quantum Dot Spins,"A Delteil, W Gao, Z Sun, A Imamoğlu","Quantum Dots for Quantum Information Technologies, 379-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17316429295078391509,1,2017
Simultaneous eigenstates of the number-difference operator and a bilinear interaction Hamiltonian derived by solving a complex differential equation,"HY Fan, WB Gao","Modern Physics Letters A 21 (38), 2903-2911",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8425453529358754419,1,2006
Robust room temperature valley Hall effect of interlayer excitons,"Z Huang, Y Liu, K Dini, Q Tan, Z Liu, H Fang, J Liu, T Liew, W Gao",Nano Letters,,0,2019
Transition metal qubits in ,"HJ von Bardeleben, SA Zargaleh, JL Cantin, WB Gao, T Biktagirov, ...","Physical Review Materials 3 (12), 124605",,0,2019
"U-shaped Helical Azaarenes: Synthesis, Structures and Properties","K Zhao, G Long, W Liu, DS Li, W Gao, Q Zhang",The Journal of Organic Chemistry,,0,2019
Electrically controllable router of interlayer excitons,"Y Liu, KS Novoselov, W Gao",arXiv preprint arXiv:1911.12061,,0,2019
High-resolution resonant excitation of NV centers in ,"K Khazen, HJ von Bardeleben, SA Zargaleh, JL Cantin, M Zhao, W Gao, ...","Physical Review B 100 (20), 205202",,0,2019
Influences of Structural Modification of Naphthalenediimides with Benzothiazole on Organic Field-Effect Transistor and Non-Fullerene Perovskite Solar Cell Characteristics,"DB Shaikh, A Ali Said, Z Wang, P Srinivasa Rao, RS Bhosale, AM Mak, ...","ACS applied materials & interfaces 11 (47), 44487-44500",,0,2019
Circular photogalvanic effect in 2D van der Waals heterostructure,"A Rasmita, C Jiang, H Ma, Z Ji, R Agarwal, W Gao",arXiv preprint arXiv:1910.13118,,0,2019
Magnetic Proximity Effect in 2D Ferromagnetic CrBr3/Graphene van der Waals Heterostructures,"C Tang, Z Zhang, S Lai, Q Tan, W Gao",arXiv preprint arXiv:1910.10411,,0,2019
Quantum light sources from semiconductor,"D Chen, W Gao","Journal of Semiconductors 40 (7), 070301",,0,2019
Room temperature interlayer exciton valley polarization and valley Hall effect,"Z Huang, Y Liu, K Dini, Z Liu, H Fang, J Liu, T Liew, W Gao",arXiv preprint arXiv:1904.09718,,0,2019
Valley-Layer Coupling: A New Design Principle for Valleytronics,"ZM Yu, S Guan, XL Sheng, W Gao, SA Yang",arXiv preprint arXiv:1904.06498,,0,2019
Optical gating of resonance fluorescence from a single germanium vacancy color center in diamond,"D Chen, Z Mu, Y Zhou, J Froech, C Diederichs, N Zheludev, I Aharonovich, ...",arXiv preprint arXiv:1901.09231,,0,2019
A Review of Perovskite Photovoltaic Materials’ Synthesis and Applications via Chemical Vapor Deposition Method,"X Liu, L Cao, Z Guo, Y Li, W Gao, L Zhou","Materials 12 (20), 3304",,0,2019
Bright room temperature single photon source at telecom range in cubic silicon carbide,"A Rasmita, J Yang, X Li, HJ von Bardeleben, W Gao, Y Zhou, Z Wang, ...",,,0,2018
Optical switching of resonance fluorescence from a single germanium vacancy color center in diamond,"D Chen, Z Mu, Y Zhou, J Froech, C Diederichs, N Zheludev, I Aharonovich, ...",,,0,0
Building Blocks for Quantum Network Based on Group‐IV Split‐Vacancy Centers in Diamond,"D Chen, N Zheludev, W Gao",Advanced Quantum Technologies,,0,0
Physical Review Applied,"F Hao, W Wang, PP Mukherjee",,,0,0
