Title,Authors,Platform,Cited_url,Cited_count,Year
Stamp collapse in soft lithography,"YY Huang, W Zhou, KJ Hsia, E Menard, JU Park, JA Rogers, AG Alleyne","Langmuir 21 (17), 8058-8068",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13161879246347565695,226,2005
Two-and three-dimensional folding of thin film single-crystalline silicon for photovoltaic power applications,"X Guo, H Li, BY Ahn, EB Duoss, KJ Hsia, JA Lewis, RG Nuzzo","Proceedings of the National Academy of Sciences 106 (48), 20149-20154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1997838789280387994,188,2009
Measurement of adherent cell mass and growth,"K Park, LJ Millet, N Kim, H Li, X Jin, G Popescu, NR Aluru, KJ Hsia, ...","Proceedings of the National Academy of Sciences 107 (48), 20691-20696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5139265869962898868,176,2010
Collapse of stamps for soft lithography due to interfacial adhesion,"KJ Hsia, Y Huang, E Menard, JU Park, W Zhou, J Rogers, JM Fulton","Applied Physics Letters 86 (15), 154106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4027024513106460066,128,2005
A study of microbend test by strain gradient plasticity,"W Wang, Y Huang, KJ Hsia, KX Hu, A Chandra","International Journal of Plasticity 19 (3), 365-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14720260997495972669,119,2003
Thermal dissipation and variability in electrical breakdown of carbon nanotube devices,"A Liao, R Alizadegan, ZY Ong, S Dutta, F Xiong, KJ Hsia, E Pop","Physical Review B 82 (20), 205406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7693623681322050737,109,2010
Geometry effect on the strain-induced self-rolling of semiconductor membranes,"IS Chun, A Challa, B Derickson, KJ Hsia, X Li","Nano letters 10 (10), 3927-3932",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15605077920300067009,108,2010
A yield surface approach to the estimation of notch strains for proportional and nonproportional cyclic loading,"ME Barkey, DF Socie, KJ Hsia","Journal of engineering materials and technology 116 (2), 173-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3381342408640490996,95,1994
Mechanically and chemically robust sandwich-structured C@ Si@ C nanotube array Li-ion battery anodes,"J Liu, N Li, MD Goodman, HG Zhang, ES Epstein, B Huang, Z Pan, J Kim, ...","ACS nano 9 (2), 1985-1994",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=29100696750277243,93,2015
Transition states and minimum energy pathways for the collapse of carbon nanotubes,"S Zhang, R Khare, T Belytschko, KJ Hsia, SL Mielke, GC Schatz","Physical Review B 73 (7), 075423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=33306058520891091,87,2006
