Title,Authors,Platform,Cited_url,Cited_count,Year
Recent advances in ultrathin two-dimensional nanomaterials,"C Tan, X Cao, XJ Wu, Q He, J Yang, X Zhang, J Chen, W Zhao, S Han, ...","Chemical reviews 117 (9), 6225-6331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7370509221761943926,1325,2017
Synthesis of Two-Dimensional CoS,"F Cao, M Zhao, Y Yu, B Chen, Y Huang, J Yang, X Cao, Q Lu, X Zhang, ...","Journal of the American Chemical Society 138 (22), 6924-6927",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6072600543605718224,310,2016
"Hybrid Fibers Made of Molybdenum Disulfide, Reduced Graphene Oxide, and Multi‐Walled Carbon Nanotubes for Solid‐State, Flexible, Asymmetric Supercapacitors","G Sun, X Zhang, R Lin, J Yang, H Zhang, P Chen","Angewandte Chemie International Edition 54 (15), 4651-4656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14365819232347930769,305,2015
Rapid and reliable thickness identification of two-dimensional nanosheets using optical microscopy,"H Li, J Wu, X Huang, G Lu, J Yang, X Lu, Q Xiong, H Zhang","ACS nano 7 (11), 10344-10353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13591565559757819150,253,2013
Reduced Graphene Oxide‐Wrapped MoO3 Composites Prepared by Using Metal–Organic Frameworks as Precursor for All‐Solid‐State Flexible Supercapacitors,"X Cao, B Zheng, W Shi, J Yang, Z Fan, Z Luo, X Rui, B Chen, Q Yan, ...","Advanced Materials 27 (32), 4695-4701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1930365019106040254,224,2015
"Single‐Layer Transition Metal Dichalcogenide Nanosheet‐Based Nanosensors for Rapid, Sensitive, and Multiplexed Detection of DNA","Y Zhang, B Zheng, C Zhu, X Zhang, C Tan, H Li, B Chen, J Yang, J Chen, ...","Advanced Materials 27 (5), 935-939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13652637388557611934,209,2015
Self‐Assembly of Single‐Layer CoAl‐Layered Double Hydroxide Nanosheets on 3D Graphene Network Used as Highly Efficient Electrocatalyst for Oxygen Evolution Reaction,"J Ping, Y Wang, Q Lu, B Chen, J Chen, Y Huang, Q Ma, C Tan, J Yang, ...","Advanced Materials 28 (35), 7640-7645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13969864463390976230,205,2016
Growth of Au Nanoparticles on 2D Metalloporphyrinic Metal‐Organic Framework Nanosheets Used as Biomimetic Catalysts for Cascade Reactions,"Y Huang, M Zhao, S Han, Z Lai, J Yang, C Tan, Q Ma, Q Lu, J Chen, ...",Advanced Materials 29 (32),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14083554972631352884,110,2017
Two‐Dimensional CuSe Nanosheets with Microscale Lateral Size: Synthesis and Template‐Assisted Phase Transformation,"XJ Wu, X Huang, J Liu, H Li, J Yang, B Li, W Huang, H Zhang","Angewandte Chemie 126 (20), 5183-5187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3917783857489967079,77,2014
Single‐Layer Transition Metal Dichalcogenide Nanosheet‐Assisted Assembly of Aggregation‐Induced Emission Molecules to Form Organic Nanosheets with Enhanced Fluorescence,"C Tan, X Qi, X Huang, J Yang, B Zheng, Z An, R Chen, J Wei, BZ Tang, ...","Advanced materials 26 (11), 1735-1739",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15903225650257153968,62,2014
Liquid-phase growth of platinum nanoparticles on molybdenum trioxide nanosheets: an enhanced catalyst with intrinsic peroxidase-like catalytic activity,"Y Wang, X Zhang, Z Luo, X Huang, C Tan, H Li, B Zheng, B Li, Y Huang, ...","Nanoscale 6 (21), 12340-12344",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9191168814035124877,60,2014
Preparation of Single‐Layer MoS2xSe2 (1‐x) and MoxW1‐xS2 Nanosheets with High‐Concentration Metallic 1T Phase,"C Tan, W Zhao, A Chaturvedi, Z Fei, Z Zeng, J Chen, Y Huang, P Ercius, ...","Small 12 (14), 1866-1874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13114530394591413792,51,2016
In Situ Synthesis of Metal Sulfide Nanoparticles Based on 2D Metal‐Organic Framework Nanosheets,"Q Lu, M Zhao, J Chen, B Chen, C Tan, X Zhang, Y Huang, J Yang, F Cao, ...","Small 12 (34), 4669-4674",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14541240692915950167,49,2016
AuAg nanosheets assembled from ultrathin AuAg nanowires,"X Hong, C Tan, J Liu, J Yang, XJ Wu, Z Fan, Z Luo, J Chen, X Zhang, ...","Journal of the American Chemical Society 137 (4), 1444-1447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9987004613756941332,47,2015
Lithiation-induced amorphization of Pd 3 P 2 S 8 for highly efficient hydrogen evolution,"X Zhang, Z Luo, P Yu, Y Cai, Y Du, D Wu, S Gao, C Tan, Z Li, M Ren, ...","Nature Catalysis, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7521611344639054236,37,2018
Synthesis of 4H/fcc-Au@ metal sulfide core–shell nanoribbons,"Z Fan, X Zhang, J Yang, XJ Wu, Z Liu, W Huang, H Zhang","Journal of the American Chemical Society 137 (34), 10910-10913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6831965167998068149,25,2015
Anodized Aluminum Oxide Templated Synthesis of Metal–Organic Frameworks Used as Membrane Reactors,"Y Yu, XJ Wu, M Zhao, Q Ma, J Chen, B Chen, M Sindoro, J Yang, S Han, ...","Angewandte Chemie International Edition 56 (2), 578-581",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3715298711047105252,23,2017
Graphene Oxide Scroll Meshes Prepared by Molecular Combing for Transparent and Flexible Electrodes,"J Wu, J Yang, Y Huang, H Li, Z Fan, J Liu, X Cao, X Huang, W Huang, ...",Advanced Materials Technologies 2 (2),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2849416505506852770,8,2017
Diffusion and distribution of deuterium in scandium deuteride thin films under irradiation of deuterium ion beam,"T Wang, J Long, S Wang, Z Yang, J Li, G Huang, L Zhang, AJ Yang, ...","Scientific Reports 7 (1), 13304",,0,2017
