Title,Authors,Platform,Cited_url,Cited_count,Year
DNA breaks and chromosome pulverization from errors in mitosis,"K Crasta, NJ Ganem, R Dagher, AB Lantermann, EV Ivanova, Y Pan, ...","Nature 482 (7383), 53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17833231447905407750,760,2012
Identification and characterization of CAMP cohemolysin as a potential virulence factor of Riemerella anatipestifer,"KC Crasta, KL Chua, S Subramaniam, J Frey, H Loh, HM Tan","Journal of bacteriology 184 (7), 1932-1939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17836311389839500224,106,2002
Cdk1 regulates centrosome separation by restraining proteolysis of microtubule‐associated proteins,"K Crasta, P Huang, G Morgan, M Winey, U Surana","The EMBO journal 25 (11), 2551-2563",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5460916245318277333,87,2006
Inactivation of Cdh1 by synergistic action of Cdk1 and polo kinase is necessary for proper assembly of the mitotic spindle,"K Crasta, HH Lim, TH Giddings Jr, M Winey, U Surana","Nature Cell Biology 10 (6), 665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11371131043182510653,71,2008
DNA replication checkpoint prevents precocious chromosome segregation by regulating spindle behavior,"V Krishnan, S Nirantar, K Crasta, AYH Cheng, U Surana","Molecular cell 16 (5), 687-700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16804645128465907597,65,2004
Consequences of mitotic slippage for antimicrotubule drug therapy,"B Cheng, K Crasta","Endocrine-related cancer 24 (9), T97-T106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7000817058456127578,22,2017
"Disjunction of conjoined twins: Cdk1, Cdh1 and separation of centrosomes","K Crasta, U Surana","Cell division 1 (1), 12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1679548241530592514,22,2006
Dropping in on lipid droplets: insights into cellular stress and cancer,"P Shyu, XFA Wong, K Crasta, G Thibault","Bioscience reports 38 (5), BSR20180764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15968168727005253419,19,2018
Autophagy Governs Protumorigenic Effects of Mitotic Slippage–induced Senescence,"R Jakhar, MNH Luijten, AXF Wong, B Cheng, K Guo, SP Neo, B Au, ...","Molecular Cancer Research 16 (11), 1625-1640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14660543906409369980,14,2018
Mutational game changer: chromothripsis and its emerging relevance to cancer,"MNH Luijten, JXT Lee, KC Crasta","Mutation Research/Reviews in Mutation Research 777, 29-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6877012129689915215,12,2018
"Consorting kinases, end of destruction and birth of a spindle","K Crasta, H Hwa Lim, T Zhang, S Nirantar, U Surana","Cell Cycle 7 (19), 2960-2966",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18157518089400260563,7,2008
Chromosomal instability-induced senescence potentiates cell non-autonomous tumourigenic effects,"Q He, B Au, M Kulkarni, Y Shen, KJ Lim, J Maimaiti, CK Wong, ...","Oncogenesis 7 (8), 62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9897143889192784455,5,2018
Lipid accumulation facilitates mitotic slippage-induced adaptation to anti-mitotic drug treatment,"A Wong, S Chen, LK Yang, Y Kanagasundaram, K Crasta","Cell death discovery 4 (1), 109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2153690614566191310,3,2018
Generation of micronuclei and detection of chromosome pulverization,"MNH Luijten, JXT Lee, S Chen, KC Crasta","Chromothripsis, 183-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10136368229613849513,3,2018
Exosomes as Emerging Pro-Tumorigenic Mediators of the Senescence-Associated Secretory Phenotype,"R Jakhar, K Crasta","International journal of molecular sciences 20 (10), 2547",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8653301807401112015,1,2019
Increased double strand breaks in diabetic β-cells with a p21 response that limits apoptosis,"VSY Tay, S Devaraj, T Koh, G Ke, KC Crasta, Y Ali","Scientific Reports 9 (1), 1-10",,0,2019
Lipid metabolism is involved in mitotic slippage-induced SASP upon treatment with anti-mitotic drugs,"KC Crasta, A Wong, B Lim","Cancer Research 79 (13 Supplement), 897-897",,0,2019
Quantitative phase imaging of mitotic cells using d’Biomager,"A Asundi, K Crasta, R Elsa","Workshop on Computational Methods in Bio-imaging Sciences 8, 12",,0,2018
50 years on… the discovery of tubulin continues to advance cancer treatment,"K Crasta, R Aneja","Endocrine-related cancer 24 (9), E3-E5",,0,2017
Autophagy governs tumorigenic effects following mitotic slippage,"KC Crasta, B Cheng, K Guo","Cancer Research 77 (13 Supplement), 3454-3454",,0,2017
Abstract B59: Autophagy mediates senescence and supports survival upon treatment with anti-mitotic drugs,"C Bing, G Ke, A Wong, K Crasta","Molecular Cancer Research 14 (1 Supplement), B59-B59",,0,2016
DNA breaks and chromosome pulverisation from errors in mitosis,K Crasta,Mutagenesis 29 (6),,0,2014
Abstract B67: A mechanistic link between whole‐chromosome aneuploidy and DNA damage,"K Crasta, L Nezi, M Hennessy, L Cameron, Y Pan, D Chowdhury, ...","Cancer Research 69 (23 Supplement), B67-B67",,0,2009
Abstract C72: A mechanistic link between whole‐chromosome aneuploidy and DNA damage,"K Crasta, L Nezi, M Hennessy, L Cameron, Y Pan, D Chowdhury, ...","Cancer Research 69 (23 Supplement), C72-C72",,0,2009
Breaking up is hard to do: separation of sister centrosomes,BL Tang,Biomolecular Frontiers 1,,0,2007
"Top (Index), File: 16688214. pdf","K Crasta, P Huang, G Morgan, M Winey, U Surana","The EMBO Journal 25 (11), 2551",,0,2006
"Top (Index), File: 16482215. pdf","H Nishitani, N Sugimoto, V Roukos, Y Nakanishi, M Saijo, C Obuse, ...",The EMBO Journal 25 (5),,0,2006
