Title,Authors,Platform,Cited_url,Cited_count,Year
Research issues in web data mining,"SK Madria, SS Bhowmick, WK Ng, EP Lim","International Conference on Data Warehousing and Knowledge Discovery, 303-312","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13953278878140020963,16616010744820127372,15617756336802549060,11842738160391223763,2902499371723309219",379,1999
A survey of web metrics,"D Dhyani, WK Ng, SS Bhowmick","ACM Computing Surveys (CSUR) 34 (4), 469-503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2661313449974105808,346,2002
Association rule mining: A survey,"Q Zhao, SS Bhowmick","Nanyang Technological University, Singapore","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=112376959674066784,16181205109144031471",236,2003
Sequential pattern mining: A survey,"Q Zhao, SS Bhowmick","ITechnical Report CAIS Nayang Technological University Singapore 1, 26","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10860779754613880796,17514611110570440035",211,2003
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava","Information Sciences 141 (3-4), 279-309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1523750532523706792,125,2002
Event detection from evolution of click-through data,"Q Zhao, TY Liu, SS Bhowmick, WY Ma",Proceedings of the 12th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2598573025909024679,72,2006
Time-dependent semantic similarity measure of queries using historical click-through data,"Q Zhao, SCH Hoi, TY Liu, SS Bhowmick, MR Lyu, WY Ma","Proceedings of the 15th international conference on World Wide Web, 543-552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16752003928832518892,67,2006
Tag‐based social image retrieval: An empirical evaluation,"A Sun, SS Bhowmick, KT Nam Nguyen, G Bai",Journal of the American Society for Information Science and Technology 62 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12821041757159329039,62,2011
Web warehousing: An algebra for web information,"WK Ng, EP Lim, CT Huang, S Bhowmick, FQ Qin",Proceedings IEEE International Forum on Research and Technology Advances in …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2170207159243452519,14997879272484553543",61,1998
An XML Schema integration and query mechanism system,"S Madria, K Passi, S Bhowmick","Data & Knowledge Engineering 65 (2), 266-303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13673274149422775554,60,2008
A model for XML Schema integration,"K Passi, L Lane, S Madria, BC Sakamuri, M Mohania, S Bhowmick","International Conference on Electronic Commerce and Web Technologies, 193-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2400515485102635449,57,2002
In search of influential event organizers in online social networks,"K Feng, G Cong, SS Bhowmick, S Ma",Proceedings of the 2014 ACM SIGMOD international conference on Management of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14916122847976863060,55,2014
