Title,Authors,Platform,Cited_url,Cited_count,Year
Facilitators of knowledge transfer in university-industry collaborations: A knowledge-based perspective,"MD Santoro, PE Bierly","IEEE Transactions on engineering management 53 (4), 495-507","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11321310781043045391,7176101078390244315",259,2006
Thermal investigation of lithium-ion battery module with different cell arrangement structures and forced air-cooling strategies,"T Wang, KJ Tseng, J Zhao, Z Wei","Applied energy 134, 229-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15553202732706338651,200,2014
Cytosolic adaptor protein Dab2 is an intracellular ligand of endocytic receptor gp600/megalin,"AV Oleinikov, Z Jun, SP Makker","Biochemical Journal 347 (3), 613-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3994143287705814089,160,2000
A review of nanofluid heat transfer and critical heat flux enhancement—research gap to engineering application,"JM Wu, J Zhao","Progress in Nuclear Energy 66, 13-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15276963090515670982,159,2013
Thermal issues about Li-ion batteries and recent progress in battery thermal management systems: A review,"H Liu, Z Wei, W He, J Zhao","Energy conversion and management 150, 304-330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8260525026397978274,129,2017
Performance improvements of microchannel heat sink using wavy channel and nanofluids,"A Sakanova, CC Keian, J Zhao","International journal of heat and mass transfer 89, 59-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1785416779696827756,102,2015
A small loading of surface-modified Ba 0.6 Sr 0.4 TiO 3 nanofiber-filled nanocomposites with enhanced dielectric constant and energy density,"S Liu, J Zhai","RSC Advances 4 (77), 40973-40979","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1302072277262243987,13195257194853294476,16353504999215974691,3837773150814034603,6896832451415623433",91,2014
Small and medium sized reactors (SMR): A review of technology,"MK Rowinski, TJ White, J Zhao","Renewable and Sustainable Energy Reviews 44, 643-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15581080007605729189,84,2015
"Assessment of the trace elements level in urban atmospheric particulate matter and source apportionment in Islamabad, Pakistan","MH Shah, N Shaheen, R Nazir","Atmospheric pollution research 3 (1), 39-45","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=354690642481686060,55115900626616571",82,2012
Development of efficient air-cooling strategies for lithium-ion battery module based on empirical heat source model,"T Wang, KJ Tseng, J Zhao","Applied Thermal Engineering 90, 521-529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18180206941854413673,75,2015
A multi-timescale estimator for battery state of charge and capacity dual estimation based on an online identified model,"Z Wei, J Zhao, D Ji, KJ Tseng","Applied energy 204, 1264-1274",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8746080095877645336,74,2017
