Title,Authors,Platform,Cited_url,Cited_count,Year
3D graphene–cobalt oxide electrode for high-performance supercapacitor and enzymeless glucose detection,"XC Dong, H Xu, XW Wang, YX Huang, MB Chan-Park, H Zhang, ...","ACS nano 6 (4), 3206-3213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13324177835710676474,1268,2012
Single-crystalline NiCo 2 O 4 nanoneedle arrays grown on conductive substrates as binder-free electrodes for high-performance supercapacitors,"GQ Zhang, HB Wu, HE Hoster, MB Chan-Park, XWD Lou","Energy & Environmental Science 5 (11), 9453-9456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13853047671006941647,652,2012
A polycationic antimicrobial and biocompatible hydrogel with microbe membrane suctioning ability,"P Li, YF Poon, W Li, HY Zhu, SH Yeap, Y Cao, X Qi, C Zhou, M Lamrani, ...","Nature materials 10 (2), 149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8431046383560517843,478,2011
Macroporous and monolithic anode based on polyaniline hybridized three-dimensional graphene for high-performance microbial fuel cells,"YC Yong, XC Dong, MB Chan-Park, H Song, P Chen","ACS nano 6 (3), 2394-2400",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6405029041886591576,425,2012
"miR-147, a microRNA that is induced upon Toll-like receptor stimulation, regulates murine macrophage inflammatory responses","G Liu, A Friggeri, Y Yang, YJ Park, Y Tsuruta, E Abraham","Proceedings of the National Academy of Sciences 106 (37), 15819-15824",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7693400196660517656,401,2009
Superhydrophobic and superoleophilic hybrid foam of graphene and carbon nanotube for selective removal of oils or organic solvents from the surface of water,"X Dong, J Chen, Y Ma, J Wang, MB Chan-Park, X Liu, L Wang, W Huang, ...","Chemical communications 48 (86), 10660-10662",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4453870522658236223,381,2012
A novel SnO2 gas sensor doped with carbon nanotubes operating at room temperature,"BY Wei, MC Hsu, PG Su, HM Lin, RJ Wu, HJ Lai","Sensors and Actuators B: Chemical 101 (1-2), 81-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9844483021264058776,362,2004
Activation of AMPK attenuates neutrophil proinflammatory activity and decreases the severity of acute lung injury,"X Zhao, JW Zmijewski, E Lorne, G Liu, YJ Park, Y Tsuruta, E Abraham",American Journal of Physiology-Lung Cellular and Molecular Physiology 295 (3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16026012734067023852,269,2008
Non-halogenated solvents for environmentally friendly processing of high-performance bulk-heterojunction polymer solar cells,"CC Chueh, K Yao, HL Yip, CY Chang, YX Xu, KS Chen, CZ Li, P Liu, ...","Energy & Environmental Science 6 (11), 3241-3248","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12942814699834786163,12717906308327469631",256,2013
Elevated preoperative neutrophil to lymphocyte ratio predicts poor survival following resection in late stage gastric cancer,"MR Jung, YK Park, O Jeong, JW Seon, SY Ryu, DY Kim, YJ Kim","Journal of surgical oncology 104 (5), 504-510","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8366355635147882267,9983809461703788290",251,2011
Hybrid structure of zinc oxide nanorods and three dimensional graphene foam for supercapacitor and electrochemical sensor applications,"X Dong, Y Cao, J Wang, MB Chan-Park, L Wang, W Huang, P Chen","RSC Advances 2 (10), 4364-4369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14939613323680689688,242,2012
Hydrogel based on interpenetrating polymer networks of dextran and gelatin for vascular tissue engineering,"Y Liu, MB Chan-Park","Biomaterials 30 (2), 196-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2425665955442865739,234,2009
Esophageal epithelium regeneration on fibronectin grafted poly (L-lactide-co-caprolactone)(PLLC) nanofiber scaffold,"Y Zhu, MF Leong, WF Ong, MB Chan-Park, KS Chian","Biomaterials 28 (5), 861-868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18134767315918662009,197,2007
Synthesis of a MnO2–graphene foam hybrid with controlled MnO2 particle shape and its use as a supercapacitor electrode,"X Dong, X Wang, J Wang, H Song, X Li, L Wang, MB Chan-Park, CM Li, ...","Carbon 50 (13), 4865-4870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10788704140839192762,196,2012
Histone chaperones in nucleosome eviction and histone exchange,"YJ Park, K Luger","Current opinion in structural biology 18 (3), 282-289",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12972037467222925941,196,2008
Advances in carbon‐nanotube assembly,"Y Yan, MB Chan‐Park, Q Zhang","Small 3 (1), 24-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18214838333851103963,191,2007
Synthesis of graphene–carbon nanotube hybrid foam and its use as a novel three-dimensional electrode for electrochemical sensing,"X Dong, Y Ma, G Zhu, Y Huang, J Wang, MB Chan-Park, L Wang, ...","Journal of Materials Chemistry 22 (33), 17044-17048",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17802869004639917290,176,2012
One-step growth of graphene–carbon nanotube hybrid materials by chemical vapor deposition,"X Dong, B Li, A Wei, X Cao, MB Chan-Park, H Zhang, LJ Li, W Huang, ...","Carbon 49 (9), 2944-2949",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7672624928378744692,176,2011
Shear-induced tyrosine phosphorylation in endothelial cells requires Rac1-dependent production of ROS,"LH Yeh, YJ Park, RJ Hansalia, IS Ahmed, SS Deshpande, ...","American Journal of Physiology-Cell Physiology 276 (4), C838-C847",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5647534175169766582,174,1999
Hollow fiber membrane decorated with Ag/MWNTs: toward effective water disinfection and biofouling control,"P Gunawan, C Guan, X Song, Q Zhang, SSJ Leong, C Tang, Y Chen, ...","Acs Nano 5 (12), 10033-10040",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9847470722381097472,157,2011
Process for roll-to-roll manufacture of a display by synchronized photolithographic exposure on a substrate web,"M Chan-Park, X Chen, ZAG Wu, X Wang, HM Zang, RC Liang","US Patent 6,933,098",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15749042059124455637,148,2005
A photopolymerized antimicrobial hydrogel coating derived from epsilon-poly-L-lysine,"C Zhou, P Li, X Qi, ARM Sharif, YF Poon, Y Cao, MW Chang, SSJ Leong, ...","Biomaterials 32 (11), 2704-2712",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16680253634945412627,144,2011
High mobility group protein-1 inhibits phagocytosis of apoptotic neutrophils through binding to phosphatidylserine,"G Liu, J Wang, YJ Park, Y Tsuruta, EF Lorne, X Zhao, E Abraham","The Journal of Immunology 181 (6), 4240-4246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=860145231588554370,144,2008
High-performance thin-film transistors from solution-processed dithienothiophene polymer semiconductor nanoparticles,"J Li, F Qin, CM Li, Q Bao, MB Chan-Park, W Zhang, J Qin, BS Ong","Chemistry of Materials 20 (6), 2057-2059",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=587345765777956082,143,2008
Deposition of silver nanoparticles on multiwalled carbon nanotubes grafted with hyperbranched poly (amidoamine) and their antimicrobial effects,"W Yuan, G Jiang, J Che, X Qi, R Xu, MW Chang, Y Chen, SY Lim, J Dai, ...","The Journal of Physical Chemistry C 112 (48), 18754-18759",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4174958136860681444,140,2008
Biomimetic control of vascular smooth muscle cell morphology and phenotype for functional tissue‐engineered small‐diameter blood vessels,"MB Chan‐Park, JY Shen, Y Cao, Y Xiong, Y Liu, S Rayatpisheh, ...",Journal of Biomedical Materials Research Part A: An Official Journal of The …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4162532860244457091,131,2009
Preferential binding of the histone (H3-H4) 2 tetramer by NAP1 is mediated by the amino-terminal histone tails,"SJ McBryant, YJ Park, SM Abernathy, PJ Laybourn, JK Nyborg, K Luger","Journal of Biological Chemistry 278 (45), 44574-44583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9173456492434644778,127,2003
25.2 A 1.2 V 8Gb 8-channel 128GB/s high-bandwidth memory (HBM) stacked DRAM with effective microbump I/O test methods using 29nm process and TSV,"DU Lee, KW Kim, KW Kim, H Kim, JY Kim, YJ Park, JH Kim, DS Kim, ...",2014 IEEE International Solid-State Circuits Conference Digest of Technical …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14194512017165171379,126,2014
The aggregation behavior of O-carboxymethylchitosan in dilute aqueous solution,"A Zhu, MB Chan-Park, S Dai, L Li","Colloids and Surfaces B: Biointerfaces 43 (3-4), 143-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15340572061550812472,126,2005
Protein bonding on biodegradable poly (L-lactide-co-caprolactone) membrane for esophageal tissue engineering,"Y Zhu, KS Chian, MB Chan-Park, PS Mhaisalkar, BD Ratner","Biomaterials 27 (1), 68-78",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=411543594180156480,124,2006
Cationic peptidopolysaccharides show excellent broad‐spectrum antimicrobial activities and high selectivity,"P Li, C Zhou, S Rayatpisheh, K Ye, YF Poon, PT Hammond, H Duan, ...","Advanced Materials 24 (30), 4130-4137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5231880425455693858,123,2012
Supercapacitor electrode based on three-dimensional graphene–polyaniline hybrid,"X Dong, J Wang, J Wang, MB Chan-Park, X Li, L Wang, W Huang, P Chen","Materials Chemistry and Physics 134 (2-3), 576-580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4348970232451924942,122,2012
How carboxylic groups improve the performance of single-walled carbon nanotube electrochemical capacitors?,"J Shen, A Liu, Y Tu, G Foo, C Yeo, MB Chan-Park, R Jiang, Y Chen","Energy & Environmental Science 4 (10), 4220-4229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1792844567596479899,122,2011
Varying the ionic functionalities of conjugated polyelectrolytes leads to both p-and n-type carbon nanotube composites for flexible thermoelectrics,"CK Mai, B Russ, SL Fronk, N Hu, MB Chan-Park, JJ Urban, RA Segalman, ...","Energy & Environmental Science 8 (8), 2341-2346","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16896005681845307088,1067923601331159280",121,2015
A biomimetic hydrogel based on methacrylated dextran-graft-lysine and gelatin for 3D smooth muscle cell culture,"Y Liu, MB Chan-Park","Biomaterials 31 (6), 1158-1170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3138315419881853221,121,2010
The formation of a carbon nanotube–graphene oxide core–shell structure and its possible applications,"X Dong, G Xing, MB Chan-Park, W Shi, N Xiao, J Wang, Q Yan, TC Sum, ...","Carbon 49 (15), 5071-5078",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15118153888455680933,119,2011
Structure and dynamic properties of nucleosome core particles,"S Chakravarthy, YJ Park, J Chodaparambil, RS Edayathumangalam, ...","FEBS letters 579 (4), 895-898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11314435428550844324,115,2005
p53 attenuates lipopolysaccharide-induced NF-κB activation and acute lung injury,"G Liu, YJ Park, Y Tsuruta, E Lorne, E Abraham","The Journal of Immunology 182 (8), 5063-5071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1179004383795838802,113,2009
Participation of mammalian target of rapamycin complex 1 in Toll-like receptor 2–and 4–induced neutrophil activation and acute lung injury,"E Lorne, X Zhao, JW Zmijewski, G Liu, YJ Park, Y Tsuruta, E Abraham","American journal of respiratory cell and molecular biology 41 (2), 237-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10951810764575517553,107,2009
Individually dispersing single-walled carbon nanotubes with novel neutral pH water-soluble chitosan derivatives,"LY Yan, YF Poon, MB Chan-Park, Y Chen, Q Zhang","The Journal of Physical Chemistry C 112 (20), 7579-7587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17726584559801750767,106,2008
"Selective synthesis of (9, 8) single walled carbon nanotubes on cobalt incorporated TUD-1 catalysts","H Wang, B Wang, XY Quek, L Wei, J Zhao, LJ Li, MB Chan-Park, Y Yang, ...","Journal of the American Chemical Society 132 (47), 16747-16749",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13217908920312720947,103,2010
High potency and broad-spectrum antimicrobial peptides synthesized via ring-opening polymerization of α-aminoacid-N-carboxyanhydrides,"C Zhou, X Qi, P Li, WN Chen, L Mouad, MW Chang, SSJ Leong, ...","Biomacromolecules 11 (1), 60-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3747808102699011479,102,2009
Effect of argon‐plasma treatment on proliferation of human‐skin–derived fibroblast on chitosan membrane ,"X Zhu, KS Chian, MBE Chan‐Park, ST Lee",Journal of Biomedical Materials Research Part A: An Official Journal of The …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3348873526162126967,102,2005
Control of three-phase inverter for AC motor drive with small DC-link capacitor fed by single-phase AC source,"HS Jung, SJ Chee, SK Sul, YJ Park, HS Park, WK Kim","IEEE Transactions on Industry Applications 50 (2), 1074-1081",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6251942887951935077,99,2013
Three-dimensional microchannels in biodegradable polymeric films for control orientation and phenotype of vascular smooth muscle cells,"JY Shen, MB Chan-Park, B He, AP Zhu, X Zhu, RW Beuerman, EB Yang, ...","Tissue engineering 12 (8), 2229-2240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11493414729658946350,94,2006
Effect of exposure dose on the replication fidelity and profile of very high aspect ratio microchannels in SU-8,"J Zhang, MB Chan-Park, SR Conner","Lab on a Chip 4 (6), 646-653",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16469397515593994920,94,2004
A novel polyimide dispersing matrix for highly electrically conductive solution-cast carbon nanotube-based composite,"W Yuan, J Che, MB Chan-Park","Chemistry of Materials 23 (18), 4149-4157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16216595023025194060,93,2011
