Title,Authors,Platform,Cited_url,Cited_count,Year
Representational learning with extreme learning machine for big data,"LLC Kasun, H Zhou, GB Huang, CM Vong","IEEE intelligent systems 28 (6), 31-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8328323293260761742,386,2013
Extreme learning machines [trends & controversies],"E Cambria, GB Huang, LLC Kasun, H Zhou, CM Vong, J Lin, J Yin, Z Cai, ...","IEEE intelligent systems 28 (6), 30-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=280867924596579880,307,2013
Local receptive fields based extreme learning machine,"GB Huang, Z Bai, LLC Kasun, CM Vong","IEEE Computational Intelligence Magazine 10 (2), 18-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14719859117907366219,253,2015
Dimension reduction with extreme learning machine,"LLC Kasun, Y Yang, GB Huang, Z Zhang","IEEE Transactions on Image Processing 25 (8), 3906-3918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14065118787733588868,102,2016
Extreme learning machine for clustering,"CKL Lekamalage, T Liu, Y Yang, Z Lin, GB Huang","Proceedings of ELM-2014 Volume 1, 435-444",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17126754601210924269,25,2015
The i-Cube: design considerations for block-based digital manipulatives and their applications,"WB Goh, LL Kasun, J Tan, W Shou","Proceedings of the Designing Interactive Systems Conference, 398-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8510707553294647951,23,2012
Generic object recognition with local receptive fields based extreme learning machine,"Z Bai, LLC Kasun, GB Huang","Procedia Computer Science 53, 391-399",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2588095691697799832,17,2015
Extreme learning machine for joint embedding and clustering,"T Liu, CKL Lekamalage, GB Huang, Z Lin","Neurocomputing 277, 78-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17913912603882404960,11,2018
An adaptive graph learning method based on dual data representations for clustering,"T Liu, CKL Lekamalage, GB Huang, Z Lin","Pattern Recognition 77, 126-139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14731214634979231089,5,2018
Hierarchical extreme learning machines,"GB Huang, J Wu, DC Wunsch",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2706206588111692150,5,2018
Learning Representations with Local and Global Geometries Preserved for Machine Fault Diagnosis,"Y Li, CKL Lekamalage, T Liu, P Chen, GB Huang",IEEE Transactions on Industrial Electronics,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1927449350698628203,3,2019
Compact Feature Representation for Image Classification Using ELMs,"D Cui, G Zhang, W Han, L Lekamalage Chamara Kasun, K Hu, GB Huang","Proceedings of the IEEE International Conference on Computer Vision, 1015-1022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6620630000588862338,3,2017
Multi layer multi objective extreme learning machine,"CKL Lekamalage, K Song, GB Huang, D Cui, K Liang","2017 IEEE International Conference on Image Processing (ICIP), 1297-1301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3951943259392646724,1,2017
Multi Layer Multi Objective Extreme Learning Machine,"C Liyanaarachchi Lekam, CKL Lekamalage, K Song, GB Huang, ...",,,0,2017
Accelerometer-based swinging gesture detection for an electronic handbell,"LLC Kasun, WB Goh","2011 IEEE 15th International Symposium on Consumer Electronics (ISCE), 272-277",,0,2011
