Title,Authors,Platform,Cited_url,Cited_count,Year
Lapsing during sleep deprivation is associated with distributed changes in brain activation,"MWL Chee, JC Tan, H Zheng, S Parimal, DH Weissman, V Zagorodnov, ...","Journal of Neuroscience 28 (21), 5519-5528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2219220520796535218,241,2008
Adaptive filtering for color filter array demosaicking,"NX Lian, L Chang, YP Tan, V Zagorodnov","IEEE Transactions on Image Processing 16 (10), 2515-2525",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4601243522893573344,187,2007
Skull stripping using graph cuts,"SA Sadananthan, W Zheng, MWL Chee, V Zagorodnov","NeuroImage 49 (1), 225-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6611545532643035718,141,2010
"Adverse associations between visceral adiposity, brain structure, and cognitive performance in healthy elderly","V Isaac, S Sim, H Zheng, V Zagorodnov, E Tai, M Chee","Frontiers in aging neuroscience 3, 12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3126419550695435671,70,2011
Improvement of brain segmentation accuracy by optimizing non-uniformity correction using N3,"W Zheng, MWL Chee, V Zagorodnov","Neuroimage 48 (1), 73-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10996106131679211933,68,2009
Sleep deprivation and its effects on object-selective attention,"MWL Chee, JC Tan, S Parimal, V Zagorodnov","Neuroimage 49 (2), 1903-1910",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9491012521624154555,59,2010
Edge-preserving image denoising via optimal color space projection,"NX Lian, V Zagorodnov, YP Tan","IEEE Transactions on Image Processing 15 (9), 2575-2587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17266870626624473592,49,2006
Reversing demosaicking and compression in color filter array image processing: Performance analysis and modeling,"NX Lian, L Chang, V Zagorodnov, YP Tan","IEEE Transactions on Image Processing 15 (11), 3261-3278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=613561294274200512,42,2006
Interactive surface-guided segmentation of brain MRI data,"K Levinski, A Sourin, V Zagorodnov","Computers in Biology and Medicine 39 (12), 1153-1160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7929522460145271047,28,2009
Color image denoising using wavelets and minimum cut analysis,"NX Lian, V Zagorodnov, YP Tan","IEEE Signal Processing Letters 12 (11), 741-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17719534008217797054,26,2005
Video denoising using vector estimation of wavelet coefficients,"NX Lian, V Zagorodnov, YP Tan","2006 IEEE International Symposium on Circuits and Systems, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15541312691815822768,18,2006
New measure of insulin sensitivity predicts cardiovascular disease better than HOMA estimated insulin resistance,"K Venkataraman, CM Khoo, MKS Leow, EYH Khoo, AV Isaac, ...","PloS one 8 (9), e74410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17728239342000765893,16,2013
Predicting vulnerability to sleep deprivation using diffusion model parameters,"A Patanaik, V Zagorodnov, CK Kwoh, MWL Chee","Journal of sleep research 23 (5), 576-584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5357530750475245202,13,2014
Evaluation of performance metrics for bias field correction in MR brain images,"ZY Chua, W Zheng, MWL Chee, V Zagorodnov",Journal of Magnetic Resonance Imaging: An Official Journal of the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4275865471646934540,13,2009
3D Visualization and Segmentation of Brain MRI Data.,"K Levinski, A Sourin, V Zagorodnov","GRAPP, 111-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11763967205056643500,10,2009
Retinal vessel detection using self-matched filtering,"NX Lian, V Zagorodnov, YP Tan","2007 IEEE International Conference on Image Processing 6, VI-33-VI-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9259213034379402707,10,2007
Component analysis approach to estimation of tissue intensity distributions of 3D images,"V Zagorodnov, A Ciptadi","IEEE transactions on medical imaging 30 (3), 838-848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1158808787480297671,7,2010
Graph cut based segmentation of convoluted objects,"A Chia, V Zagorodnov","IEEE International Conference on Image Processing 2005 3, III-848",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7084395339353077121,6,2005
Estimating correspondence in digital video,"R Radke, V Zagorodnov, S Kulkarni, PJ Ramadge",Proceedings International Conference on Information Technology: Coding and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15836112515695505062,6,2001
Error stabilization in successive estimation of registration parameters,"V Zagorodnov, P Ramadge",Proceedings 2000 International Conference on Image Processing (Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15882217455307642791,5,2000
Retrospective cluster size thresholding for mrf-based detection of activated regions in fmri,"SS Anand, V Zagorodnov",2006 International Conference on Biomedical and Pharmaceutical Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9081818310190086501,4,2006
Image denoising using optimal color space projection,"NX Lian, V Zagorodnov, YP Tan",2006 IEEE International Conference on Acoustics Speech and Signal Processing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5679279574846417557,4,2006
Parameter estimation and simulation for one-choice Ratcliff diffusion model,"A Patanaik, V Zagorodnov, CK Kwoh","Proceedings of the 29th Annual ACM Symposium on Applied Computing, 3-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6314484873802403668,3,2014
Segmentation of MRI brain data using a haptic device,"A Sourin, S Yasmin, V Zagorodnov",Proceedings of the 10th IEEE International Conference on Information …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9783560285340188645,3,2010
Component analysis approach to estimation of tissue intensity distributions of 3D images,"A Ciptadi, C Chen, V Zagorodnov","2009 IEEE 12th International Conference on Computer Vision, 1765-1770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6400276317012839905,3,2009
Data rate smoothing in interactive walkthrough applications using 2D prefetching,"V Zagorodnov, PJ Ramadge","Proceedings. International Conference on Image Processing 3, III-III",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12995480651411002028,3,2002
Error inhomogeneity in wavelet-based compression,"NX Lian, V Zagorodnov, YP Tan","IEEE transactions on signal processing 55 (7), 3659-3669",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10888701606889341344,2,2007
Performance evaluation of parametric bias field correction,"V Zagorodnov, MF Hansen","IEEE International Conference on Image Processing 2005 3, III-732",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=190996605652527934,2,2005
Improved Skull Stripping using Graph Cuts,"SA Sadananthan, W Zheng, MW Chee, V Zagorodnov","Proc. Intl. Soc. Mag. Reson. Med 17, 2890",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7053687451967909912,1,2009
Segmenting small regions in the presence of noise,"R Samur, V Zagorodnov","IEEE International Conference on Image Processing 2005 2, II-1254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9614513639129322867,1,2005
Modelling of Image Processing Pipelines in Single-Sensor Digital Cameras,"NX Lian, V Zagorodnov, YP Tan","Single-Sensor Imaging: Methods and Applications for Digital Cameras, 381",,0,2018
Ethnic differences in the association of fat and lean mass with bone mineral density in the Singapore population,"AE Teo, AC Ng, K Venkataraman, ES Tai, YS Lee, EY Khoo, CM Khoo, ...","BMC proceedings 6 (4), P43",,0,2012
Universal Score of Structural Abnormality in Alzheimer's Disease,"V Zagorodnov, O Murphy","Proc. Intl. Soc. Mag. Reson. Med 19, 2557",,0,2011
Fully Automated Quantification of Subcutaneous and Visceral Abdominal Adipose Tissue using Water and Fat Acquisition and Graph Cuts,"V Zagorodnov, S Parimal, MW Chee","Proc. Intl. Soc. Mag. Reson. Med 19, 2717",,0,2011
Optimizing N3 parameters leads to better segmentation accuracy on 3T scanners,"W Zheng, MW Chee, V Zagorodnov","Proc. Intl. Soc. Mag. Reson. Med 17, 2878",,0,2009
Reversing Demosaicking and Compression in Color Filter Array Images,"NX Lian, L Chang, V Zagorodnov, YP Tan","2006 International Conference on Image Processing, 2693-2696",,0,2006
Error Inhomogeneity of Wavelet Image Compression,"NX Lian, V Zagorodnov, YP Tan","2006 International Conference on Image Processing, 1597-1600",,0,2006
Color demosaicking via directional linear minimum mean square-error estimation.,"SS Vinsley, KH Chung, YH Chan, K Hirakawa, TW Parks, N Krishnan, ...","Information Technology Journal 7 (8), 2944-2955",,0,2006
"Problems in image registration, streaming and segmentation.",V Zagorodnov,,,0,2003
3D INTERACTIVE SEGMENTATION OF BRAIN MRI,"K Levinski, A Sourin, V Zagorodnov",Proceedings of the Korean Society of Broadcast Engineers Conference,,0,0
Still Image Coding On the Use of Context-Weighting in Lossless Bilevel Image Compression.................................. S. Xiao and CG Boncelet 3253 Noise Modeling Reversing …,"NX Lian, L Chang, V Zagorodnov, YP Tan",,,0,0
Automated White Matter Hyperintensity Detection Using A False Discovery Rate Method,"H Zheng, V Zagorodnov, MW Chee",,,0,0
Improving fMRI detection via spatial regularization,V Zagorodnov,,,0,0
Establishment of a Novel Automated Approach for Quantification of Subcutaneous and Visceral Adipose Tissues: Correlates with Other Anthropometric Measurements and …,"SA Parimal, KH Chen, SA Sadananthan, S Sim, V Zagorodnov, MW Chee",,,0,0
Evaluating Reliability of Performance Metrics for Bias Field Correction in MR Brain Images,"V Zagorodnov, Z Chua, W Zheng",,,0,0
