Title,Authors,Platform,Cited_url,Cited_count,Year
A class of sparseness-controlled algorithms for echo cancellation,"P Loganathan, AWH Khong, PA Naylor","IEEE transactions on audio, speech, and language processing 17 (8), 1591-1601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3660180060470822940,85,2009
Efficient use of sparse adaptive filters,"AWH Khong, PA Naylor","2006 Fortieth Asilomar Conference on Signals, Systems and Computers, 1375-1379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6539694162608812306,84,2006
Selective-tap adaptive filtering with performance analysis for identification of time-varying systems,"AWH Khong, PA Naylor","IEEE transactions on audio, speech, and language processing 15 (5), 1681-1695",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9702488922042903442,53,2007
Stereophonic acoustic echo cancellation employing selective-tap adaptive algorithms,"AWH Khong, PA Naylor","IEEE Transactions on Audio, Speech, and Language Processing 14 (3), 785-796",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10118005382988157800,47,2006
A low delay and fast converging improved proportionate algorithm for sparse system identification,"AWH Khong, PA Naylor, J Benesty","EURASIP Journal on Audio, Speech, and Music Processing 2007 (1), 084376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16661839349902365643,35,2007
Affine projection and recursive least squares adaptive filters employing partial updates,"PA Naylor, AWH Khong",Conference Record of the Thirty-Eighth Asilomar Conference on Signals …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3307415906516609789,34,2004
Algorithms for identifying clusters of near-common zeros in multichannel blind system identification and equalization,"AWH Khong, X Lin, PA Naylor","2008 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16365415502688558852,31,2008
Selective-tap adaptive algorithms in the solution of the nonuniqueness problem for stereophonic acoustic echo cancellation,"AWH Khong, PA Naylor","IEEE Signal Processing Letters 12 (4), 269-272","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9528443626780648337,623456117583992010",28,2005
Adaptive inverse filtering of room acoustics,"W Zhang, AWH Khong, PA Naylor","2008 42nd Asilomar Conference on Signals, Systems and Computers, 788-792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8409020390000572244,27,2008
Proportionate frequency domain adaptive algorithms for blind channel identification,"R Ahmad, AWH Khong, PA Naylor",2006 IEEE International Conference on Acoustics Speech and Signal Processing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6876721431994181478,26,2006
Stereophonic acoustic echo cancellation: Analysis of the misalignment in the frequency domain,"AWH Khong, J Benesty, PA Naylor","IEEE Signal Processing Letters 13 (1), 33-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=448739876956379192,26,2005
Insights into MUSIC-like algorithm,"VV Reddy, BP Ng, AWH Khong","IEEE Transactions on Signal Processing 61 (10), 2551-2556",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16363772964529752165,22,2013
A forced spectral diversity algorithm for speech dereverberation in the presence of near-common zeros,"X Lin, AWH Khong, PA Naylor","IEEE Transactions on Audio, Speech, and Language Processing 20 (3), 888-899",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3351904924705228348,22,2011
A touch interface exploiting time-frequency classification using Zak transform for source localization on solids,"KR Arun, XX Yap, AWH Khong","IEEE Transactions on Multimedia 13 (3), 487-497",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12272755524180308270,22,2011
Convergence analysis of narrowband feedback active noise control system with imperfect secondary path estimation,"LV Wang, WS Gan, AWH Khong, SM Kuo","IEEE transactions on audio, speech, and language processing 21 (11), 2403-2411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3684940622478119794,20,2013
Localization of taps on solid surfaces for human-computer touch interfaces,"VG Reju, AWH Khong, AB Sulaiman","IEEE Transactions on Multimedia 15 (6), 1365-1376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9418762538550363954,20,2013
A touch interface exploiting the use of vibration theories and infinite impulse response filter modeling based localization algorithm,"K Poletkin, XX Yap, AWH Khong","2010 IEEE International Conference on Multimedia and Expo, 286-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=402910898550103563,20,2010
Localization of acoustic source on solids: A linear predictive coding based algorithm for location template matching,"XX Yap, AWH Khong, WS Gan","2010 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5474604623714522684,20,2010
A sparseness controlled proportionate algorithm for acoustic echo cancellation,"P Loganathan, AWH Khong, PA Naylor","2008 16th European Signal Processing Conference, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14168641611382165501,20,2008
An extended normalized multichannel FLMS algorithm for blind channel identification,"R Ahmad, AWH Khong, MK Hasan, PA Naylor","2006 14th European Signal Processing Conference, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3678949042308816257,20,2006
Source localization in the presence of dispersion for next generation touch interface,"A Sulaiman, K Poletkin, AWH Khong","2010 International Conference on Cyberworlds, 82-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1845352060777891134,19,2010
Footstep detection and denoising using a single triaxial geophone,"VV Reddy, V Divya, AWH Khong, BP Ng","2010 IEEE Asia Pacific Conference on Circuits and Systems, 1171-1174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=522608717752522713,18,2010
Speaker localization and tracking in the presence of sound interference by exploiting speech harmonicity,"K Wu, ST Goh, AWH Khong","2013 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2318902249203828780,17,2013
Unambiguous speech DOA estimation under spatial aliasing conditions,"VV Reddy, AWH Khong, BP Ng","IEEE/ACM Transactions on Audio, Speech and Language Processing (TASLP) 22 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13906568642162379085,16,2014
