Title,Authors,Platform,Cited_url,Cited_count,Year
High detectivity graphene‐silicon heterojunction photodetector,"X Li, M Zhu, M Du, Z Lv, L Zhang, Y Li, Y Yang, T Yang, X Li, K Wang, ...","Small 12 (5), 595-601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3369701744283700845,201,2016
Carbon/silicon heterojunction solar cells: state of the art and prospects,"X Li, Z Lv, H Zhu","Advanced Materials 27 (42), 6549-6574",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17118593956765735724,113,2015
A functional lncRNA ,"W Pan, L Liu, J Wei, Y Ge, J Zhang, H Chen, L Zhou, Q Yuan, C Zhou, ...","Molecular carcinogenesis 55 (1), 90-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14194565145041511246,103,2016
Centimeter‐Sized Cs,"X Chen, F Zhang, Y Ge, L Shi, S Huang, J Tang, Z Lv, L Zhang, B Zou, ...","Advanced Functional Materials 28 (16), 1706567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1336136682209230611,94,2018
Vitamin D status and the risk of multiple sclerosis: a systematic review and meta-analysis,"S Duan, Z Lv, X Fan, L Wang, F Han, H Wang, S Bi","Neuroscience letters 570, 108-113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18041035676446526832,85,2014
Research and Application of the 3D Virtual Community Based on WEBVR and RIA.,"M Zhang, Z Lv, X Zhang, G Chen, K Zhang","Computer and Information Science 2 (1), 84-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2179377202030664611,81,2009
Onco-lncRNA ,"H Zhu, Z Lv, C An, M Shi, W Pan, L Zhou, W Yang, M Yang","Scientific reports 6, 31969",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13474850271072540321,44,2016
Vitamin D status and Parkinson’s disease: a systematic review and meta-analysis,"Z Lv, H Qi, L Wang, X Fan, F Han, H Wang, S Bi","Neurological Sciences 35 (11), 1723-1730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12577749480494065353,40,2014
Field-effect transistor-based solution-processed colloidal quantum dot photodetector with broad bandwidth into near-infrared region,"S Yang, N Zhao, L Zhang, H Zhong, R Liu, B Zou","Nanotechnology 23 (25), 255203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17261391319271247057,39,2012
TBHP/TFA mediated oxidative cross-dehydrogenative coupling of N-heterocycles with aldehydes,"J Chen, M Wan, J Hua, Y Sun, Z Lv, W Li, L Liu","Organic & biomolecular chemistry 13 (47), 11561-11566",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17772295394665093690,34,2015
Uncertainty modeling for vibration and buckling behaviors of functionally graded nanobeams in thermal environment,"Z Lv, H Liu","Composite Structures 184, 1165-1176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15393848592456587099,32,2018
Optimal leaf positions for SPAD meter measurement in rice,"Z Yuan, Q Cao, K Zhang, ST Ata-Ul-Karim, Y Tian, Y Zhu, W Cao, X Liu","Frontiers in plant science 7, 719",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2160537050801240419,32,2016
Genetically engineered Newcastle disease virus expressing interleukin 2 is a potential drug candidate for cancer immunotherapy,"F Bai, Z Niu, H Tian, S Li, Z Lv, T Zhang, G Ren, D Li","Immunology letters 159 (1-2), 36-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16074961500522572962,31,2014
Solution-processed PbSe colloidal quantum dot-based near-infrared photodetector,"H Wang, Z Li, C Fu, D Yang, L Zhang, S Yang, B Zou","IEEE Photonics Technology Letters 27 (6), 612-615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16947119477739426849,29,2015
Nanocrystallization behaviour and optimized magnetoimpedance effect in FeZrBNbCu alloys,"K Zhang, B Han, L Xiao, Z Hua, D Zhou, T Zhang, X Du, B Yao, X Xun, ...","Journal of Physics D: Applied Physics 40 (21), 6507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15848952961952643470,28,2007
A novel FLI1 exonic circular RNA promotes metastasis in breast cancer by coordinately regulating TET1 and DNMT1,"N Chen, G Zhao, X Yan, Z Lv, H Yin, S Zhang, W Song, X Li, L Li, Z Du, ...","Genome biology 19 (1), 218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3815571084308682890,27,2018
Nonlinear bending response of functionally graded nanobeams with material uncertainties,"Z Lv, H Liu","International Journal of Mechanical Sciences 134, 123-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8343384335347863843,24,2017
Giant magnetoimpedance current sensor with array-structure double probes,"B Han, T Zhang, K Zhang, B Yao, X Yue, D Huang, H Ren, X Tang","IEEE Transactions on Magnetics 44 (5), 605-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15814287537057053009,22,2008
Pentacene-based photodetector in visible region with vertical field-effect transistor configuration,"D Yang, L Zhang, H Wang, Y Wang, Z Li, T Song, C Fu, S Yang, B Zou","IEEE Photonics Technology Letters 27 (3), 233-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7667204552120230282,20,2014
Association of functional FEN1 genetic variants and haplotypes and breast cancer risk,"Z Lv, W Liu, D Li, L Liu, J Wei, J Zhang, Y Ge, Z Wang, H Chen, C Zhou, ...","Gene 538 (1), 42-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17777175309094158994,20,2014
"Synthesis, conductivity and high-pressure phase transition of amorphous boron carbon nitride","SZ Bai, B Yao, GZ Xing, K Zhang, WH Su","Physica B: Condensed Matter 396 (1-2), 214-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4006867910357428228,19,2007
Towards optimization of functionalized single-walled carbon nanotubes adhering with poly (3-hexylthiophene) for highly efficient polymer solar cells,"J Yan, T Ni, F Zou, L Zhang, D Yang, S Yang, B Zou","Diamond and Related Materials 41, 79-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16050194514544128582,18,2014
Influence of the dielectric PMMA layer on the detectivity of pentacene-based photodetector with field-effect transistor configuration in visible region,"D Yang, L Zhang, SY Yang, BS Zou","IEEE Photonics Journal 5 (6), 6801709-6801709",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4370690422498817650,18,2013
The vertex solution theorem and its coupled framework for static analysis of structures with interval parameters,"Z Qiu, Z Lv","International Journal for Numerical Methods in Engineering 112 (7), 711-736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17555053379418464912,17,2017
Flexural wave propagation in fluid-conveying carbon nanotubes with system uncertainties,"H Liu, Z Lv, Q Li","Microfluidics and Nanofluidics 21 (8), 140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3894618729514722059,17,2017
Nonlinear free vibration of geometrically imperfect functionally graded sandwich nanobeams based on nonlocal strain gradient theory,"H Liu, Z Lv, H Wu","Composite Structures 214, 47-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9043694043711443100,16,2019
Use of a quantile regression based echo state network ensemble for construction of prediction Intervals of gas flow in a blast furnace,"Z Lv, J Zhao, Y Liu, W Wang","Control Engineering Practice 46, 94-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14858807376615146194,15,2016
Solution-processed P3HT-based photodetector with field-effect transistor configuration,"L Zhang, D Yang, S Yang, B Zou","Applied Physics A 116 (3), 1511-1516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13193888563985645467,15,2014
Nonlinear free vibration analysis of defective FG nanobeams embedded in elastic medium,"Z Lv, Z Qiu, J Zhu, B Zhu, W Yang","Composite Structures 202, 675-685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7484310122950423348,13,2018
Canopy chlorophyll density based index for estimating nitrogen status and predicting grain yield in rice,"X Liu, K Zhang, Z Zhang, Q Cao, Z Lv, Z Yuan, Y Tian, W Cao, Y Zhu","Frontiers in plant science 8, 1829",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15402506855853298567,13,2017
Vibration and instability analysis of flow-conveying carbon nanotubes in the presence of material uncertainties,"H Liu, Z Lv","Physica A: Statistical Mechanics and its Applications 511, 85-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13724512541771288839,12,2018
Stability enhancement of PbSe quantum dots via post-synthetic ammonium chloride treatment for a high-performance infrared photodetector,"C Fu, H Wang, T Song, L Zhang, W Li, B He, S Yang, B Zou","Nanotechnology 27 (6), 065201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13278168801427050312,12,2015
Uncertain material properties on wave dispersion behaviors of smart magneto-electro-elastic nanobeams,"H Liu, Z Lv","Composite Structures 202, 615-624",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7664775082132393592,11,2018
A 2-D nonlinear chirp scaling algorithm for high squint GEO SAR imaging based on optimal azimuth polynomial compensation,"T Zhang, Z Ding, W Tian, T Zeng, W Yin",IEEE Journal of Selected Topics in Applied Earth Observations and Remote …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2758032905238444102,11,2017
A direct probabilistic approach to solve state equations for nonlinear systems under random excitation,"Z Lv, Z Qiu","Acta Mechanica Sinica 32 (5), 941-958",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14747771091400363664,11,2016
