Title,Authors,Platform,Cited_url,Cited_count,Year
Synthesis of silica‐coated semiconductor and magnetic quantum dots and their use in the imaging of live cells,"ST Selvan, PK Patra, CY Ang, JY Ying","Angewandte Chemie International Edition 46 (14), 2448-2452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2123054520363211959,566,2007
Polymer-coated hollow mesoporous silica nanoparticles for triple-responsive drug delivery,"Y Zhang, CY Ang, M Li, SY Tan, Q Qu, Z Luo, Y Zhao","ACS applied materials & interfaces 7 (32), 18179-18187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6474967060686244374,129,2015
General Approach for MOF-Derived Porous Spinel AFe,"H Yu, H Fan, B Yadian, H Tan, W Liu, HH Hng, Y Huang, Q Yan","ACS applied materials & interfaces 7 (48), 26751-26757","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=911547938921103406,4647680051928920761",77,2015
Clicked isoreticular metal–organic frameworks and their high performance in the selective capture and separation of large organic molecules,"PZ Li, XJ Wang, SY Tan, CY Ang, H Chen, J Liu, R Zou, Y Zhao","Angewandte Chemie International Edition 54 (43), 12748-12752",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8439901576556133858,69,2015
Recent advances in biocompatible nanocarriers for delivery of chemotherapeutic cargoes towards cancer therapy,"CY Ang, SY Tan, Y Zhao","Organic & biomolecular chemistry 12 (27), 4776-4806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4766962476489854941,67,2014
Functional Silica Nanoparticles for Redox‐Triggered Drug/ssDNA Co‐delivery,"X Ma, KT Nguyen, P Borah, CY Ang, Y Zhao","Advanced healthcare materials 1 (6), 690-697",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4984909951061144921,67,2012
Luminescent Color Conversion on Cyanostilbene‐Functionalized Quantum Dots via In‐situ Photo‐Tuning,"L Zhu, CY Ang, X Li, KT Nguyen, SY Tan, H Ågren, Y Zhao","Advanced Materials 24 (29), 4020-4024",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9392279924230901239,64,2012
Near‐infrared light‐absorptive stealth liposomes for localized photothermal ablation of tumors combined with chemotherapy,"M Li, C Teh, CY Ang, SY Tan, Z Luo, Q Qu, Y Zhang, V Korzh, Y Zhao","Advanced Functional Materials 25 (35), 5602-5610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6741232597539071144,54,2015
Facile Synthesis of Fe2O3 Nanocrystals without Fe (CO) 5 Precursor and One‐Pot Synthesis of Highly Fluorescent Fe2O3–CdSe Nanocomposites,"CY Ang, L Giam, ZM Chan, AWH Lin, H Gu, E Devlin, GC Papaefthymiou, ...","Advanced Materials 21 (8), 869-873",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10885884598807168979,53,2009
Acid-responsive polymeric doxorubicin prodrug nanoparticles encapsulating a near-infrared dye for combined photothermal-chemotherapy,"Y Zhang, C Teh, M Li, CY Ang, SY Tan, Q Qu, V Korzh, Y Zhao","Chemistry of Materials 28 (19), 7039-7050",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=398696950674085311,51,2016
Supramolecular nanoparticle carriers self-assembled from cyclodextrin-and adamantane-functionalized polyacrylates for tumor-targeted drug delivery,"CY Ang, SY Tan, X Wang, Q Zhang, M Khan, L Bai, ST Selvan, X Ma, ...","Journal of Materials Chemistry B 2 (13), 1879-1890",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8266486148989133325,50,2014
Polymeric prodrug grafted hollow mesoporous silica nanoparticles encapsulating near-infrared absorbing dye for potent combined photothermal-chemotherapy,"Y Zhang, CY Ang, M Li, SY Tan, Q Qu, Y Zhao","ACS applied materials & interfaces 8 (11), 6869-6879",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5258808906496381304,45,2016
Photoswitchable supramolecular catalysis by interparticle host–guest competitive binding,"L Zhu, H Yan, CY Ang, KT Nguyen, M Li, Y Zhao","Chemistry–A European Journal 18 (44), 13979-13983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7171709517853630162,42,2012
Diaminododecane-based cationic bolaamphiphile as a non-viral gene delivery carrier,"M Khan, CY Ang, N Wiradharma, LK Yong, S Liu, L Liu, S Gao, YY Yang","Biomaterials 33 (18), 4673-4680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9837469847901607844,41,2012
Redox and pH dual responsive polymer based nanoparticles for in vivo drug delivery,"CY Ang, SY Tan, C Teh, JM Lee, MFE Wong, Q Qu, LQ Poh, M Li, ...","Small 13 (7), 1602379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10835766151774471955,37,2017
Polymeric nanocarriers incorporating near-infrared absorbing agents for potent photothermal therapy of cancer,"Y Zhang, CY Ang, Y Zhao","Polymer Journal 48 (5), 589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12851364866446037300,33,2016
Synthesis and Characterization of 2-(2′-hydroxy-5′-chlorophenyl)-6-chloro-4(3 H)-Quinazolinone Based Fluorogenic Probes for Cellular Imaging of Monoamine Oxidases,"J Aw, Q Shao, Y Yang, T Jiang, C Ang, B Xing","Chem. Asian J. 5, 1317",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17912651792828080505,32,2010
Drug encapsulation and release by mesoporous silica nanoparticles: the effect of surface functional groups,"SY Tan, CY Ang, P Li, QM Yap, Y Zhao","Chemistry–A European Journal 20 (36), 11276-11282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982525218808753402,26,2014
A dual responsive “turn-on” fluorophore for orthogonal selective sensing of biological thiols and hydrogen peroxide,"CY Ang, SY Tan, S Wu, Q Qu, MFE Wong, Z Luo, PZ Li, ST Selvan, ...","Journal of Materials Chemistry C 4 (14), 2761-2774",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16554441947151399556,25,2016
 Integration of Anisotropic SnO,"X Yao, G Guo, X Ma, Y Zhao, CY Ang, Z Luo, KT Nguyen, PZ Li, Q Yan, ...","ACS applied materials & interfaces 7 (47), 26085-26093",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15673590392461199372,24,2015
“Turn-on” fluorescence probe integrated polymer nanoparticles for sensing biological thiol molecules,"CY Ang, SY Tan, Y Lu, L Bai, M Li, P Li, Q Zhang, ST Selvan, Y Zhao","Scientific reports 4, 7057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18209869237987613594,23,2014
Responsive mesoporous silica nanoparticles for sensing of hydrogen peroxide and simultaneous treatment toward heart failure,"SY Tan, C Teh, CY Ang, M Li, P Li, V Korzh, Y Zhao","Nanoscale 9 (6), 2253-2261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14777063471813581695,21,2017
Silica–Polymer Hybrid with Self‐Assembled PEG Corona Excreted Rapidly via a Hepatobiliary Route,"L Zhao, W Yuan, CY Ang, Q Qu, Y Dai, Y Gao, Z Luo, J Wang, H Chen, ...","Advanced Functional Materials 26 (18), 3036-3047",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15623084979714393389,20,2016
Responsive prodrug self-assembled vesicles for targeted chemotherapy in combination with intracellular imaging,"H Chen, HP Tham, CY Ang, Q Qu, L Zhao, P Xing, L Bai, SY Tan, Y Zhao","ACS applied materials & interfaces 8 (37), 24319-24324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9680727882245659006,18,2016
Doxorubicin‐Loaded Metal–Organic Gels for pH and Glutathione Dual‐Responsive Release,"SY Tan, CY Ang, A Mahmood, Q Qu, P Li, R Zou, Y Zhao","ChemNanoMat 2 (6), 504-508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13561614613654981875,17,2016
Oxidation-triggered aggregation of gold nanoparticles for naked-eye detection of hydrogen peroxide,"S Wu, SY Tan, CY Ang, Z Luo, Y Zhao","Chemical Communications 52 (17), 3508-3511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14951725210916000754,16,2016
Iron (III)‐Quantity‐Dependent Aggregation–Dispersion Conversion of Functionalized Gold Nanoparticles,"L Bai, L Zhu, CY Ang, X Li, S Wu, Y Zeng, H Ågren, Y Zhao","Chemistry–A European Journal 20 (14), 4032-4037",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4120409380548785781,11,2014
"Seed-mediated synthesis, properties and application of γ-Fe2O3–CdSe magnetic quantum dots","AWH Lin, CY Ang, PK Patra, Y Han, H Gu, JM Le Breton, J Juraszek, ...","Journal of Solid State Chemistry 184 (8), 2150-2158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9944432326342309158,11,2011
A quinoxaline based N-heteroacene interfacial layer for efficient hole-injection in quantum dot light-emitting diodes,"L Bai, X Yang, CY Ang, KT Nguyen, T Ding, P Bose, Q Gao, AK Mandal, ...","Nanoscale 7 (27), 11531-11535",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15595716826197090174,9,2015
An iGlu receptor antagonist and its simultaneous use with an anticancer drug for cancer therapy,"SY Tan, CY Ang, Z Luo, P Li, KT Nguyen, Y Zhao","Chemistry–A European Journal 21 (16), 6123-6131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2824947840125607897,7,2015
Perylenetetracarboxylic–metal assemblies and anisotropic charge transport in a Cu II assembly,"L Bai, Y Xia, A Jana, CY Ang, L Zhao, Z Fan, Y Zhao","Nanoscale 8 (17), 9134-9140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4838203802998206528,6,2016
The photoirradiation induced p–n junction in naphthylamine-based organic photovoltaic cells,"L Bai, Q Gao, Y Xia, CY Ang, P Bose, SY Tan, Y Zhao","Nanoscale 7 (35), 14612-14617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4504023175177093694,6,2015
An imine-based approach to prepare amine-functionalized Janus gold nanoparticles,"S Wu, SY Tan, CY Ang, KT Nguyen, M Li, Y Zhao","Chemical Communications 51 (58), 11622-11625",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10189995777906038404,6,2015
Smart Therapeutics Achieved via Host–Guest Assemblies,"SY Tan, CY Ang, Y Zhao",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17851225925667513950,2,2017
Byproduct-induced in-situ formation of gold colloidal superparticles,"S Wu, CY Ang, Z Luo, SY Tan, KT Nguyen, Y Zhao","Science China Materials 58 (11), 860-866",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15018541717308276988,2,2015
Synthesis and application of polyacrylic acid-based nanoparticles for photodynamic therapy.,"CY Ang, SY Tan, S Wu, SS Tamil, Y Zhao",Journal of controlled release: official journal of the Controlled Release …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18214887844512888111,2,2015
Dual-responsive liposome as an efficient vehicle for drug delivery,"WK Ong, MF Wong, CY Ang, Y Zhao","Journal of Controlled Release 259, e132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1536932320585588312,1,2017
Polymeric nanoparticles and organic fluorophores for cancer sensing and therapy,CY Ang,,,0,2016
