Title,Authors,Platform,Cited_url,Cited_count,Year
"Passive radar using global system for mobile communication signal: theory, implementation and measurements","DKP Tan, H Sun, Y Lu, M Lesturgie, HL Chan","IEE Proceedings-Radar, Sonar and Navigation 152 (3), 116-123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7492009077286330332,311,2005
Application of the fractional Fourier transform to moving target detection in airborne SAR,"HB Sun, GS Liu, H Gu, WM Su","IEEE Transactions on Aerospace and Electronic Systems 38 (4), 1416-1424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2507069863652311897,204,2002
Comments on discrete chirp-Fourier transform and its application to chirp rate estimation [with reply],"X Guo, HB Sun, SL Wang, GS Liu","IEEE Transactions on Signal Processing 50 (12), 3115-3116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13355285389800043042,59,2002
Aircraft target measurements using a GSM-based passive radar,"H Sun, DKP Tan, Y Lu","2008 IEEE Radar Conference, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3982802702697900935,58,2008
Analysis and comparison of MIMO radar waveforms,"H Sun, F Brigui, M Lesturgie","2014 International Radar Conference, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3848180074758379083,55,2014
Random signal radar-a winner in both the military and civilian operating environments,"GS Liu, H Gu, WM Su, HB Sun, JH Zhang","IEEE Transactions on Aerospace and Electronic Systems 39 (2), 489-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14703431570953075695,54,2003
Feasibility analysis of GSM signal for passive radar,"DKP Tan, H Sun, Y Lu, W Liu","Proceedings of the 2003 IEEE Radar Conference (Cat. No. 03CH37474), 425-430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16658531284480008434,53,2003
Design and implementation of an experimental GSM based passive radar,"H Sun, DKP Tan, Y Lu",2003 Proceedings of the International Conference on Radar (IEEE Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11944365329525726894,52,2003
Interference cancellation for high-frequency surface wave radar,"X Guo, H Sun, TS Yeo","IEEE Transactions on Geoscience and Remote Sensing 46 (7), 1879-1891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1231205956540550833,46,2008
Ultra-wideband technology and random signal radar: an ideal combination,"H Sun, Y Lu, G Liu","IEEE Aerospace and Electronic Systems Magazine 18 (11), 3-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6597334928780068938,45,2003
