Title,Authors,Platform,Cited_url,Cited_count,Year
ZnO nanowire UV photodetectors with high internal gain,"C Soci, A Zhang, B Xiang, SA Dayeh, DPR Aplin, J Park, XY Bao, YH Lo, ...","Nano letters 7 (4), 1003-1009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7405753506780223497,2243,2007
Rational synthesis of p-type zinc oxide nanowire arrays using simple chemical vapor deposition,"B Xiang, P Wang, X Zhang, SA Dayeh, DPR Aplin, C Soci, D Yu, D Wang","Nano Letters 7 (2), 323-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2155519685924823466,508,2007
Lead iodide perovskite light-emitting field-effect transistor,"XY Chin, D Cortecchia, J Yin, A Bruno, C Soci","Nature communications 6, 7383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14823191415548117444,418,2015
Nanowire photodetectors,"C Soci, A Zhang, XY Bao, H Kim, Y Lo, D Wang","Journal of nanoscience and nanotechnology 10 (3), 1430-1449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=649027846022763319,358,2010
Photoconductivity of a low‐bandgap conjugated polymer,"C Soci, IW Hwang, D Moses, Z Zhu, D Waller, R Gaudiana, CJ Brabec, ...","Advanced Functional Materials 17 (4), 632-636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5320221678818983714,349,2007
Direct heteroepitaxy of vertical InAs nanowires on Si substrates for broad band photovoltaics and photodetection,"W Wei, XY Bao, C Soci, Y Ding, ZL Wang, D Wang","Nano letters 9 (8), 2926-2934",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11617824718293499652,294,2009
Method for increasing the photoconductive response in conjugated polymer/fullerene composites,"J Peet, C Soci, RC Coffin, TQ Nguyen, A Mikhailovsky, D Moses, ...","Applied physics letters 89 (25), 252105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8572870773021691928,292,2006
Light emission from an ambipolar semiconducting polymer field-effect transistor,"JS Swensen, C Soci, AJ Heeger","Applied Physics Letters 87 (25), 253511",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9655905447211334285,242,2005
Ultrafast electron transfer and decay dynamics in a small band gap bulk heterojunction material,"IW Hwang, C Soci, D Moses, Z Zhu, D Waller, R Gaudiana, CJ Brabec, ...","Advanced Materials 19 (17), 2307-2312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16870608780818719810,233,2007
Nanoporous walls on macroporous foam: rational design of electrodes to push areal pseudocapacitance,"C Guan, X Li, Z Wang, X Cao, C Soci, H Zhang, HJ Fan","Advanced materials 24 (30), 4186-4190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8796794219838183983,214,2012
Lead-Free MA,"D Cortecchia, HA Dewi, J Yin, A Bruno, S Chen, T Baikie, PP Boix, ...","Inorganic chemistry 55 (3), 1044-1052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16598666964962180168,184,2016
Novel hole transporting materials based on triptycene core for high efficiency mesoscopic perovskite solar cells,"A Krishna, D Sabba, H Li, J Yin, PP Boix, C Soci, SG Mhaisalkar, ...","Chemical Science 5 (7), 2702-2709",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16288966604018253906,165,2014
Hollow core–shell nanostructure supercapacitor electrodes: gap matters,"C Guan, X Xia, N Meng, Z Zeng, X Cao, C Soci, H Zhang, HJ Fan","Energy & Environmental Science 5 (10), 9085-9090",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8450261467003658256,163,2012
GaAs/AlGaAs nanowire photodetector,"X Dai, S Zhang, Z Wang, G Adamo, H Liu, Y Huang, C Couteau, C Soci","Nano letters 14 (5), 2688-2693",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12083197589670917138,150,2014
Broadband emission in two-dimensional hybrid perovskites: The role of structural deformation,"D Cortecchia, S Neutzner, AR Srimath Kandada, E Mosconi, ...","Journal of the American Chemical Society 139 (1), 39-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=26957835581231879,136,2016
Influence of surface states on the extraction of transport parameters from InAs nanowire field effect transistors,"SA Dayeh, C Soci, PKL Yu, ET Yu, D Wang","Applied Physics Letters 90 (16), 162112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=911056758278443582,121,2007
"Device including halide perovskite structure, methods of forming and operating the same","C Soci, B GHOLIPOUR, G ADAMO, D CORTECCHIA","US Patent 10,151,858","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9369639188279336560,5292132665893377354",114,2018
Band structure and optical properties of opal photonic crystals,"E Pavarini, LC Andreani, C Soci, M Galli, F Marabelli, D Comoretto","Physical Review B 72 (4), 045102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17956900599368803373,114,2005
Coherent perfect absorption in deeply subwavelength films in the single-photon regime,"T Roger, S Vezzoli, E Bolduc, J Valente, JJF Heitz, J Jeffers, C Soci, ...","Nature communications 6, 7031",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7555375921885389254,112,2015
Heteroepitaxial growth of vertical GaAs nanowires on Si (111) substrates by metal− organic chemical vapor deposition,"XY Bao, C Soci, D Susac, J Bratvold, DPR Aplin, W Wei, CY Chen, ...","Nano letters 8 (11), 3755-3760",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11792116987034700659,108,2008
Silicon nanowire detectors showing phototransistive gain,"A Zhang, S You, C Soci, Y Liu, D Wang, YH Lo","Applied Physics Letters 93 (12), 121110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=315863747367357264,106,2008
Luminescence from β− FeSi 2 precipitates in Si. II: Origin and nature of the photoluminescence,"L Martinelli, E Grilli, DB Migas, L Miglio, F Marabelli, C Soci, M Geddo, ...","Physical Review B 66 (8), 085320",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16581411218895847681,106,2002
A systematic study on the growth of GaAs nanowires by metal− organic chemical vapor deposition,"C Soci, XY Bao, DPR Aplin, D Wang","Nano letters 8 (12), 4275-4282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4650737250845477344,104,2008
"Vertical group III-V nanowires on si, heterostructures, flexible arrays and fabrication","D Wang, C Soci, X Bao, W Wei, Y Jing, K Sun","US Patent 8,932,940",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11888420986013673581,100,2015
Polaron self-localization in white-light emitting hybrid perovskites,"D Cortecchia, J Yin, A Bruno, SZA Lo, GG Gurzadyan, S Mhaisalkar, ...","Journal of Materials Chemistry C 5 (11), 2771-2780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6056130194549029240,97,2017
Transport properties of InAs nanowire field effect transistors: The effects of surface states,"SA Dayeh, C Soci, PKL Yu, ET Yu, D Wang",Journal of Vacuum Science & Technology B: Microelectronics and Nanometer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18284288404556037904,91,2007
Roadmap on plasmonics,"MI Stockman, K Kneipp, SI Bozhevolnyi, S Saha, A Dutta, J Ndukaife, ...","Journal of Optics 20 (4), 043001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2185751065501291800,73,2018
Interfacial charge transfer anisotropy in polycrystalline lead iodide perovskite films,"J Yin, D Cortecchia, A Krishna, S Chen, N Mathews, AC Grimsdale, ...","The journal of physical chemistry letters 6 (8), 1396-1402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13969347886095339878,73,2015
Charge-carrier relaxation dynamics in highly ordered poly (p-phenylene vinylene): Effects of carrier bimolecular recombination and trapping,"C Soci, D Moses, QH Xu, AJ Heeger","Physical Review B 72 (24), 245204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15005605313597552613,71,2005
Organometallic perovskite metasurfaces,"B Gholipour, G Adamo, D Cortecchia, HNS Krishnamoorthy, ...","Advanced Materials 29 (9), 1604268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6889590525656381967,69,2017
Advances in the synthesis of InAs and GaAs nanowires for electronic applications,"SA Dayeh, C Soci, XY Bao, D Wang","Nano Today 4 (4), 347-358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7445143349690104821,67,2009
X-ray scintillation in lead halide perovskite crystals,"MD Birowosuto, D Cortecchia, W Drozdowski, K Brylew, W Lachmanski, ...","Scientific reports 6, 37254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11884681190619675700,66,2016
Dichroic spin–valley photocurrent in monolayer molybdenum disulphide,"M Eginligil, B Cao, Z Wang, X Shen, C Cong, J Shang, C Soci, T Yu","Nature communications 6, 7636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2124180608353727402,66,2015
Excitonic and polaronic properties of 2D hybrid organic–inorganic perovskites,"J Yin, H Li, D Cortecchia, C Soci, JL Brédas","ACS Energy Letters 2 (2), 417-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2100693398108826487,55,2017
Nanowire photodetector and image sensor with internal gain,"D Wang, C Soci, Y Lo, A Zhang, D Aplin, L Wang, S Dayeh, XY Bao","US Patent 8,440,997",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1437100487220667280,55,2013
Aligned rrP3HT film: Structural order and transport properties,"CY Yang, C Soci, D Moses, AJ Heeger","Synthetic metals 155 (3), 639-642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5733822950375950481,54,2005
Ultrafast spectroscopic study of photoinduced electron transfer in an oligo (thienylenevinylene): fullerene composite,"IW Hwang, QH Xu, C Soci, B Chen, AKY Jen, D Moses, AJ Heeger","Advanced Functional Materials 17 (4), 563-568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2871707323080323381,53,2007
Intrinsic Lead Ion Emissions in Zero-Dimensional Cs,"J Yin, Y Zhang, A Bruno, C Soci, OM Bakr, JL Brédas, OF Mohammed","ACS Energy Letters 2 (12), 2805-2811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3012976670922924965,51,2017
Anisotropic photoluminescence properties of oriented poly (p-phenylene-vinylene) films: Effects of dispersion of optical constants,"C Soci, D Comoretto, F Marabelli, D Moses","Physical review B 75 (7), 075204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15842532018587779225,51,2007
Mechanism of carrier photogeneration and carrier transport in molecular crystal tetracene,"D Moses, C Soci, X Chi, AP Ramirez","Physical review letters 97 (6), 067401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2499277406737759091,50,2006
Self-assembled hierarchical nanostructured perovskites enable highly efficient LEDs via an energy cascade,"XY Chin, A Perumal, A Bruno, N Yantara, SA Veldhuis, L Martínez-Sarti, ...","Energy & Environmental Science 11 (7), 1770-1778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8098460538182090121,49,2018
"Facile Synthesis of a Furan–Arylamine Hole‐Transporting Material for High‐Efficiency, Mesoscopic Perovskite Solar Cells","A Krishna, D Sabba, J Yin, A Bruno, PP Boix, Y Gao, HA Dewi, ...","Chemistry–A European Journal 21 (43), 15113-15117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18384200034999438128,48,2015
Polymer distributed bragg reflectors for vapor sensing,"P Lova, G Manfredi, L Boarino, A Comite, M Laus, M Patrini, F Marabelli, ...","Acs Photonics 2 (4), 537-543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3715904384591918384,48,2015
Nanowire lasers,"C Couteau, A Larrue, C Wilhelm, C Soci","Nanophotonics 4 (1), 90-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2061605409685778441,45,2015
Amorphous metal‐sulphide microfibers enable photonic synapses for brain‐like computing,"B Gholipour, P Bastock, C Craig, K Khan, D Hewak, C Soci","Advanced Optical Materials 3 (5), 635-641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5084375454668749703,43,2015
Fluorescence from rubrene single crystals: Interplay of singlet fission and energy trapping,"L Ma, K Zhang, C Kloc, H Sun, C Soci, ME Michel-Beyerle, GG Gurzadyan","Physical Review B 87 (20), 201203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9222529388793634177,42,2013
