Title,Authors,Platform,Cited_url,Cited_count,Year
Usability evaluation for mobile device: a comparison of laboratory and field tests,"HBL Duh, GCB Tan, VH Chen",Proceedings of the 8th conference on Human-computer interaction with mobile …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1308301811047393613,278,2006
"Ubiquitous games for learning (UbiqGames): Weatherlings, a worked example","E Klopfer, J Sheldon, J Perry, VHH Chen","Journal of Computer Assisted Learning 28 (5), 465-476",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13295002938670469027,88,2012
Midwives with mobiles: A dialectical perspective on gender arising from technology introduction in rural Indonesia,"A Chib, VHH Chen","New Media & Society 13 (3), 486-501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=660542506469406189,88,2011
Multiplayer: The social aspects of digital gaming,"T Quandt, S Kröger",Routledge,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=128166548189964395,5089746912270696089",84,2013
Understanding social interaction in world of warcraft,"VH Chen, HBL Duh",Proceedings of the international conference on Advances in computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9020886770601023041,76,2007
Enjoyment or engagement? role of social interaction in playing massively mulitplayer online role-playing games (MMORPGS),"VHH Chen, HBL Duh, PSK Phuah, DZY Lam","International Conference on Entertainment Computing, 262-267",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5402084509206751619,70,2006
"The spiral of silence: examining how cultural predispositions, news attention, and opinion congruency relate to opinion expression","SS Ho, VHH Chen, CC Sim","Asian Journal of Communication, 1-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2847409679350720911,47,2012
Players who play to make others cry: The influence of anonymity and immersion,"VHH Chen, HBL Duh, CW Ng",Proceedings of the international conference on advances in computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8518460127578030121,47,2009
Young school children’s use of digital devices and parental rules,"WWL Goh, S Bay, VHH Chen","Telematics and Informatics 32 (4), 787-795",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5326290552042216334,45,2015
Becoming an ideal co-creator: Web materiality and intensive laboring practices in game modding,"R Hong, VHH Chen","new media & society 16 (2), 290-305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12724998924644772117,28,2014
Senior-friendly technologies: Interaction design for senior users,"HBL Duh, EYL Do, M Billinghurst, F Quek, VHH Chen","CHI'10 Extended Abstracts on Human Factors in Computing Systems, 4513-4516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4007810604605620641,27,2010
The changing dynamic of social interaction in World of Warcraft: the impacts of game feature change,"VHH Chen, HBL Duh, H Renyi",Proceedings of the 2008 International Conference on Advances in Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12289934470175817019,26,2008
Cheating behaviors in online gaming,"HBL Duh, VHH Chen","International Conference on Online Communities and Social Computing, 567-573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7131667844343999075,25,2009
Group identification as a mediator of the effect of players’ anonymity on cheating in online games,"VHH Chen, Y Wu","Behaviour & Information Technology 34 (7), 658-667",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13039111042656596392,23,2015
Playing different games on different phones: an empirical study on mobile gaming,"HBL Duh, VHH Chen, CB Tan",Proceedings of the 10th international conference on Human computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=912890536675837895,22,2008
Active and restrictive parental mediation over time: Effects on youths’ self-regulatory competencies and impulsivity,"VHH Chen, GS Chng","Computers & Education 98, 206-212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3672295194867696959,17,2016
Social relationships of gamers and their parents,"SL Chai, VHH Chen, A Khoo",Procedia-Social and Behavioral Sciences Proceeding of 2nd World Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4261002357801548598,17,2011
A narrative-driven design approach for casual games with children,"HBL Duh, SLC Yew Yee, YX Gu, VHH Chen","Proceedings of the 5th ACM SIGGRAPH Symposium on Video Games, 19-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5705770610879859468,15,2010
Weatherlings: a new approach to student learning using web-based mobile games,"J Sheldon, J Perry, E Klopfer, J Ong, VHH Chen, PW Tzuo, L Rosenheck",Proceedings of the Fifth International Conference on the Foundations of …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18275190676433546095,15,2010
A social-cognitive approach to online game cheating,"Y Wu, VHH Chen","Computers in Human Behavior 29 (6), 2557-2567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7123333297109620338,14,2013
Reconceptualizing pedagogical usability of and teachers’ roles in computer game-based learning in school,"PW Tzuo, JIOP Ling, CH Yang, V Hsueh-Hua","Educational Research and Reviews 7 (20), 419-429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16513591792795288505,12,2012
Investigating user experience of online communities: The influence of community type,"V Hsueh-Hua Chen, HBL Duh",Proceeding of IEEE 12th International Conference on Computational Science …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12828175479407301471,12,2009
The Role of Game Genres and the Development of Internet Gaming Disorder in School- Aged Children,"AK C Shawn Green, Adam Eichenbaum, Florian Kattner, Daniel Bradford, Douglas ...","Journal of Addictive Behaviors, Therapy & Rehabilitation 4 (3)",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9662562069079942487,11,2015
Virtual Community Practices and Social Interactive Media: Technology Lifecycle and Workflow Analysis: Technology Lifecycle and Workflow Analysis,D Akoumianakis,IGI Global,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12050902500891441807,11,2009
Validating the digital games motivation scale for comparative research between countries,"F De Grove, J Breuer, V Hsueh Hua Chen, T Quandt, R Ratan, J Van Looy","Communication Research Reports 34 (1), 37-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14379486321530934231,10,2017
An examination of People's Republic of China business negotiating behaviors,"GM Chen, HH Chen","Communication Research Reports 19 (4), 399-408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3926531160180007896,10,2002
The rationalization process of online game cheating behaviors,"VHH Chen, J Ong","Information, Communication & Society 21 (2), 273-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14577310946850746253,7,2018
Online addiction: privacy risks in online gaming environments,"B Sanders, V Chen, D Zahra, P Dowland, S Atkinson, M Papadaki, ...",Proceedings of the International Conference on Management of Emergent …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16233693136698450478,7,2010
Emerging issues in doing cross-cultural research in multicultural and multilingual societies,"HBL Duh, VHH Chen","International Conference on Usability and Internationalization, 65-73",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5365414251574685577,7,2007
"What makes MMORPGs fun? An explication of enjoyment, social interaction, and types of gamers","HHV Chen, P Siew, K Phuah, H Duh","annual meeting of the International Communication Association, San Francisco, CA",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13935816898894716650,7,2007
New Media and Learning in the 21st Century,"TB Lin, W Choy, TB Lin, V Chen, C Chai",Singapore: Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15930561286475769442,6,2015
Communicative behaviors and flow experience in tabletop gaming,"VHH Chen, W Lin, M Haller, J Leitner, HBL Duh",Proceedings of the International Conference on Advances in Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5386999240721666569,6,2009
Welcome to Facebook: How Facebook Influences Parent-Child Relationship,"VH Chen, T Goh, W Li","Sixth Conference of Taiwan Academy for Information Society, Jiao Tong …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=490904666713717709,5,2010
A student-centered method of incorporating computer games into school: A study in Singapore,"PW Tzuo, DT Chen, VHH Chen","The Asia-Pacific Education Researcher 22 (4), 647-656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6345629243180057910,4,2013
Fantasies in narration: narrating the requirements of children in mobile gaming design,"HBL Duh, VHH Chen",Proceedings of the 7th International Conference on Advances in Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7762132042930408160,4,2010
Children’s choice of games: the influence of prosocial tendency and education-level,"VHH Chen, W Lin, CW Ng, SL Chai, ACE Khoo, HBL Duh","International Conference on Entertainment Computing, 110-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3058336443456889787,3,2009
Games in Asia project,"VH Chen, HBL Duh, B Kolko, LSM Whang, MCH Fu","CHI'06 extended abstracts on Human factors in computing systems, 291-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11334069062511433768,3,2006
Gamification: influencing value-perception of target behaviors,"RRY Tan, VHC Hsueh",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17429852128712670965,3449229161121846321",2,2017
Effects of Digital Gaming Among Children and Adolescents in Singapore: A Summary of Research Findings,"A Khoo, VHH Chen, C Hyekyung","New Media and Learning in the 21st Century, 129-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8649960817104133913,2,2015
Master Of The Game.,V Chen,"Minority Law Journal, 17-21",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4042497395596462453,2,2001
"Relating video game exposure, sensation seeking, aggression and socioeconomic factors to school performance","VHH Chen, C Wilhelm, S Joeckel","Behaviour & Information Technology, 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9538855973673402572,1,2019
Understanding Online Game Cheating: Unpacking the Ethical Dimension,"Y Wu, VHH Chen","International Journal of Human–Computer Interaction 34 (8), 786-797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17199987450373838073,1,2018
Validating the digital games motivation scale for comparative research between countries and sexes,"F De Grove, J Breuer, V Chen, R Ratan, T Quandt, J Van Looy",ICA 2016: Communicating with power,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3200985470513303388,1,2016
Interactivity in massively multiplayer online games: a concept explication,"M Mehrabi, VHH Chen",Proceedings of the 7th International Conference on Advances in Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8007455169662115549,1,2010
Identity Negotiation of the Black African Diaspora through Discourse with Singaporeans,"SRM Hua, VH Chen",Proceedings of International Conference on Humanities and Social Sciences …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4688585227978226185,1,2010
A Game Design Method Empowering Children and Adults,"SLCY Yee, GY Xun, VC Hsueh-Hua, HBL Duh",IEEE Learning Technology Newsletter (Special Issue on Game-Based Learning …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=551342155832473411,1,2010
Socializing in the Online Gaming Community: Social Interaction in World of Warcraft,"VHH Chen, HBL Duh",Virtual Community Practices and Social Interactive Media: Technology …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8837687470427781910,1,2009
Unobtrusive Measures in Studying Social Media,V Hsueh Hua Chen,"The International Encyclopedia of Communication Research Methods, 1-3",,0,2017
Gamification: influencing value-perception of target behaviors,"VHC Hsueh, RRY Tan",,,0,2017
CeDEM Asia 2014: Conference for E-Democracy an Open Government,"MM Skoric, P Parycek, M Sachs",MV-Verlag,,0,2015
Online Participation and Public Discourse,VHH Chen,"CeDEM Asia 2014: Conference for E-Democracy an Open Government, 221",,0,2014
Facilitating Social Inclusion of Migrant Workers through Digital Game Play,VHH Chen,Proceedings Annual Workshop of the AIS Special Interest Group for ICT in …,,0,2014
A Videogame for Stress Management: Effects of physical similarity between the player and game character on learning how to manage stress.,"Y Jung, VCH Hua","Computer Games, Multimedia and Allied Technology (CGAT 2012), 69",,0,2012
International gaming: Comparative survey research on digital gaming (Panel),"R Festl, T Quandt, M Scharkow, V Chen, R Koskimaa, F Mäyrä, ...",,,0,2011
International gaming: comparative survey research on digital gaming,"R Festl, T Quandt, M Scharkow, V Chen, R Koskimaa, F Mäyrä, ...",Proceedings of DiGRA 2011 Conference: Think Design Play.,,0,2011
Exploring the influence of cultural diversity in collaborative design teams: Preliminary findings,"VHH Chen, HBL Duh","IFIP Human-Computer Interaction Symposium, 246-254",,0,2010
Facilitating learning interests through mobile information visualization,"YX Gu, RKC Koh, VHH Chen, HBL Duh",2010 10th IEEE International Conference on Advanced Learning Technologies …,,0,2010
Socializing in an Online Gaming Community,"VHH Chen, HBL Duh",,,0,2009
Communicative Behaviors and Flow Experience in Tabletop Gaming,"V Hsueh-Hua, W Lin, M Haller, J Leitner, H Been-Lirn",,,0,2009
Session 9-Network Games-Enjoyment or Engagement? Role of Social Interaction in Playing Massively Mulitplayer Online Role-Playing Games (MMORPGS),"VHH Chen, HBL Duh, PSK Phuah, DZY Lam","Lecture Notes in Computer Science 4161, 262-267",,0,2006
