Title,Authors,Platform,Cited_url,Cited_count,Year
Chen,"Y Chen, ZX He, A Liu, K Wang, WW Mao, JX Chu, Y Lu, ZF Fang, YT Shi, ...","Y., Wang, MK, Li, JS, Huang, SL, Kong, XY, Shi, YZ, Wang, ZQ, Xia, JH, Long …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7092131727839306380,3984430059209545390,6313846583163370921,9326591234824430259",376,2003
Lanthanide-Doped NaxScF (3+ x) Nanocrystals: Crystal Structure Evolution and Multicolor Tuning,"X Teng, Y Zhu, W Wei, S Wang, J Huang, R Naccache, A Tok, Y Han, ...",Journal of the American Chemical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12672482439390330231,264,2012
An improved synthesis route to graphene for molecular sensor applications,"M Larisika, J Huang, A Tok, W Knoll, C Nowak","Materials Chemistry and Physics 136 (2-3), 304-308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10030321720155282125,32,2012
The Extended Growth of Graphene Oxide Flakes Using Ethanol CVD,"J Huang, M Larisika, D Fam, Q He, MA Nimmo, C Nowak, A Tok",Nanoscale,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8949871982133046950,29,2013
A review on electronic bio-sensing approaches based on non-antibody recognition elements,"H Chen, J Huang, A Palaniappan, Y Wang, B Liedberg, M Platt, AIY Tok","Analyst 141 (8), 2335-2346",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=936486340038048708,28,2016
Влияние плотности связного грунта в рабочем слое земляного полотна на остаточные деформации нежестких дорожных одежд,ЕВ Жустарева,,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1826862335475516357,9078852449217768507,6452870566250689103,1110241332224015390,18300370977304725160",27,2000
Detection of matrilysin activity using polypeptide functionalized reduced graphene oxide field-effect transistor sensor,"H Chen, P Chen, J Huang, R Selegård, M Platt, A Palaniappan, D Aili, ...","Analytical chemistry 88 (6), 2994-2998",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4772060018267781798,25,2016
Label-free electronic detection of interleukin-6 using horizontally aligned carbon nanotubes,"H Chen, TK Choo, J Huang, Y Wang, Y Liu, M Platt, A Palaniappan, ...","Materials & Design 90, 852-857",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16525717400095128425,25,2016
"The detection and measurement of interleukin-6 in venous and capillary blood samples, and in sweat collected at rest and during exercise","SH Faulkner, KL Spilsbury, J Harvey, A Jackson, J Huang, M Platt, A Tok, ...","European journal of applied physiology 114 (6), 1207-1216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18353205045669375714,25,2014
Highly manufacturable graphene oxide biosensor for sensitive Interleukin-6 detection,"J Huang, H Chen, W Niu, DWH Fam, A Palaniappan, M Larisika, ...","Rsc Advances 5 (49), 39245-39251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6711474470992654253,23,2015
