Title,Authors,Platform,Cited_url,Cited_count,Year
Internally simulated movement sensations during motor imagery activate cortical motor areas and the cerebellum,"E Naito, T Kochiyama, R Kitada, S Nakamura, M Matsumura, Y Yonekura, ...","Journal of Neuroscience 22 (9), 3683-3691",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12212569232103398437,322,2002
Tactile estimation of the roughness of gratings yields a graded response in the human brain: an fMRI study,"R Kitada, T Hashimoto, T Kochiyama, T Kito, T Okada, M Matsumura, ...","Neuroimage 25 (1), 90-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17539683983333217762,79,2005
Multisensory activation of the intraparietal area when classifying grating orientation: a functional magnetic resonance imaging study,"R Kitada, T Kito, DN Saito, T Kochiyama, M Matsumura, N Sadato, ...","Journal of Neuroscience 26 (28), 7491-7501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3252593755288616635,78,2006
Functional specialization and convergence in the occipito-temporal cortex supporting haptic and visual identification of human faces and body parts: an fMRI study,"R Kitada, IS Johnsrude, T Kochiyama, SJ Lederman","Journal of Cognitive Neuroscience 21 (10), 2027-2045",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11044085269046344239,69,2009
Brain networks involved in haptic and visual identification of facial expressions of emotion: an fMRI study,"R Kitada, IS Johnsrude, T Kochiyama, SJ Lederman","Neuroimage 49 (2), 1677-1689",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16911933106496272573,66,2010
Haptic roughness perception of linear gratings via bare finger or rigid probe,"MA Lawrence, R Kitada, RL Klatzky, SJ Lederman","Perception 36 (4), 547-557",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=890828053840428733,61,2007
Haptic recognition of static and dynamic expressions of emotion in the live face,"SJ Lederman, RL Klatzky, A Abramowicz, K Salsman, R Kitada, ...","Psychological Science 18 (2), 158-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2128516981574641749,56,2007
Multisensory object perception in the primate brain,"MJ Naumer, J Kaiser",Springer,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=547470288053713553,5891173792396145548",41,2010
Designing haptic assistive technology for individuals who are blind or visually impaired,"DTV Pawluk, RJ Adams, R Kitada","IEEE transactions on haptics 8 (3), 258-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=563776888015458392,38,2015
Haptic face identification activates ventral occipital and temporal areas: An fMRI study,"AR Kilgour, R Kitada, P Servos, TW James, SJ Lederman","Brain and Cognition 59 (3), 246-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13221106907424282371,38,2005
Moving tactile stimuli of fingers are integrated in the intraparietal and inferior parietal cortices,"R Kitada, T Kochiyama, T Hashimoto, E Naito, M Matsumura","Neuroreport 14 (5), 719-724",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1787126522555209872,32,2003
The brain network underlying the recognition of hand gestures in the blind: the supramodal role of the extrastriate body area,"R Kitada, K Yoshihara, AT Sasaki, M Hashiguchi, T Kochiyama, N Sadato","Journal of Neuroscience 34 (30), 10096-10108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9112831314791858533,30,2014
Early visual experience and the recognition of basic facial expressions: Involvement of the middle temporal and inferior frontal gyri during haptic identification by the early …,"R Kitada, Y Okamoto, AT Sasaki, T Kochiyama, M Miyahara, SJ Lederman, ...",Frontiers in Human Neuroscience 7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6824511028360435359,30,2013
Perceptual changes in illusory wrist flexion angles resulting from motor imagery of the same wrist movements,"R Kitada, E Naito, M Matsumura","Neuroscience 109 (4), 701-707",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7095862231002366757,20,2002
Role of the precuneus in the detection of incongruency between tactile and visual texture information: a functional MRI study,"R Kitada, AT Sasaki, Y Okamoto, T Kochiyama, N Sadato","Neuropsychologia 64, 252-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5411493698077932193,18,2014
