Title,Authors,Platform,Cited_url,Cited_count,Year
Zeolitic Imidazolate Framework 67‐Derived High Symmetric Porous Co,"R Wu, X Qian, X Rui, H Liu, B Yadian, K Zhou, J Wei, Q Yan, XQ Feng, ...","Small 10 (10), 1932-1938",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18027322762974699607,318,2014
"Black phosphorus nanosheets: synthesis, characterization and applications","V Eswaraiah, Q Zeng, Y Long, Z Liu","Small 12 (26), 3480-3502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2903900145514472488,151,2016
Recent progress in VO2 smart coatings: Strategies to improve the thermochromic properties,"S Wang, M Liu, L Kong, Y Long, X Jiang, A Yu","Progress in Materials Science 81, 1-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16358203660926735929,121,2016
VO 2/hydrogel hybrid nanothermochromic material with ultra-high solar modulation and luminous transmission,"Y Zhou, Y Cai, X Hu, Y Long","Journal of Materials Chemistry A 3 (3), 1121-1126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8064444569181139060,93,2015
Temperature-responsive hydrogel with ultra-large solar modulation and high luminous transmission for “smart window” applications,"Y Zhou, Y Cai, X Hu, Y Long","Journal of Materials Chemistry A 2 (33), 13550-13555",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3990320638447101906,87,2014
Hydrothermal Synthesis of VO,"M Li, S Magdassi, Y Gao, Y Long","Small 13 (36), 1701147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3650819665847653012,85,2017
Bioinspired multifunctional vanadium dioxide: improved thermochromism and hydrophobicity,"X Qian, N Wang, Y Li, J Zhang, Z Xu, Y Long","Langmuir 30 (35), 10766-10771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3239880233880039356,84,2014
"Nanoporous thermochromic VO2 (M) thin films: controlled porosity, largely enhanced luminous transmittance and solar modulating ability","X Cao, N Wang, JY Law, SCJ Loo, S Magdassi, Y Long","Langmuir 30 (6), 1710-1715",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3497448609361271205,82,2014
Observations of nanoindents via cross-sectional transmission electron microscopy: A survey of deformation mechanisms,"SJ Lloyd, A Castellero, F Giuliani, Y Long, KK McLaughlin, ...","Proceedings of the Royal Society A: Mathematical, Physical and Engineering …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18212175142203510334,76,2005
Two-Dimensional SiO,"Y Ke, I Balin, N Wang, Q Lu, AIY Tok, TJ White, S Magdassi, I Abdulhalim, ...","ACS applied materials & interfaces 8 (48), 33112-33120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17593400931776140993,71,2016
