Title,Authors,Platform,Cited_url,Cited_count,Year
Ezh2 controls B cell development through histone H3 methylation and ,"I Su, A Basavaraj, AN Krutchinsky, O Hobert, A Ullrich, BT Chait, ...","Nature immunology 4 (2), 124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5113556451848708476,529,2003
Ezh2 orchestrates gene expression for the stepwise differentiation of tissue-specific stem cells,"E Ezhkova, HA Pasolli, JS Parker, N Stokes, I Su, G Hannon, ...","Cell 136 (6), 1122-1135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7695414602774409957,486,2009
The toll-like receptor protein RP105 regulates lipopolysaccharide signaling in B cells,"H Ogata, I Su, K Miyake, Y Nagai, S Akashi, I Mecklenbräuker, ...","Journal of Experimental Medicine 192 (1), 23-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15616738277670595975,374,2000
Polycomb group protein ezh2 controls actin polymerization and cell signaling,"I Su, MW Dobenecker, E Dickinson, M Oser, A Basavaraj, R Marqueron, ...","Cell 121 (3), 425-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15174872879515875133,326,2005
Essential role of Src-family protein tyrosine kinases in NF-κB activation during B cell development,"K Saijo, C Schmedt, I Su, H Karasuyama, CA Lowell, M Reth, T Adachi, ...","Nature immunology 4 (3), 274",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=429736178599203144,321,2003
Consequences of the depletion of zygotic and embryonic enhancer of zeste 2 during preimplantation mouse development,"S Erhardt, I Su, R Schneider, S Barton, AJ Bannister, L Perez-Burgos, ...","Development 130 (18), 4235-4248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7596041018162275784,310,2003
Polycomb protein Ezh2 regulates pancreatic β-cell Ink4a/Arf expression and regeneration in diabetes mellitus,"H Chen, X Gu, I Su, R Bottino, JL Contreras, A Tarakhovsky, SK Kim","Genes & development 23 (8), 975-985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15728539734409673860,307,2009
Histone H3K27 methyltransferase Ezh2 represses Wnt genes to facilitate adipogenesis,"L Wang, Q Jin, JE Lee, I Su, K Ge","Proceedings of the National Academy of Sciences 107 (16), 7317-7322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9810188879999948797,191,2010
BANK regulates BCR‐induced calcium mobilization by promoting tyrosine phosphorylation of IP3 receptor,"K Yokoyama, I Su, T Tezuka, T Yasuda, K Mikoshiba, A Tarakhovsky, ...","The EMBO journal 21 (1-2), 83-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17091883940252894627,187,2002
Germinal center dysregulation by histone methyltransferase EZH2 promotes lymphomagenesis,"M Caganova, C Carrisi, G Varano, F Mainoldi, F Zanardi, PL Germain, ...","The Journal of clinical investigation 123 (12), 5009-5022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6043714421131196045,141,2013
The molecular mechanism of B cell activation by toll-like receptor protein RP-105,"VWF Chan, I Mecklenbräuker, I Su, G Texido, M Leitges, R Carsetti, ...","Journal of Experimental Medicine 188 (1), 93-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10005636001320226949,124,1998
The B-cell-specific Src-family kinase Blk is dispensable for B-cell development and activation,"G Texido, I Su, I Mecklenbräuker, K Saijo, SN Malek, S Desiderio, ...","Molecular and cellular biology 20 (4), 1227-1233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17683491860564917720,85,2000
MicroRNA miR-124 controls the choice between neuronal and astrocyte differentiation by fine-tuning Ezh2 expression,"WH Neo, K Yap, SH Lee, LS Looi, P Khandelia, SX Neo, EV Makeyev, ...","Journal of Biological Chemistry 289 (30), 20788-20801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15466978211350337681,80,2014
The methyltransferase Ezh2 controls cell adhesion and migration through direct methylation of the extranuclear regulatory protein talin,"M Gunawan, N Venkatesan, JT Loh, JF Wong, H Berger, WH Neo, LYJ Li, ...","Nature immunology 16 (5), 505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17472808504955388928,74,2015
Activated dectin-1 localizes to lipid raft microdomains for signaling and activation of phagocytosis and cytokine production in dendritic cells,"S Xu, J Huo, M Gunawan, IH Su, KP Lam","Journal of Biological Chemistry 284 (33), 22005-22011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13595993445220722078,68,2009
"Developmental analysis of bone marrow neutrophils reveals populations specialized in expansion, trafficking, and effector functions","M Evrard, IWH Kwok, SZ Chong, KWW Teng, E Becht, J Chen, JL Sieow, ...","Immunity 48 (2), 364-379. e8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4360633923510794144,58,2018
A PRC2‐dependent repressive role of PRDM14 in human embryonic stem cells and induced pluripotent stem cell reprogramming,"YS Chan, J Göke, X Lu, N Venkatesan, B Feng, IH Su, HH Ng","Stem Cells 31 (4), 682-692",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8896310740907955379,54,2013
Ezh2 regulates anteroposterior axis specification and proximodistal axis elongation in the developing limb,"LA Wyngaarden, P Delgado-Olguin, I Su, BG Bruneau, S Hopyan","Development 138 (17), 3759-3767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8136785086921807547,45,2011
B-1 cells: orthodox or conformist?,"I Su, A Tarakhovsky","Current opinion in immunology 12 (2), 191-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13565778267984114363,39,2000
Lysine methylation and ‘signaling memory’,"I Su, A Tarakhovsky","Current opinion in immunology 18 (2), 152-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11272877391111120789,31,2006
Epigenetic control of B cell differentiation,"I Su, A Tarakhovsky","Seminars in immunology 17 (2), 167-172",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11628131467668944624,27,2005
c-Rel regulates Ezh2 expression in activated lymphocytes and malignant lymphoid cells,"WH Neo, JF Lim, R Grumont, S Gerondakis, I Su","Journal of biological chemistry 289 (46), 31693-31707",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5896595335693884463,21,2014
Estrogen reprograms the activity of neutrophils to foster protumoral microenvironment during mammary involution,"HH Chung, YZ Or, S Shrestha, JT Loh, CL Lim, Z Ong, ARE Woo, IH Su, ...","Scientific reports 7, 46485",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15577471871448439584,11,2017
EZH2 promotes neoplastic transformation through VAV interaction-dependent extranuclear mechanisms,"N Venkatesan, JF Wong, KP Tan, HH Chung, YH Yau, E Cukuroglu, ...","Oncogene 37 (4), 461-477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10400447228919001379,8,2018
Isolation and activation of murine lymphocytes,"JF Lim, H Berger, I Su","JoVE (Journal of Visualized Experiments), e54596",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12174152354117891177,5,2016
Talin1 Methylation Is Required for Neutrophil Infiltration and Lipopolysaccharide-Induced Lethality,"TJF Lim, IH Su","The Journal of Immunology 201 (12), 3651-3661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13659607607344180561,2,2018
Post-translational modification-regulated leukocyte adhesion and migration,"JT Loh, I Su","Oncotarget 7 (24), 37347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15431128387602549561,2,2016
Talin1 controls TLR-mediated activation of dendritic cells through direct interaction with MyD88 and PIP5K,"TJF Lim, M Bunjamin, IH Su, C Ruedl","EUROPEAN JOURNAL OF IMMUNOLOGY 49, 10-10",,0,2019
Ezh2 controls skin tolerance through distinct mechanisms in different subsets of skin dendritic cells,"JT Loh, TJF Lim, K Ikumi, T Matoba, B Janela, M Gunawan, T Toyama, ...","iScience 10, 23-39",,0,2018
Ezh2 controls skin tolerance through distinct mechanisms in different subsets of skin dendritic cells,"A Morita, F Ginhoux, JT Loh, TJF Lim, K Ikumi, T Matoba, B Janela, ...",,,0,2018
Ear Inflammation and Whole-mount Ear Staining,"JT Loh, M Gunawan, I Su",,,0,2016
The methyltransferase Ezh2 controls cell adhesion and migration through direct methylation of the extranuclear regulatory protein talin,"F Ginhoux, I Su, M Gunawan, N Venkatesan, JT Loh, JF Wong, H Berger, ...",,,0,2015
Germinal center dysregulation by histone methyltransferase EZH2 promotes lymphomagenesis (Journal of Clinical Investigation),"M Caganova, C Carrisi, G Varano, F Mainoldi, F Zanardi, PL Germain, ...","Journal of Clinical Investigation 124 (4), 1869",,0,2014
Germinal center dysregulation by histone methyltransferase EZH2 promotes lymphomagenesis,"I Su, AK Talukder, T Nojima, C Doglioni, D Kitamura, KM Toellner, ...",,,0,2013
Polycomb control of the germinal center response and its implication in the pathogenesis of Non-Hodgkin B-cell lymphomas,"S Casola, M Caganova, H Arakawa, M Rahmat, C Carrisi, R Lemura, ...",Immunology 137,,0,2012
The molecular mechanism of B cell activation by toll-like receptor protein RP-105,"I Mecklenbräuker, IH Su, G Texido, M Leitges, R Carsetti, K Rajewsky, ...",,,0,1998
