Title,Authors,Platform,Cited_url,Cited_count,Year
Novel visible-light-driven CQDs/Bi2WO6 hybrid materials with enhanced photocatalytic activity toward organic pollutants degradation and mechanism insight,"J Di, J Xia, Y Ge, H Li, H Ji, H Xu, Q Zhang, H Li, M Li","Applied Catalysis B: Environmental 168, 51-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4643275011071328751,304,2015
Preparation of sphere-like gC 3 N 4/BiOI photocatalysts via a reactable ionic liquid for visible-light-driven photocatalytic degradation of pollutants,"J Di, J Xia, S Yin, H Xu, L Xu, Y Xu, M He, H Li","Journal of Materials Chemistry A 2 (15), 5340-5351",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8206559412171557279,304,2014
"Ionic liquid-induced strategy for carbon quantum dots/BiOX (X= Br, Cl) hybrid nanosheets with superior visible light-driven photocatalysis","J Xia‡, J Di‡, H Li, H Xu, H Li, S Guo","Applied Catalysis B: Environmental 181, 260-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6742982852604583549,225,2016
Carbon quantum dots modified BiOCl ultrathin nanosheets with enhanced molecular oxygen activation ability for broad spectrum photocatalytic properties and mechanism insight,"J Di, J Xia, M Ji, B Wang, S Yin, Q Zhang, Z Chen, H Li","ACS applied materials & interfaces 7 (36), 20111-20123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8297781432465638353,181,2015
The synergistic role of carbon quantum dots for the improved photocatalytic performance of Bi 2 MoO 6,"J Di, J Xia, M Ji, H Li, H Xu, H Li, R Chen","Nanoscale 7 (26), 11433-11443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14848717447211324665,180,2015
Advanced photocatalytic performance of graphene-like BN modified BiOBr flower-like materials for the removal of pollutants and mechanism insight,"J Di, J Xia, M Ji, B Wang, S Yin, Q Zhang, Z Chen, H Li","Applied Catalysis B: Environmental 183, 254-262",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=687712524821370101,169,2016
Facile fabrication of the visible-light-driven Bi 2 WO 6/BiOBr composite with enhanced photocatalytic activity,"J Xia, J Di, S Yin, H Xu, J Zhang, Y Xu, L Xu, H Li, M Ji","RSC Advances 4 (1), 82-90",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8468917097813443132,153,2014
A gC 3 N 4/BiOBr visible-light-driven composite: synthesis via a reactable ionic liquid and improved photocatalytic activity,"J Di, J Xia, S Yin, H Xu, M He, H Li, L Xu, Y Jiang","RSC Advances 3 (42), 19624-19631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14015407028671952736,136,2013
Reactable ionic liquid-assisted rapid synthesis of BiOI hollow microspheres at room temperature with enhanced photocatalytic activity,"J Di, J Xia, Y Ge, L Xu, H Xu, M He, Q Zhang, H Li","Journal of Materials Chemistry A 2 (38), 15864-15874",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8921816775329630741,132,2014
Controllable synthesis of Bi 4 O 5 Br 2 ultrathin nanosheets for photocatalytic removal of ciprofloxacin and mechanism insight,"J Di, J Xia, M Ji, S Yin, H Li, H Xu, Q Zhang, H Li","Journal of Materials Chemistry A 3 (29), 15108-15118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4199551923216566918,109,2015
"Ultrathin 2D photocatalysts: electronic‐structure tailoring, hybridization, and applications","J Di, J Xiong, H Li, Z Liu","Advanced Materials 30 (1), 1704548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10242862379621583965,108,2018
Nitrogen-doped carbon quantum dots/BiOBr ultrathin nanosheets: in situ strong coupling and improved molecular oxygen activation ability under visible light irradiation,"J Di, J Xia, M Ji, B Wang, X Li, Q Zhang, Z Chen, H Li","ACS Sustainable Chemistry & Engineering 4 (1), 136-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5705437754855381617,107,2015
Bismuth oxyhalide layered materials for energy and environmental applications,"J Di, J Xia, H Li, S Guo, S Dai","Nano Energy 41, 172-192",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13213849453688261010,102,2017
Facile fabrication and enhanced visible light photocatalytic activity of few-layer MoS 2 coupled BiOBr microspheres,"J Di, J Xia, Y Ge, L Xu, H Xu, J Chen, M He, H Li","Dalton Transactions 43 (41), 15429-15438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10211869279870026282,100,2014
One-pot solvothermal synthesis of Cu-modified BiOCl via a Cu-containing ionic liquid and its visible-light photocatalytic properties,"J Di, J Xia, S Yin, H Xu, L Xu, Y Xu, M He, H Li","RSC Advances 4 (27), 14281-14290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9974531208161055505,85,2014
Construction of ultrathin C3N4/Bi4O5I2 layered nanojunctions via ionic liquid with enhanced photocatalytic performance and mechanism insight,"J Xia, M Ji, J Di, B Wang, S Yin, Q Zhang, M He, H Li","Applied Catalysis B: Environmental 191, 235-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12984944704155028515,84,2016
Carbon quantum dots induced ultrasmall BiOI nanosheets with assembled hollow structures for broad spectrum photocatalytic activity and mechanism insight,"J Di, J Xia, M Ji, B Wang, S Yin, H Xu, Z Chen, H Li","Langmuir 32 (8), 2075-2084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16077299599950415323,81,2016
Freestanding atomically-thin two-dimensional materials beyond graphene meeting photocatalysis: Opportunities and challenges,"J Di, J Xia, H Li, Z Liu","Nano Energy 35, 79-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10512187155275612432,80,2017
Carbon quantum dots in situ coupling to bismuth oxyiodide via reactable ionic liquid with enhanced photocatalytic molecular oxygen activation performance,"J Di, J Xia, M Ji, L Xu, S Yin, Q Zhang, Z Chen, H Li","Carbon 98, 613-623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10637512300527260850,79,2016
New insight of Ag quantum dots with the improved molecular oxygen activation ability for photocatalytic applications,"J Di, J Xia, M Ji, B Wang, S Yin, Y Huang, Z Chen, H Li","Applied Catalysis B: Environmental 188, 376-387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15853591877709931309,73,2016
Bidirectional acceleration of carrier separation spatially via N-CQDs/atomically-thin BiOI nanosheets nanojunctions for manipulating active species in a photocatalytic process,"J Di, J Xia, M Ji, L Xu, S Yin, Z Chen, H Li","Journal of Materials Chemistry A 4 (14), 5051-5061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886825787529865030,71,2016
Constructing confined surface carbon defects in ultrathin graphitic carbon nitride for photocatalytic free radical manipulation,"J Di, J Xia, X Li, M Ji, H Xu, Z Chen, H Li","Carbon 107, 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8584672391555686568,68,2016
Improved visible light photocatalytic properties of Fe/BiOCl microspheres synthesized via self-doped reactable ionic liquids,"J Xia, L Xu, J Zhang, S Yin, H Li, H Xu, J Di","CrystEngComm 15 (46), 10132-10141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11742133444756978195,60,2013
Ultrathin two-dimensional materials for photo-and electrocatalytic hydrogen evolution,"J Di, C Yan, AD Handoko, ZW Seh, H Li, Z Liu","Materials Today 21 (7), 749-770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8537549043599277832,51,2018
2D-2D stacking of graphene-like g-C3N4/Ultrathin Bi4O5Br2 with matched energy band structure towards antibiotic removal,"M Ji, J Di, Y Ge, J Xia, H Li","Applied Surface Science 413, 372-380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17129352631241345576,51,2017
Defect‐Rich Bi,"J Di, C Zhu, M Ji, M Duan, R Long, C Yan, K Gu, J Xiong, Y She, J Xia, ...","Angewandte Chemie 130 (45), 15063-15067",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2413070228309546159,50,2018
Surface Defect Engineering in 2D Nanomaterials for Photocatalysis,"J Xiong‡, J Di‡, J Xia, W Zhu, H Li","Advanced Functional Materials, 1801983",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8721790475871858427,50,2018
Ionic liquid-induced strategy for porous perovskite-like PbBiO2Br photocatalysts with enhanced photocatalytic activity and mechanism insight,"B Wang, J Di, P Zhang, J Xia, S Dai, H Li","Applied Catalysis B: Environmental 206, 127-135",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16478719259565895639,49,2017
Solvothermal synthesis and enhanced visible-light photocatalytic decontamination of bisphenol A (BPA) by g-C3N4/BiOBr heterojunctions,"J Xia, J Di, S Yin, H Li, H Xu, L Xu, H Shu, M He","Materials Science in Semiconductor Processing 24, 96-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15654427993548288480,45,2014
