Title,Authors,Platform,Cited_url,Cited_count,Year
Investigations of ,"S Arulkumaran, T Egawa, H Ishikawa, T Jimbo, M Umeno","Applied Physics Letters 73 (6), 809-811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5384021348812446906,219,1998
Surface passivation effects on AlGaN/GaN high-electron-mobility transistors with ,"S Arulkumaran, T Egawa, H Ishikawa, T Jimbo, Y Sano","Applied Physics Letters 84 (4), 613-615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4602539688185212385,198,2004
Characterization of different-Al-content ,"S Arulkumaran, T Egawa, H Ishikawa, T Jimbo",Journal of Vacuum Science & Technology B: Microelectronics and Nanometer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9182361613573791986,111,2003
Enhancement of breakdown voltage by AlN buffer layer thickness in ,"S Arulkumaran, T Egawa, S Matsui, H Ishikawa","Applied Physics Letters 86 (12), 123503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3331555708767692199,108,2005
Improved two-dimensional electron gas transport characteristics in AlGaN/GaN metal-insulator-semiconductor high electron mobility transistor with atomic layer-deposited Al 2 O …,"ZH Liu, GI Ng, S Arulkumaran, YKT Maung, KL Teo, SC Foo, ...","Applied Physics Letters 95 (22), 223501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3051654470837542428,99,2009
High-temperature effects of AlGaN/GaN high-electron-mobility transistors on sapphire and semi-insulating SiC substrates,"S Arulkumaran, T Egawa, H Ishikawa, T Jimbo","Applied physics letters 80 (12), 2186-2188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13031921696337240332,98,2002
AlGaN/GaN two-dimensional-electron gas heterostructures on 200 mm diameter Si (111),"S Tripathy, VKX Lin, SB Dolmanan, JPY Tan, RS Kajen, LK Bera, SL Teo, ...","Applied Physics Letters 101 (8), 082110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5932693519669829469,93,2012
Reduced surface leakage current and trapping effects in AlGaN/GaN high electron mobility transistors on silicon with ,"ZH Liu, GI Ng, H Zhou, S Arulkumaran, YKT Maung","Applied Physics Letters 98 (11), 113506",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15877045911340734982,89,2011
Carrier confinement in AlGaN/GaN heterostructures grown by plasma induced molecular beam epitaxy,"R Dimitrov, L Wittmer, HP Felsi, A Mitchell, O Ambacher, M Stutzmann","physica status solidi (a) 168 (2), R7-R8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11743628378507928550,6615252341077517584",80,1998
Temperature dependence of gate–leakage current in AlGaN/GaN high-electron-mobility transistors,"S Arulkumaran, T Egawa, H Ishikawa, T Jimbo","Applied physics letters 82 (18), 3110-3112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16530458595285304256,78,2003
Improved dc characteristics of AlGaN/GaN high-electron-mobility transistors on AlN/sapphire templates,"S Arulkumaran, M Sakai, T Egawa, H Ishikawa, T Jimbo, T Shibata, K Asai, ...","Applied physics letters 81 (6), 1131-1133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2052085931139587385,77,2002
"Effects of annealing on Ti, Pd, and Ni/n-Al/sub 0.11/Ga/sub 0.89/N Schottky diodes","S Arulkumaran, T Egawa, H Ishikawa, M Umeno, T Jimbo","IEEE Transactions on Electron Devices 48 (3), 573-580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9388217425238903402,76,2001
Temperature dependence of Ohmic contact characteristics in AlGaN/GaN high electron mobility transistors from −50 to ,"ZH Liu, S Arulkumaran, GI Ng","Applied physics letters 94 (14), 142105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2861010051664235487,66,2009
Direct current and microwave characteristics of sub-micron AlGaN/GaN high-electron-mobility transistors on 8-inch Si (111) substrate,"S Arulkumaran, GI Ng, S Vicknesh, H Wang, KS Ang, JPY Tan, VK Lin, ...","Japanese Journal of Applied Physics 51 (11R), 111001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6314491334448419467,65,2012
