Title,Authors,Platform,Cited_url,Cited_count,Year
"The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies","DA Gentile, CA Anderson, S Yukawa, N Ihori, M Saleem, LK Ming, ...","Personality and Social Psychology Bulletin 35 (6), 752-763","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7795107672023591478,14144837144806116628,7496037539355639808,16449143067324187048",689,2009
"Long-Term Relations Among Prosocial-Media Use, Empathy, and Prosocial Behavior","S Prot, DA Gentile, CA Anderson, K Suzuki, E Swing, KM Lim, Y Horiuchi, ...","Psychological science 25 (2), 358-368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14989679490469961322,172,2014
Effects of gender and sex role orientation on help-seeking attitudes,"RP Ang, KM Lim, AG Tan, TY Yau","Current Psychology 23 (3), 203-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10107724888504705439,145,2004
Refining the Attitudes Toward Seeking Professional Psychological Help Scale: Factorial invariance across two Asian samples.,"RP Ang, S Lau, AG Tan, KM Lim",Measurement and Evaluation in Counseling and Development,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6334057641089281701,46,2007
Beginning Teachers' Perceptions of Their Pedagogical Knowledge and Skills in Teaching: A Three Year Study.,"D Choy, AFL Wong, KM Lim, S Chong","Australian Journal of Teacher Education 38 (5), n5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6958223882758828321,45,2013
Relating use of digital technology by pre-service teachers to confidence: A Singapore survey,"AS Yeung, KM Lim, EG Tay, AC Lam-Chiang, C Hui","Australasian Journal of Educational Technology 28 (8), 1317-1332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9389439535990409699,33,2012
Determinants of spatial priming in environmental memory,"RC Sherman, KM Lim","Memory & Cognition 19 (3), 283-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4554600956893107986,28,1991
Investigating changes in pedagogical knowledge and skills from pre-service to the initial year of teaching,"AFL Wong, S Chong, D Choy, KM Lim","Educational Research for Policy and Practice, 1-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15494954057068537202,20,2011
Relationship of delinquent behaviors to prosocial orientations of adolescents,"KM Lim, A Khoo, MY Wong","North American Journal of Psychology 9 (1), 183-188",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7579824476192140182,16,2007
Relationship of primary versus secondary control beliefs to attitudes toward seeking help,"KM Lim, RP Ang","North American Journal of Psychology 8 (3), 557",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3429080736932306767,13,2006
