Title,Authors,Platform,Cited_url,Cited_count,Year
CTCF-mediated functional chromatin interactome in pluripotent cells,"L Handoko, H Xu, G Li, CY Ngan, E Chew, M Schnapp, CWH Lee, C Ye, ...","Nature genetics 43 (7), 630",,604,2011
CTCF-mediated functional chromatin interactome in pluripotent cells,"L Handoko, H Xu, G Li, CY Ngan, E Chew, M Schnapp, CWH Lee, C Ye, ...","Nature genetics 43 (7), 630",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16317033175823484127,604,2011
Most tissue-resident macrophages except microglia are derived from fetal hematopoietic stem cells,"J Sheng, C Ruedl, K Karjalainen","Immunity 43 (2), 382-393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1626448807566637668,233,2015
A signal–noise model for significance analysis of ChIP-seq with negative control,"H Xu, L Handoko, X Wei, C Ye, J Sheng, CL Wei, F Lin, WK Sung","Bioinformatics 26 (9), 1199-1204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14470517069844775310,158,2010
Intestinal CD103,"ARBM Muzaki, P Tetlak, J Sheng, SC Loh, YA Setiagani, M Poidinger, ...","Mucosal immunology 9 (2), 336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14857887740043835488,61,2016
Tissue-resident CD169+ macrophages form a crucial front line against Plasmodium infection,"P Gupta, SM Lai, J Sheng, P Tetlak, A Balachander, C Claser, L Renia, ...","Cell reports 16 (6), 1749-1761",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16616446827974173330,39,2016
A discrete subset of monocyte-derived cells among typical conventional type 2 dendritic cells can efficiently cross-present,"J Sheng, Q Chen, I Soncin, SL Ng, K Karjalainen, C Ruedl","Cell reports 21 (5), 1203-1214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18261572259832705208,14,2017
The tumour microenvironment creates a niche for the self-renewal of tumour-promoting macrophages in colon adenoma,"I Soncin, J Sheng, Q Chen, S Foo, K Duan, J Lum, M Poidinger, F Zolezzi, ...","Nature communications 9 (1), 582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17044152493316441262,10,2018
Fetal HSCs versus EMP2s,"J Sheng, C Ruedl, K Karjalainen","Immunity 43 (6), 1025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15148793273129223429,10,2015
"Organ-specific fate, recruitment, and refilling dynamics of tissue-resident macrophages during blood-stage malaria","SM Lai, J Sheng, P Gupta, L Renia, K Duan, F Zolezzi, K Karjalainen, ...","Cell reports 25 (11), 3099-3109. e3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3963582261260662507,5,2018
Long-Lived Innate IL-17–Producing γ/δ T Cells Modulate Antimicrobial Epithelial Host Defense in the Colon,"ARBM Muzaki, I Soncin, YA Setiagani, J Sheng, P Tetlak, K Karjalainen, ...","The Journal of Immunology 199 (10), 3691-3699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=123298286694000435,4,2017
Brain microglia is maintained and regenerated from a specialized cellular subset,"J Sheng, C Ruedl, K Karjalainen","EUROPEAN JOURNAL OF IMMUNOLOGY 49, 537-537",,0,2019
Monocyte-derived cells among typical conventional type 2 dendritic cells can efficiently cross present tumor antigens Phi,"J Sheng, Q Chen, I Soncin, S Ng, K Karjalainen, C Ruedl","EUROPEAN JOURNAL OF IMMUNOLOGY 48, 137-137",,0,2018
Are Langerhans cells really migrating to the lymph nodes?,"J Sheng, C Ruedl, K Karjalainen","EUROPEAN JOURNAL OF IMMUNOLOGY 48, 124-124",,0,2018
Role of intestinal CD103 (+) CD11b (-) dendritic cells in colorectal cancer,"I Soncin, J Sheng, C Ruedl","EUROPEAN JOURNAL OF IMMUNOLOGY 46, 203-203",,0,2016
with Supplemental Information,R OAK,,,0,2013
