Title,Authors,Platform,Cited_url,Cited_count,Year
Quantifying Surface Roughness Effects on Phonon Transport in Silicon Nanowires,"J Lim, K Hippalgaonkar, SC Andrews, A Majumdar, P Yang",Nano Letters,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14524235508487107891,269,2012
Anisotropic in-plane thermal conductivity of black phosphorus nanoribbons at temperatures higher than 100K,"S Lee, F Yang, J Suh, S Yang, Y Lee, G Li, HS Choe, A Suslu, Y Chen, ...",Nature Communications 6,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3914508911341669554,202,2015
Large Thermoelectric Figure-of-Merits from SiGe Nanowires by Simultaneously Measuring Electrical and Thermal Transport Properties,C Yu,Nano Letters,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1722764800017414154,168,2012
Fabrication of microdevices with integrated nanowires for investigating low-dimensional phonon transport,"K Hippalgaonkar, B Huang, R Chen, K Sawyer, P Ercius, A Majumdar","Nano letters 10 (11), 4341-4348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15204676803849129711,147,2010
Anomalously low electronic thermal conductivity in metallic vanadium dioxide,"S Lee, K Hippalgaonkar, F Yang, J Hong, C Ko, J Suh, K Liu, K Wang, ...","Science 355 (6323), 371-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=500164955917503479,137,2017
Temperature-Gated Thermal Rectifier for Active Heat Flow Control,"J Zhu, K Hippalgaonkar, S Shen, K Wang, Y Abate, S Lee, J Wu, X Yin, ...","Nano letters 14 (8), 4867-4872","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14196804603321683188,7013506435233385443",84,2014
High thermoelectric power factor in two-dimensional crystals of ,"K Hippalgaonkar, Y Wang, Y Ye, DY Qiu, H Zhu, Y Wang, J Moore, ...","Physical Review B 95 (11), 115407","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15704715931829651798,9992387666812294996",79,2017
Axially Engineered Metal-Insulator Phase Transition by Graded Doping VO2 Nanowires,"S Lee, C Cheng, H Guo, K Hippalgaonkar, K Wang, J Suh, K Liu, J Wu",Journal of the American Chemical Society,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18369717586052258298,76,2013
Li‐Ion Batteries: Multifunctional 0D–2D Ni,"ZZ Luo, Y Zhang, C Zhang, HT Tan, Z Li, A Abutaha, XL Wu, Q Xiong, ...",Advanced Energy Materials 7 (2),,64,2017
Multifunctional 0D–2D Ni,"ZZ Luo, Y Zhang, C Zhang, HT Tan, Z Li, A Abutaha, XL Wu, Q Xiong, ...","Advanced Energy Materials 7 (2), 1601285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8166629391560247373,64,2017
Observation of anisotropy in thermal conductivity of individual single-crystalline bismuth nanowires.,"JW Roh, K Hippalgaonkar, JH Ham, R Chen, MZ Li, P Ercius, A Majumdar, ...","ACS nano 5 (5), 3954-3960",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13633524936402816406,64,2011
2D black phosphorus for energy storage and thermoelectric applications,"Y Zhang, Y Zheng, K Rui, HH Hng, K Hippalgaonkar, J Xu, W Sun, J Zhu, ...","Small 13 (28), 1700661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14622987497839733871,60,2017
Thermal Conductance of the 2D MoS2/h-BN and graphene/h-BN Interfaces,"Y Liu, ZY Ong, J Wu, Y Zhao, K Watanabe, T Taniguchi, D Chi, G Zhang, ...","Scientific Reports 7, 43886",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16262118367705334631,41,2017
Second-Harmonic Generation from Sub-5 nm Gaps by Directed Self-Assembly of Nanoparticles onto Template-Stripped Gold Substrates,"Z Dong, M Asbahi, J Lin, D Zhu, YM Wang, K Hippalgaonkar, HS Chu, ...","Nano letters 15 (9), 5976-5981",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5229572279792482537,41,2015
"Accelerating materials development via automation, machine learning, and high-performance computing","JP Correa-Baena, K Hippalgaonkar, J van Duren, S Jaffer, ...","Joule 2 (8), 1410-1420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6277606941104905396,25,2018
